scientific,common_name,commercial_group_id,woo,x_min,y_min,commercial_group,functional_group,y_max,k,tl,taxon_level_id,min_depth,scientific_name,has_map,taxon_group_id,max_depth,lat_south,sl_max_cm,functional_group_id,is_baltic_only,has_habitat_index,taxon_key,isscaap_id,x_max,loo,lat_north,coral,abyssal,shelf,offshore,seamount,others,seagrass,slope,habitat_diversity_index,offshore_back,inshore,effective_d,estuaries
Torpedo walshii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Torpedo panthera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Torpedo formosa
Torpedo californica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Torpedo semipelagica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Torpedo tremens peruana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Torpedo capensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Torpedo smithii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hemitaurichthys polylepis,Pyramid butterflyfish,3,,,,Perch-likes,Small reef assoc. fish (<30 cm),,1.02,3.09,6,3,Hemitaurichthys polylepis,False,1,40,-25,15.0,16,False,True,605586,39,,15.19,32,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.2,NA,0.5,1.0,0.0
Porichthys margaritatus,Daisy midshipman,12,53.0,,,Other fishes & inverts,Small demersals (<30 cm),,0.46,3.9,6,4,Porichthys margaritatus,False,1,137,-20,17.0,4,False,True,608220,33,,17.0,35,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.2,NA,0.0,1.0,0.0
Dissostichus mawsoni,Antarctic toothfish,3,65254.0,,,Perch-likes,Large benthopelagics (>=90 cm),,0.08,4.45,6,1,Dissostichus mawsoni,True,1,2200,-78,164.0,15,False,True,607039,33,,164.0,-45,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.4,NA,0.5,60.4,0.0
Echiodon cryomargarites,Messmate,12,48.0,,,Other fishes & inverts,Medium bathydemersals (30 - 89 cm),,,4.0,6,400,Echiodon cryomargarites,False,1,1441,-57,34.0,11,False,True,607141,39,,33.62,-29,0.0,0.25,0.5,0.5,0.0,0.5,0.0,0.5,0.2,NA,0.0,1.0,0.0
Anomalops katoptron,Splitfin flashlightfish,12,298.0,,,Other fishes & inverts,Medium reef assoc. fish (30 - 89 cm),,,3.4,6,2,Anomalops katoptron,False,1,400,-24,29.0,17,False,True,607184,39,,28.53,32,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,29.2,0.0
Parapercis colias,New Zealand blue cod,3,774.0,-180,-52,Perch-likes,Medium demersals (30 - 89 cm),-33,0.25,3.89,6,52,Parapercis colias,False,1,150,-52,38.0,5,False,True,600464,39,180,38.12,-34,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.2,NA,0.5,1.0,0.0
Serranus annularis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus nigri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus goreensis,Dungat grouper,3,18265.0,-19,-18,Perch-likes,Large demersals (>=90 cm),21,0.09,3.94,6,80,Epinephelus goreensis,False,1,300,-17,115.0,6,False,True,604961,33,16,114.8,20,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.2,NA,0.5,1.0,0.0
Serranus octocinctus,Convict grouper,3,24414.0,,,Perch-likes,Large reef assoc. fish (>=90 cm),,0.08,3.98,6,5,Hyporthodus septemfasciatus,True,1,30,24,127.0,18,False,True,606574,33,,127.1,40,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,43.2,0.0
Serranus limbatus,Blacktail snapper,3,613.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.37,3.61,6,1,Lutjanus fulvus,True,1,75,-32,33.0,17,False,True,600262,33,,33.43,34,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,28.5,0.0
Serranus myriaster,Peacock hind,3,1721.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.19,4.48,6,1,Cephalopholis argus,True,1,40,-34,50.0,17,False,True,606396,33,,50.37,29,0.75,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.0
Serranus phaeostigmaeus,Giant grouper,3,,,,Perch-likes,Large reef assoc. fish (>=90 cm),,0.05,4.0,6,4,Epinephelus lanceolatus,False,1,100,-40,221.0,18,False,True,606468,33,,221.4,29,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.6,NA,0.5,100.0,0.5
Serranus sexfasciatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus altivelis,Humpback grouper,3,3159.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.35,4.5,6,2,Cromileptes altivelis,False,1,40,-25,52.0,17,False,True,606457,33,,51.67,35,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.0
Serranus luciopercanus
Serranus quinquefasciatus
Serranus dispar var. a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus longispinis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus stathouderi,Red hind,3,3278.0,-100,4,Perch-likes,Medium reef assoc. fish (30 - 89 cm),36,0.15,3.84,6,2,Epinephelus guttatus,False,1,100,5,62.0,17,False,True,600015,33,-49,62.32,35,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.6,NA,0.5,70.0,0.5
Serranus sexmaculatus,Sixblotch hind,3,,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.22,4.5,6,6,Cephalopholis sexmaculata,False,1,150,-35,40.0,17,False,True,606453,33,,39.78,35,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.4,NA,0.5,28.2,0.0
Serranus tico
Serranus oculatus,Queen snapper,3,5042.0,,,Perch-likes,Medium bathydemersals (30 - 89 cm),,0.42,4.18,6,100,Etelis oculatus,False,1,450,-12,77.0,11,False,True,601391,33,,76.64,36,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.4,NA,0.5,30.4,0.0
Serranus coromandelicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus remotus,Red grouper,3,4248.0,-110,-38,Perch-likes,Large reef assoc. fish (>=90 cm),38,0.18,3.5,6,5,Epinephelus morio,False,1,330,-27,104.0,18,False,True,600017,33,151,67.0,35,0.25,0.0,0.25,0.0,0.0,0.5,0.25,0.0,0.8,NA,0.0,100.0,0.25
Serranus waandersii,Areolate grouper,3,662.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.31,3.74,6,6,Epinephelus areolatus,False,1,200,-33,38.0,17,False,True,605367,33,,38.12,35,0.5,0.0,0.5,0.0,0.0,0.5,0.75,0.0,0.6,NA,0.5,61.1,0.0
Serranus cyanostigma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus bivittatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus maculatofasciatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus notospilus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus fasciatomaculosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus polyphekadion,Camouflage grouper,3,9782.0,,,Perch-likes,Large reef assoc. fish (>=90 cm),,0.11,3.99,6,1,Epinephelus polyphekadion,True,1,46,-34,90.0,18,False,True,606473,33,,90.0,30,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.0
Serranus chlorocephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus furcifer,Creolefish,3,,,,Perch-likes,Medium benthopelagics (30 - 89 cm),,0.25,3.21,6,8,Paranthias furcifer,False,1,100,-25,30.0,14,False,True,601217,33,,30.0,35,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.4,NA,0.5,29.0,0.0
Serranus tabacarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus auriga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus incisus
Serranus hepatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
