scientific,common_name,commercial_group_id,woo,x_min,y_min,commercial_group,functional_group,y_max,k,tl,taxon_level_id,min_depth,scientific_name,has_map,taxon_group_id,max_depth,lat_south,sl_max_cm,functional_group_id,is_baltic_only,has_habitat_index,taxon_key,isscaap_id,x_max,loo,lat_north,coral,abyssal,shelf,offshore,seamount,others,seagrass,slope,habitat_diversity_index,offshore_back,inshore,effective_d,estuaries
Fistularia corneta,Pacific cornetfish,12,514.0,,,Other fishes & inverts,Large pelagics (>=90 cm),,,4.5,6,1,Fistularia corneta,False,1,50,-90,94.0,3,False,True,608289,39,,93.71,32,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.2,NA,0.5,1.0,0.0
Pempheris oualensis,Silver sweeper,3,68.0,,,Perch-likes,Small reef assoc. fish (<30 cm),,0.43,3.58,6,1,Pempheris oualensis,False,1,36,-25,18.0,16,False,True,605802,39,,17.85,30,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.0
Alosa cyanonoton,Blueback shad,2,623.0,-83,24,Herring-likes,Medium pelagics (30 - 89 cm),48,0.31,3.81,6,5,Alosa aestivalis,True,1,9999,25,40.0,2,False,True,601574,24,-56,40.0,47,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.75,28.2,0.5
Alosa killarnensis
Alosa suworowi
Alosa pectinata,Argentine menhaden,2,563.0,-60,-39,Herring-likes,Medium pelagics (30 - 89 cm),-30,0.36,2.68,6,5,Brevoortia pectinata,True,1,40,-39,35.0,2,False,True,601590,35,-46,35.0,-30,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.75,28.2,0.5
Alosa rusa,Allis shad,2,1760.0,-47,29,Herring-likes,Medium pelagics (30 - 89 cm),63,0.47,2.95,6,5,Alosa alosa,True,1,200,20,59.0,2,False,True,600101,24,24,58.0,70,0.0,0.0,0.5,0.25,0.0,0.5,0.0,0.0,0.4,NA,0.75,30.4,0.5
Alosa musica,Pacific sardine,2,117.0,-180,-47,Herring-likes,Medium pelagics (30 - 89 cm),64,0.47,2.84,6,1,Sardinops sagax,True,1,200,-49,40.0,2,False,True,601477,35,180,22.0,61,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,28.2,0.5
Alosa sphaerocephala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alosa elongata,Elongate ilisha,2,1193.0,43,-1,Herring-likes,Medium pelagics (30 - 89 cm),43,0.28,3.79,6,5,Ilisha elongata,True,1,50,1,48.0,2,False,True,601627,35,141,48.21,42,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.8,NA,0.75,96.0,0.5
Alosa malayana,Kelee shad,2,343.0,-2,-33,Herring-likes,Small pelagics (<30 cm),26,1.1,3.21,6,10,Hilsa kelee,True,1,50,-30,28.0,1,False,True,601595,24,162,28.1,23,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.75,29.5,0.5
Alosa sapidissima,American shad,2,1538.0,,,Herring-likes,Medium pelagics (30 - 89 cm),,0.2,3.48,6,1,Alosa sapidissima,True,1,250,22,61.0,2,False,True,601584,24,,61.41,60,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.75,30.4,0.5
Alosa caspia persica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alosa pontica kessleri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alosa curensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alosa chrysochloris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alosa saposhnikovi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alosa pilchardus,European pilchard,2,39.0,-37,12,Herring-likes,Small pelagics (<30 cm),69,0.54,3.06,6,10,Sardina pilchardus,True,1,100,15,28.0,1,False,True,601350,35,46,17.0,68,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.4,NA,0.5,29.5,0.5
Alosa caspia knipowitschi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alosa caspia caspia,Caspian shad,2,191.0,,,Herring-likes,Small pelagics (<30 cm),,0.3,3.47,6,1,Alosa caspia caspia,False,1,9999,37,26.0,1,False,True,601577,24,,26.24,48,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.25,30.0,0.75
Alosa squamopinnata,Twaite shad,2,497.0,-26,25,Herring-likes,Medium pelagics (30 - 89 cm),68,0.51,4.03,6,1,Alosa fallax,True,1,9999,27,60.0,2,False,True,605355,24,45,42.0,70,0.0,0.0,0.5,0.25,0.0,0.5,0.0,0.0,0.4,NA,0.75,30.4,0.75
Alosa vistonica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alosa alburnus,Delicate round herring,2,3.0,,,Herring-likes,Small reef assoc. fish (<30 cm),,3.84,3.13,6,1,Spratelloides delicatulus,False,1,50,-29,7.0,16,False,True,601457,35,,8.0,40,0.5,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.4,NA,0.75,30.4,0.5
Alosa pontica var. moriac,Pontic shad,2,734.0,27,41,Herring-likes,Medium pelagics (30 - 89 cm),48,0.27,3.98,6,3,Alosa immaculata,True,1,90,41,39.0,2,False,True,600105,24,43,39.0,50,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.4,NA,0.5,28.2,0.5
Alosa pseudoharengus,Alewife,2,479.0,-81,32,Herring-likes,Medium pelagics (30 - 89 cm),53,0.43,3.39,6,5,Alosa pseudoharengus,True,1,145,33,40.0,2,False,True,601583,24,-42,40.0,52,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.25,28.2,0.75
Alosa reevesii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dissostichus eleginoides,Patagonian toothfish,3,83769.0,-91,-69,Perch-likes,Large bathydemersals (>=90 cm),-31,0.08,3.96,6,50,Dissostichus eleginoides,True,1,3850,-67,176.0,12,False,True,600467,33,180,176.3,-16,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.4,NA,0.5,60.4,0.0
Carcharhinus obscurus,Dusky shark,9,499785.0,-134,-47,Sharks & rays,Large sharks (>=90 cm),47,0.04,4.28,6,1,Carcharhinus obscurus,True,1,400,-43,344.0,20,False,True,600878,38,170,344.4,43,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.2,NA,0.5,1.0,0.0
Sciades proops,Crucifix sea catfish,12,4188.0,,,Other fishes & inverts,Medium demersals (30 - 89 cm),,0.1,4.36,6,15,Sciades proops,False,1,40,-30,82.0,5,False,True,600955,33,,82.0,24,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.75,30.4,1.0
Caranx melampygus,Bluefin trevally,3,18974.0,,,Perch-likes,Large reef assoc. fish (>=90 cm),,0.21,4.49,6,1,Caranx melampygus,True,1,190,-35,109.0,18,False,True,601906,37,,108.84,30,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.6,NA,0.5,77.9,0.5
Anguilla bicolor bicolor,Indonesian shortfin eel,12,2890.0,,,Other fishes & inverts,Large demersals (>=90 cm),,0.06,3.55,6,1,Anguilla bicolor bicolor,False,1,50,-27,119.0,6,False,True,601274,22,,119.12,22,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,39.1,0.5
Xiphias gladius,Swordfish,4,161455.0,,,Tuna & billfishes,Large pelagics (>=90 cm),,0.1,4.53,6,1,Xiphias gladius,True,1,800,-50,449.0,3,False,True,600226,36,,264.0,61,0.0,0.0,0.5,0.75,0.5,0.5,0.0,0.5,0.4,NA,0.25,60.4,0.0
Aetobatus narinari,Spotted eagle ray,9,,,,Sharks & rays,Large rays (>=90 cm),,0.19,4.17,6,1,Aetobatus narinari,False,1,80,-32,125.0,22,False,True,601250,38,,125.3,43,0.75,0.0,0.5,0.25,0.0,0.5,0.0,0.0,0.6,NA,0.75,86.1,0.25
Antennatus coccineus,Scarlet frogfish,12,,,,Other fishes & inverts,Small reef assoc. fish (<30 cm),,,4.2,6,1,Antennatus coccineus,False,1,104,-40,11.0,16,False,True,605402,39,,10.88,35,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.6,NA,0.5,50.0,0.0
Paracirrhites forsteri,Blackside hawkfish,3,65.0,,,Perch-likes,Small reef assoc. fish (<30 cm),,,4.3,6,1,Paracirrhites forsteri,False,1,35,-29,18.0,16,False,True,605952,39,,17.99,32,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.0
Mycteroperca roquensis,Yellowmouth grouper,3,2658.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.06,4.5,6,2,Mycteroperca interstitialis,False,1,150,-30,69.0,17,False,True,601211,33,,68.88,32,0.75,0.0,0.5,0.75,0.0,0.75,0.0,0.0,0.6,NA,0.25,70.0,0.75
Mycteroperca tigris,Tiger grouper,3,9132.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.11,4.5,6,10,Mycteroperca tigris,False,1,40,-30,85.0,17,False,True,601215,33,,85.42,35,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.0
Mycteroperca venenosa,Yellowfin grouper,3,9448.0,-101,-33,Perch-likes,Medium reef assoc. fish (30 - 89 cm),38,0.12,4.48,6,2,Mycteroperca venenosa,False,1,137,-30,88.0,17,False,True,601216,33,-31,88.31,35,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.6,NA,0.5,70.0,0.0
Mycteroperca microlepis,Gag,3,13904.0,-100,-30,Perch-likes,Large demersals (>=90 cm),45,0.16,3.65,6,40,Mycteroperca microlepis,False,1,152,-27,119.0,6,False,True,601212,33,-31,101.0,42,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.6,NA,0.25,83.0,0.5
Mycteroperca venadorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycteroperca prionura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycteroperca olfax ruberrima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycteroperca rosacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopholis miniata,Coral hind,3,1080.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.22,4.29,6,2,Cephalopholis miniata,False,1,150,-34,43.0,17,False,True,606450,33,,42.6,35,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,28.6,0.0
Tetrapturus belone,Mediterranean spearfish,4,,,,Tuna & billfishes,Large pelagics (>=90 cm),,0.43,4.5,6,1,Tetrapturus belone,True,1,9999,30,197.0,3,False,True,601823,36,,196.8,46,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.2,NA,0.5,1.0,0.0
Lutjanus griseus,Grey snapper,3,4759.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.17,4.23,6,5,Lutjanus griseus,False,1,180,-6,72.0,17,False,True,600266,33,,72.15,43,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.8,NA,0.5,100.0,0.5
Dipturus nidarosiensis,Norwegian skate,9,37988.0,,,Sharks & rays,Large rays (>=90 cm),,0.08,3.5,6,200,Dipturus nidarosiensis,True,1,1000,20,164.0,22,False,True,608900,38,,164.0,63,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.2,NA,0.0,1.0,0.0
Scomberoides tol,Needlescaled queenfish,3,571.0,,,Perch-likes,Medium pelagics (30 - 89 cm),,0.33,4.11,6,20,Scomberoides tol,False,1,50,-31,51.0,2,False,True,601953,37,,51.46,31,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.2,NA,0.5,1.0,0.0
Nemadactylus macropterus,Tarakihi,3,1088.0,,,Perch-likes,Medium demersals (30 - 89 cm),,0.2,3.41,6,22,Nemadactylus macropterus,False,1,450,-45,60.0,5,False,True,610106,39,,43.0,38,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.2,NA,0.0,1.0,0.0
Brevoortia tyrannus,Atlantic menhaden,2,392.0,-100,24,Herring-likes,Medium pelagics (30 - 89 cm),46,0.57,3.23,6,1,Brevoortia tyrannus,True,1,50,25,40.0,2,False,True,601592,35,-47,29.0,45,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.4,NA,0.75,28.2,0.5
Pseudobalistes fuscus,Yellow-spotted triggerfish,12,1998.0,,,Other fishes & inverts,Medium reef assoc. fish (30 - 89 cm),,0.21,4.04,6,30,Pseudobalistes fuscus,False,1,50,-24,41.0,17,False,True,604466,33,,40.7,32,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.6,NA,0.5,61.6,0.5
Stenodus leucichthys,Sheefish,6,19946.0,,,"Salmon, smelts, etc",Large demersals (>=90 cm),,0.08,4.15,6,1,Stenodus leucichthys,False,1,10,58,131.0,6,False,True,602692,23,,130.82,73,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.75,45.3,0.75
Scomberoides saltator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scomberoides tolooparah,Doublespotted queenfish,3,4071.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.33,4.5,6,1,Scomberoides lysan,False,1,100,-30,88.0,17,False,True,601951,37,,87.89,30,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.6,NA,0.5,70.0,0.5
Scomberoides commersonnianus,Talang queenfish,3,7105.0,-179,-53,Perch-likes,Large reef assoc. fish (>=90 cm),38,0.18,3.94,6,1,Scomberoides commersonnianus,True,1,110,-50,99.0,18,False,True,601950,37,180,99.33,34,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.6,NA,0.5,70.0,0.25
Naso caesius,Gray unicornfish,3,1879.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.27,2.71,6,3,Naso caesius,False,1,36,-90,46.0,17,False,True,615628,33,,45.6,90,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.4,NA,0.0,29.2,0.0
Allothunnus fallai,Slender tuna,4,,,,Tuna & billfishes,Large pelagics (>=90 cm),,0.26,3.7,6,1,Allothunnus fallai,False,1,9999,-50,103.0,3,False,True,600091,36,,102.69,-10,0.0,0.0,0.5,0.75,0.0,0.5,0.0,0.5,0.2,NA,0.25,1.0,0.0
Lepidonotothen nudifrons,Yellowfin notie,3,82.0,,,Perch-likes,Small demersals (<30 cm),,0.3,3.45,6,3,Lepidonotothen nudifrons,False,1,400,-72,20.0,4,False,True,607047,33,,19.5,-55,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2,NA,0.0,1.0,0.0
Malacanthus latovittatus,Blue blanquillo,3,852.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.19,3.5,6,5,Malacanthus latovittatus,False,1,100,-25,45.0,17,False,True,605796,34,,45.0,35,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.4,NA,0.0,29.0,0.0
Pagrus auratus,Silver seabream,3,21959.0,,,Perch-likes,Large demersals (>=90 cm),,0.1,3.59,6,1,Pagrus auratus,False,1,200,-47,107.0,6,False,True,606426,33,,106.6,44,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.8,NA,0.75,100.0,0.5
Sebastes mentella,Beaked redfish,8,1322.0,-74,44,Scorpionfishes,Medium bathypelagics (30 - 89 cm),79,0.08,3.7,6,300,Sebastes mentella,True,1,1441,41,47.0,8,False,True,600505,33,50,46.69,79,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.4,NA,0.5,29.5,0.0
Paralichthys californicus,California flounder,7,28063.0,-125,23,Flatfishes,Large flatfishes (>=90 cm),49,0.09,4.5,6,1,Paralichthys californicus,False,1,183,24,128.0,24,False,True,604228,31,-106,128.14,48,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,43.8,0.5
Wattsia mossambica,Mozambique largeeye bream,3,1614.0,,,Perch-likes,Medium demersals (30 - 89 cm),,0.54,3.65,6,100,Wattsia mossambica,False,1,180,-34,47.0,5,False,True,601870,33,,46.58,35,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.2,NA,0.0,1.0,0.0
Gobionotothen gibberifrons,Humped rockcod,3,1171.0,-71,-74,Perch-likes,Medium demersals (30 - 89 cm),-53,0.15,3.26,6,6,Gobionotothen gibberifrons,True,1,429,-67,49.0,5,False,True,607041,33,35,49.0,-50,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.2,NA,0.5,1.0,0.0
Ammodytes personatus,Pacific sandlance,3,53.0,-180,27,Perch-likes,Small demersals (<30 cm),63,0.53,3.0,6,1,Ammodytes personatus,True,1,50,29,15.0,4,False,True,600487,39,161,15.0,60,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.2,NA,0.5,1.0,0.0
Ammodytes lucasanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ammodytes dubius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ammodytes terebrans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ammodytes hexapterus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ammodytes lanceolatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ammodytes tobiunus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zenarchopterus dispar,Feathered river garfish,12,20.0,,,Other fishes & inverts,Small pelagics (<30 cm),,,2.86,6,1,Zenarchopterus dispar,False,1,25,-90,16.0,1,False,True,609648,39,,15.58,90,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.5
Lutjanus jordani,Jordans snapper,3,1556.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.25,4.45,6,1,Lutjanus jordani,False,1,50,-19,49.0,17,False,True,600155,33,,49.2,25,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.0,0.0
Gymnothorax flavimarginatus,Yellow-edged moray,12,22347.0,,,Other fishes & inverts,Large reef assoc. fish (>=90 cm),,,4.16,6,1,Gymnothorax flavimarginatus,False,1,150,-24,237.0,18,False,True,605392,33,,237.0,30,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,60.4,0.0
Solea senegalensis,Senegalese sole,7,2256.0,-20,13,Flatfishes,Small to medium flatfishes (<90 cm),49,0.18,3.13,6,12,Solea senegalensis,False,1,65,14,60.0,23,False,True,608852,31,43,60.0,47,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.5
Lateolabrax japonicus,Japanese seaperch,3,10498.0,95,-26,Perch-likes,Medium reef assoc. fish (30 - 89 cm),47,0.18,3.78,6,1,Lateolabrax japonicus,False,1,21,15,84.0,17,False,True,604589,33,180,83.64,44,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.0
Clupeonella engrauliformis,Anchovy sprat,2,,,,Herring-likes,Small pelagics (<30 cm),,0.71,3.0,6,1,Clupeonella engrauliformis,False,1,9999,35,16.0,1,False,True,601471,35,,16.5,45,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.0,0.2,NA,0.25,1.0,0.0
Cynoscion reticulatus,Mexican striped weakfish,3,3693.0,,,Perch-likes,Medium demersals (30 - 89 cm),,0.21,3.89,6,10,Cynoscion reticulatus,True,1,50,7,81.0,5,False,True,614030,33,,80.56,32,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.6,NA,0.5,70.0,0.5
Leiostomus xanthurus,Spot croaker,3,287.0,-99,18,Perch-likes,Medium demersals (30 - 89 cm),44,0.65,3.23,6,1,Leiostomus xanthurus,False,1,60,19,30.0,5,False,True,600429,33,-68,29.52,43,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.4,NA,0.75,29.0,0.5
Diplodus annularis,Annular seabream,3,142.0,-22,26,Perch-likes,Small benthopelagics (<30 cm),50,0.24,3.64,6,1,Diplodus annularis,True,1,90,27,21.0,13,False,True,601752,33,45,21.19,67,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.6,NA,0.5,50.0,0.25
Dussumieria elopsoides,Slender rainbow sardine,2,79.0,2,-21,Herring-likes,Small pelagics (<30 cm),38,0.55,3.4,6,1,Dussumieria elopsoides,True,1,50,-19,20.0,1,False,True,601454,35,172,20.0,36,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.2,NA,0.75,1.0,0.0
Coregonus nasus,Broad whitefish,6,2331.0,,,"Salmon, smelts, etc",Medium demersals (30 - 89 cm),,0.16,3.45,6,1,Coregonus nasus,False,1,50,59,58.0,5,False,True,602674,23,,58.22,73,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.5
Eutrigla gurnardus,Grey gurnard,8,1137.0,-28,23,Scorpionfishes,Medium demersals (30 - 89 cm),72,0.28,3.87,6,10,Eutrigla gurnardus,True,1,340,20,53.0,5,False,True,600068,34,45,52.54,70,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.25
Brotula piger
Brotula flaviviridis
Brotula jerdoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brotula townsendi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brotula imberbis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brotula ordwayi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brotula clarki,Pacific bearded brotula,12,5020.0,,,Other fishes & inverts,Large benthopelagics (>=90 cm),,0.13,3.0,6,1,Brotula clarkae,False,1,650,-6,94.0,15,False,True,608275,34,,94.3,25,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.0
Spaniblennius riodourensis,Rio de Oreo blenny,3,1.0,,,Perch-likes,Small demersals (<30 cm),,1.06,2.3,6,17,Spaniblennius riodourensis,True,1,30,14,5.0,4,False,True,622620,39,,5.1,35,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.2,NA,0.5,1.0,0.0
Lutjanus erythropterus,Crimson snapper,3,5206.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.35,4.5,6,5,Lutjanus erythropterus,False,1,100,-22,74.0,17,False,True,601406,33,,74.28,35,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.0
Etmopterus granulosus,Southern lanternshark,9,619.0,,,Sharks & rays,Small to medium sharks (<90 cm),,,4.2,6,220,Etmopterus granulosus,False,1,1620,-59,49.0,19,False,True,600679,38,,49.2,-29,0.0,0.0,0.25,0.5,0.5,0.5,0.0,0.75,0.4,NA,0.0,30.0,0.0
Lethrinus xanthochilus,Yellowlip emperor,3,4187.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.19,3.78,6,1,Lethrinus xanthochilus,False,1,150,-33,64.0,17,False,True,601852,33,,64.47,25,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.6,NA,0.5,70.0,0.0
