eez,key,scientific,entity_id
516,"Alfonsinos, redfishes",Berycidae,400240
516,Atlantic white marlin,Kajikia albida,600219
516,Smooth hammerhead,Sphyrna zygaena,600917
516,Oilfish,Ruvettus pretiosus,601044
516,African croakers,Pseudotolithus,503152
516,Frigate tuna,Auxis thazard,600094
516,"Porgies, seabreams",Sparidae,400330
516,Piked dogfish,Squalus acanthias,600139
516,Cuskeels,Ophidiidae,400186
516,"Scorpionfishes, flatheads",Scorpaeniformes,300059
516,Cape rock lobster,Jasus lalandii,690069
516,"Sea catfishes, coblers",Ariidae,400145
516,Galapagos shark,Carcharhinus galapagensis,600870
516,Bluenose warehou,Hyperoglyphe antarctica,600496
516,Bluefish,Pomatomus saltatrix,600364
516,Pelagic armorhead,Pseudopentaceros richardsoni,603611
516,Opah,Lampris guttatus,601072
516,Hammerhead sharks,Sphyrna,500693
516,Cape elephantfish,Callorhinchus capensis,600167
516,"Sharks, rays, skates",Elasmobranchii,200004
516,Billfishes,Istiophoridae,400419
516,Cape gurnard,Chelidonichthys capensis,605504
516,Mackerel/white sharks,Lamnidae,400009
516,"Sharks, rays, chimaeras",Chondrichthyes,200538
516,Atlantic bluefin tuna,Thunnus thynnus,600147
516,White seabream,Diplodus sargus sargus,601753
516,Leerfish,Lichia amia,600692
516,West African geryon,Chaceon maritae,690431
516,Blackbelly rosefish,Helicolenus dactylopterus,600076
516,Cape horse mackerel,Trachurus capensis,605382
516,Basking shark,Cetorhinus maximus,600090
516,Triggerfishes,Balistidae,400445
516,White barbel,Galeichthys feliceps,600288
516,Bluntnose sixgill shark,Hexanchus griseus,600637
516,"Herrings, shads, anchovies",Clupeiformes,300028
516,"Jacks, horse mackerels",Trachurus,500661
516,Skipjack tuna,Katsuwonus pelamis,600107
516,West coast sole,Austroglossus microlepis,600527
516,Squids,Teuthida,390002
516,Kingklip,Genypterus capensis,600485
516,Shortfin mako,Isurus oxyrinchus,600752
516,"Bramble, sleeper, dogfish sharks",Squaliformes,300009
516,Panga seabream,Pterogymnus laniarius,600448
516,Cape bonnetmouth,Emmelichthys nitidus nitidus,600395
516,Bonga shad,Ethmalosa fimbriata,601594
516,"Octopuses, pikas",Octopus,590013
516,"Scorpionfishes, rockfishes",Scorpaenidae,400264
516,Medusafishes,Centrolophidae,400421
516,"Basses, groupers, hinds",Serranidae,400289
516,"Mackerels, tunas, bonitos",Scombridae,400416
516,Octopuses,Octopodidae,490012
516,Benguela hake,Merluccius polli,600327
