"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","species","country","localities","source","commercial.group","functional.group","group.level","group.match","canonical","worldbank","NAME_CIAWF","CONTINENT","included"
0,0,100,100,100,0,0,0,0,0,0,0,"Ablennes hians","USA","Delaware Bay","Fishbase","Other fishes & inverts","Large pelagics (>=90 cm)","scientific",1,"United States","United States","United States","North America",TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abudefduf caroli",NA,"to be filled","Fishbase","Perch-likes","Small reef assoc. fish (<30 cm)","genus",1,NA,NA,NA,NA,FALSE
0,0,0,0,0,0,0,100,100,0,0,0,"Abudefduf luridus","Azores Is.","Azores Is","Fishbase","Perch-likes","Small reef assoc. fish (<30 cm)","scientific",1,"Azores","Azores","Azores","Seven seas (open ocean)",TRUE
100,100,100,100,100,100,100,100,100,100,100,100,"Abudefduf saxatilis","Panama","Punta de San Blas, on the Caribbean coast of the Isthmus of Panama","Fishbase","Perch-likes","Small reef assoc. fish (<30 cm)","genus",1,"Panama","Panama","Panama","North America",TRUE
100,100,0,0,0,0,0,0,0,0,100,100,"Abudefduf saxatilis","Brazil","São Paulo","Fishbase","Perch-likes","Small reef assoc. fish (<30 cm)","genus",1,"Brazil","Brazil","Brazil","South America",TRUE
100,100,100,100,100,100,100,100,100,100,100,100,"Abudefduf sexatilis","Panama","Punta de San Blas, on the Caribbean coast of the Isthmus of Panama","Fishbase","Perch-likes","Small reef assoc. fish (<30 cm)","genus",1,"Panama","Panama","Panama","North America",FALSE
100,100,0,0,0,0,0,0,0,0,100,100,"Abudefduf sexatilis","Brazil","São Paulo","Fishbase","Perch-likes","Small reef assoc. fish (<30 cm)","genus",1,"Brazil","Brazil","Brazil","South America",FALSE
0,0,0,0,0,100,100,100,100,0,0,0,"Abudefduf tsamaii","Japan","to be filled","Fishbase","Perch-likes","Small reef assoc. fish (<30 cm)","genus",1,"Japan","Japan","Japan","Asia",FALSE
0,0,0,0,0,0,0,0,0,100,100,100,"Acanthistius brasilianus","Argentina","Buenos Aires - Patagonian region, 1981-1983","Fishbase","Perch-likes","Medium benthopelagics (30 - 89 cm)","scientific",1,"Argentina","Argentina","Argentina","South America",TRUE
0,0,0,0,100,100,100,100,0,0,0,0,"Acanthocybium solandri","Bermuda","Bermuda","Fishbase","Perch-likes","Large pelagics (>=90 cm)","scientific",1,"Bermuda","United Kingdom","Bermuda","North America",FALSE
0,0,0,0,100,100,100,100,100,100,0,0,"Acanthocybium solandri","","Mediterranean","Fishbase","Perch-likes","Large pelagics (>=90 cm)","scientific",1,"","","",NA,FALSE
0,0,0,0,0,100,100,100,0,0,0,0,"Acanthocybium solandri","USA","North Carolina","Fishbase","Perch-likes","Large pelagics (>=90 cm)","scientific",1,"United States","United States","United States","North America",FALSE
