"commercial.group","functional.group","CONTINENT","species.spawning","spawnings.spawning","species.included","spawnings.included","species.sau","stocks.sau"
"Sharks & rays","Small to medium sharks (<90 cm)","Oceania",6,6,4,4,4,6
"Sharks & rays","Small to medium sharks (<90 cm)",NA,30,31,7,7,NA,NA
"Tuna & billfishes","Large pelagics (>=90 cm)","Africa",5,11,2,5,28,559
"Tuna & billfishes","Large pelagics (>=90 cm)","Asia",9,13,5,7,26,552
"Tuna & billfishes","Large pelagics (>=90 cm)","Europe",1,1,1,1,29,714
"Tuna & billfishes","Large pelagics (>=90 cm)","North America",8,15,5,8,28,554
"Tuna & billfishes","Large pelagics (>=90 cm)","Oceania",8,23,2,2,20,318
"Tuna & billfishes","Large pelagics (>=90 cm)","Seven seas (open ocean)",1,1,1,1,17,49
"Tuna & billfishes","Large pelagics (>=90 cm)","South America",8,8,0,0,23,215
"Tuna & billfishes","Large pelagics (>=90 cm)",NA,16,38,1,1,NA,NA
"Tuna & billfishes","Large reef assoc. fish (>=90 cm)","Oceania",1,1,1,1,1,1
"Tuna & billfishes","Medium pelagics (30 - 89 cm)","Africa",1,3,1,2,4,121
"Tuna & billfishes","Medium pelagics (30 - 89 cm)","Asia",4,8,3,7,4,91
"Tuna & billfishes","Medium pelagics (30 - 89 cm)","North America",5,11,4,10,6,75
"Tuna & billfishes","Medium pelagics (30 - 89 cm)","South America",1,3,1,3,6,36
"Tuna & billfishes","Medium pelagics (30 - 89 cm)",NA,5,11,0,0,NA,NA
"","","Africa",NA,NA,NA,NA,1,2
"","","Asia",NA,NA,NA,NA,3,9
"","","Europe",NA,NA,NA,NA,2,2
"","","North America",NA,NA,NA,NA,2,4
"","","South America",NA,NA,NA,NA,2,2
"Anchovies","Small pelagics (<30 cm)","Seven seas (open ocean)",NA,NA,NA,NA,1,1
"Cod-likes","Large benthopelagics (>=90 cm)","Africa",NA,NA,NA,NA,1,3
"Cod-likes","Large benthopelagics (>=90 cm)","Asia",NA,NA,NA,NA,2,2
"Cod-likes","Medium bathypelagics (30 - 89 cm)","Africa",NA,NA,NA,NA,2,3
"Cod-likes","Medium bathypelagics (30 - 89 cm)","Asia",NA,NA,NA,NA,1,1
"Cod-likes","Medium bathypelagics (30 - 89 cm)","North America",NA,NA,NA,NA,1,1
"Cod-likes","Medium bathypelagics (30 - 89 cm)","Oceania",NA,NA,NA,NA,6,15
"Cod-likes","Medium bathypelagics (30 - 89 cm)","South America",NA,NA,NA,NA,1,1
"Cod-likes","Medium benthopelagics (30 - 89 cm)","Africa",NA,NA,NA,NA,8,50
"Cod-likes","Medium benthopelagics (30 - 89 cm)","Asia",NA,NA,NA,NA,7,37
"Cod-likes","Medium benthopelagics (30 - 89 cm)","Seven seas (open ocean)",NA,NA,NA,NA,1,3
"Cod-likes","Medium demersals (30 - 89 cm)","South America",NA,NA,NA,NA,3,7
"Cod-likes","Medium pelagics (30 - 89 cm)","Europe",NA,NA,NA,NA,1,2
"Cod-likes","Small pelagics (<30 cm)","Asia",NA,NA,NA,NA,1,5
"Cod-likes","Small pelagics (<30 cm)","Seven seas (open ocean)",NA,NA,NA,NA,1,1
"Flatfishes","Large flatfishes (>=90 cm)","Africa",NA,NA,NA,NA,1,1
"Flatfishes","Small to medium flatfishes (<90 cm)","Oceania",NA,NA,NA,NA,7,21
"Flatfishes","Small to medium flatfishes (<90 cm)","South America",NA,NA,NA,NA,7,23
"Herring-likes","Large benthopelagics (>=90 cm)","Africa",NA,NA,NA,NA,2,2
"Herring-likes","Large benthopelagics (>=90 cm)","Asia",NA,NA,NA,NA,2,46
"Herring-likes","Large benthopelagics (>=90 cm)","Europe",NA,NA,NA,NA,2,3
"Herring-likes","Large benthopelagics (>=90 cm)","North America",NA,NA,NA,NA,1,2
"Herring-likes","Large benthopelagics (>=90 cm)","Oceania",NA,NA,NA,NA,2,15
"Herring-likes","Large pelagics (>=90 cm)","Africa",NA,NA,NA,NA,1,1
"Herring-likes","Large pelagics (>=90 cm)","Asia",NA,NA,NA,NA,1,9
"Other fishes & inverts","Large bathydemersals (>=90 cm)","Africa",NA,NA,NA,NA,6,27
"Other fishes & inverts","Large bathydemersals (>=90 cm)","South America",NA,NA,NA,NA,3,9
"Other fishes & inverts","Large bathypelagics (>=90 cm)","Africa",NA,NA,NA,NA,2,32
"Other fishes & inverts","Large bathypelagics (>=90 cm)","Asia",NA,NA,NA,NA,2,5
"Other fishes & inverts","Large bathypelagics (>=90 cm)","Europe",NA,NA,NA,NA,3,27
"Other fishes & inverts","Large bathypelagics (>=90 cm)","North America",NA,NA,NA,NA,2,6
"Other fishes & inverts","Large bathypelagics (>=90 cm)","Oceania",NA,NA,NA,NA,3,12
"Other fishes & inverts","Large bathypelagics (>=90 cm)","Seven seas (open ocean)",NA,NA,NA,NA,1,3
"Other fishes & inverts","Large bathypelagics (>=90 cm)","South America",NA,NA,NA,NA,1,8
"Other fishes & inverts","Large benthopelagics (>=90 cm)","Africa",NA,NA,NA,NA,2,2
"Other fishes & inverts","Large benthopelagics (>=90 cm)","Europe",NA,NA,NA,NA,2,4
"Other fishes & inverts","Large benthopelagics (>=90 cm)","North America",NA,NA,NA,NA,2,8
"Other fishes & inverts","Large benthopelagics (>=90 cm)","Seven seas (open ocean)",NA,NA,NA,NA,1,2
"Other fishes & inverts","Large demersals (>=90 cm)","Africa",NA,NA,NA,NA,5,35
"Other fishes & inverts","Large demersals (>=90 cm)","Seven seas (open ocean)",NA,NA,NA,NA,1,1
"Other fishes & inverts","Large pelagics (>=90 cm)","Africa",NA,NA,NA,NA,5,15
"Other fishes & inverts","Large pelagics (>=90 cm)","Europe",NA,NA,NA,NA,6,25
"Other fishes & inverts","Large reef assoc. fish (>=90 cm)","Asia",NA,NA,NA,NA,4,16
"Other fishes & inverts","Medium bathydemersals (30 - 89 cm)","Asia",NA,NA,NA,NA,1,4
"Other fishes & inverts","Medium bathydemersals (30 - 89 cm)","Europe",NA,NA,NA,NA,3,20
"Other fishes & inverts","Medium bathydemersals (30 - 89 cm)","South America",NA,NA,NA,NA,1,2
"Other fishes & inverts","Medium bathypelagics (30 - 89 cm)","Asia",NA,NA,NA,NA,1,1
"Other fishes & inverts","Medium bathypelagics (30 - 89 cm)","North America",NA,NA,NA,NA,2,2
"Other fishes & inverts","Medium bathypelagics (30 - 89 cm)","South America",NA,NA,NA,NA,1,1
"Other fishes & inverts","Medium benthopelagics (30 - 89 cm)","Seven seas (open ocean)",NA,NA,NA,NA,3,6
"Other fishes & inverts","Medium reef assoc. fish (30 - 89 cm)","Africa",NA,NA,NA,NA,6,44
"Other fishes & inverts","Medium reef assoc. fish (30 - 89 cm)","Europe",NA,NA,NA,NA,9,30
"Other fishes & inverts","Small bathydemersals (<30 cm)","Oceania",NA,NA,NA,NA,1,1
"Other fishes & inverts","Small bathypelagics (<30 cm)","Africa",NA,NA,NA,NA,1,8
"Other fishes & inverts","Small bathypelagics (<30 cm)","Oceania",NA,NA,NA,NA,2,5
"Other fishes & inverts","Small bathypelagics (<30 cm)","Seven seas (open ocean)",NA,NA,NA,NA,1,1
"Other fishes & inverts","Small benthopelagics (<30 cm)","Asia",NA,NA,NA,NA,2,2
"Other fishes & inverts","Small benthopelagics (<30 cm)","Europe",NA,NA,NA,NA,1,14
"Other fishes & inverts","Small demersals (<30 cm)","North America",NA,NA,NA,NA,3,6
"Other fishes & inverts","Small demersals (<30 cm)","Oceania",NA,NA,NA,NA,3,4
"Other fishes & inverts","Small demersals (<30 cm)","South America",NA,NA,NA,NA,2,5
"Other fishes & inverts","Small pelagics (<30 cm)","Africa",NA,NA,NA,NA,2,7
"Other fishes & inverts","Small pelagics (<30 cm)","Oceania",NA,NA,NA,NA,2,2
"Other fishes & inverts","Small reef assoc. fish (<30 cm)","Seven seas (open ocean)",NA,NA,NA,NA,1,2
"Perch-likes","Large bathydemersals (>=90 cm)","Africa",NA,NA,NA,NA,4,21
"Perch-likes","Large bathydemersals (>=90 cm)","Asia",NA,NA,NA,NA,2,2
"Perch-likes","Large bathypelagics (>=90 cm)","Africa",NA,NA,NA,NA,2,16
"Perch-likes","Large bathypelagics (>=90 cm)","Asia",NA,NA,NA,NA,1,14
"Perch-likes","Large bathypelagics (>=90 cm)","Europe",NA,NA,NA,NA,2,16
"Perch-likes","Large bathypelagics (>=90 cm)","North America",NA,NA,NA,NA,1,5
"Perch-likes","Large bathypelagics (>=90 cm)","Oceania",NA,NA,NA,NA,2,10
"Perch-likes","Large bathypelagics (>=90 cm)","Seven seas (open ocean)",NA,NA,NA,NA,1,3
"Perch-likes","Large bathypelagics (>=90 cm)","South America",NA,NA,NA,NA,1,5
"Perch-likes","Large benthopelagics (>=90 cm)","Seven seas (open ocean)",NA,NA,NA,NA,6,14
"Perch-likes","Medium bathydemersals (30 - 89 cm)","Africa",NA,NA,NA,NA,5,16
"Perch-likes","Medium bathydemersals (30 - 89 cm)","Asia",NA,NA,NA,NA,3,14
"Perch-likes","Medium bathydemersals (30 - 89 cm)","Oceania",NA,NA,NA,NA,5,13
"Perch-likes","Medium bathydemersals (30 - 89 cm)","Seven seas (open ocean)",NA,NA,NA,NA,1,1
"Perch-likes","Medium bathydemersals (30 - 89 cm)","South America",NA,NA,NA,NA,2,2
"Perch-likes","Medium bathypelagics (30 - 89 cm)","Africa",NA,NA,NA,NA,2,32
"Perch-likes","Medium bathypelagics (30 - 89 cm)","Asia",NA,NA,NA,NA,2,24
"Perch-likes","Medium bathypelagics (30 - 89 cm)","Europe",NA,NA,NA,NA,2,39
"Perch-likes","Medium bathypelagics (30 - 89 cm)","North America",NA,NA,NA,NA,1,2
"Perch-likes","Medium bathypelagics (30 - 89 cm)","Oceania",NA,NA,NA,NA,4,10
"Perch-likes","Medium bathypelagics (30 - 89 cm)","Seven seas (open ocean)",NA,NA,NA,NA,1,3
"Perch-likes","Medium bathypelagics (30 - 89 cm)","South America",NA,NA,NA,NA,3,5
"Perch-likes","Small bathydemersals (<30 cm)","North America",NA,NA,NA,NA,1,2
"Perch-likes","Small pelagics (<30 cm)","Africa",NA,NA,NA,NA,1,1
"Perch-likes","Small pelagics (<30 cm)","Asia",NA,NA,NA,NA,4,23
"Perch-likes","Small reef assoc. fish (<30 cm)","Africa",NA,NA,NA,NA,9,24
"Salmon, smelts, etc","Large bathydemersals (>=90 cm)","Europe",NA,NA,NA,NA,1,6
"Salmon, smelts, etc","Large bathydemersals (>=90 cm)","North America",NA,NA,NA,NA,1,2
"Salmon, smelts, etc","Large demersals (>=90 cm)","Asia",NA,NA,NA,NA,1,1
"Salmon, smelts, etc","Large demersals (>=90 cm)","North America",NA,NA,NA,NA,2,7
"Salmon, smelts, etc","Large pelagics (>=90 cm)","Asia",NA,NA,NA,NA,2,2
"Salmon, smelts, etc","Large pelagics (>=90 cm)","Europe",NA,NA,NA,NA,2,44
"Salmon, smelts, etc","Large pelagics (>=90 cm)","North America",NA,NA,NA,NA,1,3
"Salmon, smelts, etc","Medium bathydemersals (30 - 89 cm)","Africa",NA,NA,NA,NA,1,1
"Salmon, smelts, etc","Medium bathydemersals (30 - 89 cm)","Oceania",NA,NA,NA,NA,1,1
"Salmon, smelts, etc","Medium pelagics (30 - 89 cm)","Africa",NA,NA,NA,NA,1,4
"Salmon, smelts, etc","Medium pelagics (30 - 89 cm)","Asia",NA,NA,NA,NA,3,5
"Salmon, smelts, etc","Medium pelagics (30 - 89 cm)","Europe",NA,NA,NA,NA,3,36
"Salmon, smelts, etc","Medium pelagics (30 - 89 cm)","North America",NA,NA,NA,NA,4,11
"Salmon, smelts, etc","Small pelagics (<30 cm)","Asia",NA,NA,NA,NA,2,4
"Salmon, smelts, etc","Small pelagics (<30 cm)","Europe",NA,NA,NA,NA,2,9
"Scorpionfishes","Medium bathydemersals (30 - 89 cm)","Africa",NA,NA,NA,NA,5,27
"Scorpionfishes","Medium bathydemersals (30 - 89 cm)","Asia",NA,NA,NA,NA,3,7
"Scorpionfishes","Medium bathydemersals (30 - 89 cm)","Oceania",NA,NA,NA,NA,1,1
"Scorpionfishes","Medium bathypelagics (30 - 89 cm)","Asia",NA,NA,NA,NA,1,1
"Scorpionfishes","Medium bathypelagics (30 - 89 cm)","Europe",NA,NA,NA,NA,1,6
"Scorpionfishes","Medium bathypelagics (30 - 89 cm)","North America",NA,NA,NA,NA,1,2
"Scorpionfishes","Medium benthopelagics (30 - 89 cm)","Asia",NA,NA,NA,NA,2,2
"Scorpionfishes","Medium benthopelagics (30 - 89 cm)","Europe",NA,NA,NA,NA,2,30
"Scorpionfishes","Medium pelagics (30 - 89 cm)","North America",NA,NA,NA,NA,1,2
"Scorpionfishes","Medium reef assoc. fish (30 - 89 cm)","Asia",NA,NA,NA,NA,1,2
"Scorpionfishes","Medium reef assoc. fish (30 - 89 cm)","Europe",NA,NA,NA,NA,1,1
"Scorpionfishes","Medium reef assoc. fish (30 - 89 cm)","North America",NA,NA,NA,NA,5,9
"Scorpionfishes","Small demersals (<30 cm)","Africa",NA,NA,NA,NA,4,31
"Scorpionfishes","Small demersals (<30 cm)","Asia",NA,NA,NA,NA,5,28
"Scorpionfishes","Small demersals (<30 cm)","North America",NA,NA,NA,NA,3,5
"Scorpionfishes","Small demersals (<30 cm)","Oceania",NA,NA,NA,NA,1,1
"Scorpionfishes","Small demersals (<30 cm)","South America",NA,NA,NA,NA,1,1
"Scorpionfishes","Small reef assoc. fish (<30 cm)","Africa",NA,NA,NA,NA,1,10
"Scorpionfishes","Small reef assoc. fish (<30 cm)","Asia",NA,NA,NA,NA,1,11
"Scorpionfishes","Small reef assoc. fish (<30 cm)","Europe",NA,NA,NA,NA,1,24
"Scorpionfishes","Small reef assoc. fish (<30 cm)","North America",NA,NA,NA,NA,2,5
"Scorpionfishes","Small reef assoc. fish (<30 cm)","Oceania",NA,NA,NA,NA,1,3
"Sharks & rays","Large rays (>=90 cm)","Seven seas (open ocean)",NA,NA,NA,NA,2,4
"Sharks & rays","Small to medium sharks (<90 cm)","Africa",NA,NA,NA,NA,9,64
"Sharks & rays","Small to medium sharks (<90 cm)","Europe",NA,NA,NA,NA,9,108
"Sharks & rays","Small to medium sharks (<90 cm)","South America",NA,NA,NA,NA,3,5
"Tuna & billfishes","Large reef assoc. fish (>=90 cm)","Africa",NA,NA,NA,NA,1,3
"Tuna & billfishes","Large reef assoc. fish (>=90 cm)","Asia",NA,NA,NA,NA,1,3
"Tuna & billfishes","Large reef assoc. fish (>=90 cm)","Europe",NA,NA,NA,NA,1,3
"Tuna & billfishes","Large reef assoc. fish (>=90 cm)","Seven seas (open ocean)",NA,NA,NA,NA,1,3
"Tuna & billfishes","Medium pelagics (30 - 89 cm)","Europe",NA,NA,NA,NA,5,149
"Tuna & billfishes","Medium pelagics (30 - 89 cm)","Oceania",NA,NA,NA,NA,2,11
"Tuna & billfishes","Medium pelagics (30 - 89 cm)","Seven seas (open ocean)",NA,NA,NA,NA,3,8
