ID,region,count,species,new FAO region,EEZ,Freshwater spawning or seas not in FAO region,TO DO,
249,Equatorial Pacific waters,1,Xiphias-gladius,"77; 71; 87: 1.11, 1.12, 1.13, 1.14, 1.21, 1.22, 1.23, 1.24, 1.3, 1.4",,,1,
250,Gulf of Terpenie,1,Eleginus-gracilis,61,Russia,,,
251,"Hectate Strait, 1990",1,Gadus-macrocephalus,67,Canada,,0,I assume this is a typo for Hecate Strait.
252,"Irminger Sea, 1969",1,Sebastes-mentella,21: 1.F; 27: XIV.b.2,,,,
255,Kanin-Kolguyev Shelf and area off the Central Deep,1,Boreogadus-saida,27: I.b,Russia,,,
256,"North Pacific and continental shelves and slopes, off southern California and Baja California",1,Somniosus-pacificus,67; 77; 61; 71,,,1,
269,"Norwegian and Barent Sea, North to the Lofoten area",1,Trisopterus-esmarkii,"27: I, II.a",,,,
273,"Southern Bight, German Bight, Flamborough, 1985-1986",1,Pleuronectes-platessa,"27: IV.c, IV.b",,,,
275,"Southern Davis Strait, Eastern Denmark Strait, Off north-western Norway",1,Reinhardtius-hippoglossoides,"21: 0, 1, 2; 27: XIV, V, II",,,,
276,"Southwestern Cape Province, northern Natal.",1,Squalus-edwartsii,"47: 1.6, 2.1, 2.2; 51: 8",,,,
277,Straits of Magellan,1,Etmopterus-paessleri,41: 3.2 ; 87: 3.13,,,,
285,Tropical and subtropical Atlantic,1,Tetrapturus-pfluegeri,"31; 41: 1.1, 1.2, 1.3, 1.4, 2.1, 2.2, 2.3, 2.4; 47: 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 2.1, 2.2, A, A.1, B, B.1, C, C.1; 34: 1.11, 1.12, 1.13, 1.2, 1.31, 1.32, 2, 4.1, 4.2, 3.11, 3.12, 3.13, 3.2, 3.3, 3.4, 3.5, 3.6, 4.1; 21: 6.A, 6.B, 6.C, 6.D, 6.E, 6.F, 6.G, 6.H; 27: IX.a, IX.b.1, IX.b.2, X.a.1, X.a.2",,,1,
288,Tropical Atlantic,1,Carcharhinus-isodon,"31; 41: 1.1, 1.2, 1.3, 1.4; 47: 1.1, 1.2, 1.3, A, A.1; 34: 1.32, 4.2, 3.11, 3.12, 3.13, 3.2, 3.3, 3.4, 3.5, 3.6, 4.1",,,,
307,Tropical Eastern Atlantic,1,Scomberomorus-tritor,"34: 1.32, 4.2, 3.11, 3.12, 3.13, 3.2, 3.3, 3.4, 3.5, 3.6, 4.1; 47: 1.1, 1.2, 1.3, A, A.1",,,,
328,Villafranca Bay,1,Diplodus-puntazzo,37: 1.2,France,,,
329,West Indies,1,Albula-vulpes,31,"Cayman Islands, Cuba, Dominican Republic, Haiti, Jamaica, Puerto Rico, Anguilla, Antigua and Barbuda, Aruba, Barbados, Bonaire, British Virgin Islands, Curacao, Dominica, Grenada, Guadeloupe, Martinique, Montserrat, Saba, Saint Kitts and Nevis, Saint Lucia, Northern Saint-Martin, Saint Vincent and the Grenadines, Sint-Eustasius, Sint-Maarten, Trinidad and Tobago, Guyana, Virgin Islands of the United States, Venezuela, Bahamas, Turks and Caicos Islands",,,
356,Western North Pacific continental shelves,1,Pristiophorus-japonicus,61,,,,
361,"Western North Pacific, Hawaiian Islands, New Zealand, off Philippines, off South Africa, off southern Australia and Tasmania, off northern Chile, Gulf of Mexico",1,Squalus-mitsukurii,"77; 81; 71; 61; 47: 1.6, 2.1, 2.2; 51: 8; 57: 5.2, 6; 87: 2.11, 2.12, 2.13, 2.14, 2.21, 2.22, 2.23, 2.24, 2.6; 31",,,,
362,"Western Pacific continental shelf, Japanese waters",1,Scyliorhinus-torazame,61,Japan,,,
366,Western Pacific: around Commander Island and coast of Siberia,1,Gadus-macrocephalus,61,Russia,,,
368,Gulf of Guinea,2,Euthynnus-alletteratus Scomber-quadripunctatus,34,"Liberia, Ivory Coast, Ghana, Togo, Benin , Nigeria, Cameroon, Equatorial Guinea, Gabon, Sao Tome and Principe, Congo Republic, Democratic Republic of the Congo",,,
372,Juan Fern箝攘ndez,2,Epinephelus-oxygeneios Polyprion-oxygeneios,87: 2.4,,,,
373,Western Central Atlantic,2,Achirus-maculipinnis-gunteri Scyliorhinus-hesperius,31,,,,
374,boreal North Atlantic,1,Centroscyllium-fabricii,"21: 2, 3, 4; 27: V, III, II, I",,,,
375,Central and South American continentals shelves,1,Mustelus-dorsalis,77; 87: 1,,,,
379,Central East Atlantic,1,Spondyliosoma-cantharus,34,,,,
380,Ganges Hooghly system,1,Carcharhinus-gangeticus,0,,Carcharhinus-gangeticus,,
383,Gulf of Sakhalin,1,Eleginus-gracilis,61,Russia,,,
390,Not specified (probably North Korea),1,Salvelinus-malma-malma,0,North Korea,Salvelinus-malma-malma,,
391,south of Start Point and south of Portland Bill,1,Pleuronectes-platessa,27: VII.e,United Kingdom,,,
393,Tartar Strait,1,Eleginus-gracilis,61,Russia,,,
394,Varna,1,Mesogobius-batrachocephalus,0,Bulgaria,Mesogobius-batrachocephalus,,
248,Celtic Sea,1,Melanogrammus-aeglefinus,"27: VII.g, VII.h",,,,
