ID,region,count,species,new FAO region,EEZ,Freshwater spawning or seas not in FAO region,TO DO,
79,Terre Adelie,4,Notothenia-neglecta Trematomus-bernachii Trematomus-hansoni-georgianus Trematomus-hansoni,58: 4.1,,,,
80,Tropical Indo-Pacific,4,Carcharhinus-melanopterus Carcharhinus-melanoptures Carcharhinus-melanoterus Squalus-carcharias-minor,51; 57; 71,,,,
81,Western North Atlantic,4,Mycteroperca-venenosa Negaprion-brevirostris Pollachius-virens Serranus-rupestris,21,,,,
82,Andaman Sea,3,Lutjanus-johnii Lutjanus-kasmira Serranus-pavoninus,57: 1,,,,
83,Around Rameswaram Island between India and Sri Lanka,3,Scomber-leopardus Scomberomorus-guttatus Scomberomorus-kuhlii,"57: 1 - Sri Lanka, 1 - India",,,,
84,Atlantic Iberian coast,3,Lophius-budegassa Lophius-piscatorius-budegassa Lophius-piscatorius,"27: IX.a, VIII.c",,,,
85,"Atlantic Ocean, 1959-1964",3,Scomber-sloanei Thunnus-albacares Thunnus-zacalles,21; 27; 31; 34; 41; 47,,,,
86,Bay of Bengal,3,Istiophorus-audax Kajikia-audax Makaira-zelandica,57: 1,,,,
87,"Bay of Biscay, 1994-95",3,Merluccius-merluccius Merluccius-vulgaris Molva-byrkelange,27: VIII,,,,
88,between Hawaii and Japan (Ref. 6885).,3,Scomber-germon Thunnus-alalunga Thunnus-pacificus,77: United States; 61: Japan,,,,
89,"British Isles, Mediterranean and Black sea",3,Belone-belone Belone-vulgaris Hemiramphus-obtusus,"27: IV, V, VI, VII; 37",,,,
90,Caribbean sea,3,Epinephelus-guttatus Epinephelus-lightfooti Serranus-stathouderi,31,,,,
91,Central Indo-West Pacific,3,Rastrelliger-brachysoma Rastrelliger-neglectus Scomber-neglectus,"51: 1, 2, 3, 4, 5, 6; 57: 1, 2, 3, 5.1; 71",,,,
92,Channel,3,Atherina-presbyter Microchirus-variegatus Solea-variegata,"27: VII.d, VII.e",,,,
93,Delaware Bay,3,Leucoraja-erinacea Raja-eglanteria Raja-erinaceus,21: 6.B,,,,
94,"Eastern Atlantic (West Mediterranean, off Strait of Gibraltar)",3,Scomber-thynnus Thunnus-thynnus Thunnus-vulgaris,27: IX.a; 37: 1.1; 34: 1.11,,,,
95,Eastern Atlantic and Mediterranean seas,3,Chromis-chromis Spicara-royeri Spicara-smaris,27; 37; 34; 47,,,,
96,eastern Atlantic and southwestern Mediterranean Sea,3,Dentex-cuninghamii Pagellus-bellottii Pagellus-coupei,27; 37: 1.1; 34; 47,,,,
97,Eastern Atlantic_,3,Scomber-sloanei Thunnus-albacares Thunnus-zacalles,27; 34; 47,,,,
98,Eastern Central Pacific,3,Atractoscion-nobilis Cynoscion-nobilis Cynoscion-parvipinnis,"77; 87: 1, 2",,,,
99,Eastern Gulf of Mexico,3,Sphyrna-tiburo Sphyrna-vespertina Squalus-tiburo,31,"United States, Cuba",,,
100,Ligurian Sea,3,Helicolenus-dactylopterus Scorpaena-dactyloptera Sebastes-maculatus,"37: 1.2, 1.3","France, Italy",,,
101,Macedonia,3,Salmo-aphelios Salmo-balcanicus Salmo-letnica-typicus,0,,Salmo-aphelios Salmo-balcanicus Salmo-letnica-typicus,,
102,Mediterranean coasts,3,Chelon-labrosus Liza-chelo Mugil-septentrionalis,"37: 1, 2, 3",,,,
103,north of 40째N,3,Argentina-pennanti Maurolicus-muelleri Salmo-muelleri,0,,Salmo-muelleri,,
104,North of the equator,3,Auxis-thazard Auxis-thazzard Scomber-thazard,21; 31; 34; 27; 37; 61; 71; 77; 51; 57,,,,
105,North Sea (northern) and Skagerrak,3,Merluccius-merluccius Merluccius-vulgaris Molva-byrkelange,"27: IV, III.a",,,,
106,North--West Atlantic: 3Ps,1,Limanda-ferruginea,21: 3.P.s,,,,
107,North--West Atlantic: 3Ps,2,Glyptocephalus-cynoglossus Hippoglossoides-platessoides Limanda-ferruginea,21: 3.P.s,,,,
108,Northeast Atlantic (south of 48째N),3,Helicolenus-dactylopterus Scorpaena-dactyloptera Sebastes-maculatus,27,,,,
109,Northeastern Caribbean,3,Lutjanus-analis Lutjanus-jocu Scomberomorus-cavalla,31,"Haiti, Puerto Rico, Virgin Islands of the United States, British Virgin Islands, Dominican Republic, Anguilla, Antigua and Barbuda",,,
110,Northeastern Indian Ocean between 10째S and 20째S,3,Istiophorus-audax Kajikia-audax Makaira-zelandica,"57: 1, 2, 5.1",,,,
111,Northwestern Mediterranean,3,Lutjanus-norwegicus Lutjanus-virescens Symphodus-melops,37: 1,,,,
112,"Off Florida, Atlantic coast",3,Sphyrna-tiburo Sphyrna-vespertina Squalus-tiburo,31,United States,,,
113,"Off Florida, South China Sea",3,Sphyrna-mokarran Sphyrna-mokorran Sphyrna-mukaran,"31: United States; 71: China, Vietnam, Philippines, Taiwan, Brunei, Malaysia, Indonesia, Singapore",,,,
114,Reykjanes and Mid-Atlantic ridge,3,Coryphaena-rupestris Coryphaenoides-rupestris Macrourus-stroemii,"27: V.a.1, XII.a; 21; 31; 34; 41; 47",Iceland,And Atlantic High seas,,
115,"Rockall Trough, 1992-93",3,Helicolenus-dactylopterus Scorpaena-dactyloptera Sebastes-maculatus,27: VI.b,,,,
116,South China Sea/Andaman Sea,3,Pristipomoides-multidens Pristipomoides-sparus Pristipomoides-typus,"71: China, Vietnam, Philippines, Taiwan, Brunei, Malaysia, Indonesia, Singapore; 57: 1",,,,
117,Southeast Arabian Sea,3,Scomber-maculosus Scomberomorus-commerson Scomberomorus-commersonii,"51: 3, 4, 5",,,,
118,Southeastern Mediterranean,3,Epinephelus-aeneus Epinephelus-aenus Serranus-aeneus,37: 3.2,,,,
120,Southern Indian Ocean,3,Auxis-thazard Auxis-thazzard Scomber-thazard,"51: 6, 7, 8; 57: 4, 5.2, 6, 3",,,,
122,Southwestern Indian Ocean (1),3,Carcharhinus-amboinensis Carcharhinus-brachyurus Carcharhinus-rochensis,"51: 6, 7, 8",,,,
123,Southwestern Indian Ocean (2),3,Carcharhinus-amboinensis Carcharhinus-brachyurus Carcharhinus-rochensis,"51: 6, 7, 8",,,,
126,"Arctic and boreal Atlantic, North Atlantic (Gulf of maine and North Sea), off South Africa deepwater, off Kerguelen Island",2,Somniosus-microcephalus Squalus-norvegianus,"21:5, 4.X; 27: IV, I, II, III, XIV, V; 58: 5.1",,,,
127,Arctic Seas,2,Myoxocephalus-quadricornis-relicta Myoxocephalus-quadricornis,"18: Alaska, Canada, Greenland; 27: Norway, Sweden, Finland, Russia, Denmark, Greenland, Iceland",,,,
129,Atlantic South America,1,Carcharhinus-oxyrhynchus,41,,,,
130,Atlantic South America,1,Mustelus-schmitti,41,,,,
131,Baltic Sea (open part),2,Sprattus-sprattus-balticus Sprattus-sprattus,27: III,,,,
132,Barents & Norwegian Seas,2,Melanogrammus-aeglefinus Sebastes-mentella,27: I,,,,
133,Barents Sea,2,Gadus-morhua Limanda-limanda,27: I,,,,
134,"Bornholm, Stolpe, and Gulf of Gdansk area",2,Sprattus-sprattus-balticus Sprattus-sprattus,27: I,,,,
135,British Isles (West stock),2,Scomber-scombrus Scomber-vulgaris,"27: IV, V, VI, VII",,,,
136,Caribbean,2,Epinephelus-striatus Serranus-striatus,31,,,,
137,"Carribean, South America",2,Rhizoprionodon-porosus Squalus-porosus,31; 41,,,,
138,Caspian Sea,2,Clupeonella-engrauliformis Harengula-macrophthalma,0,,Clupeonella-engrauliformis Harengula-macrophthalma,,
139,Central Europe,2,Acipenser-ruthenus Molva-maculosa,0,,Acipenser-ruthenus Molva-maculosa,,
140,"Central Pacific, western North Atlantic, Southwestern Indian Ocean",2,Carcharhinus-longimanus Squalus-longimanus,"21; 71; 77; 87: 1, 2; 51: 6, 7, 8",,,,
141,Channel (western part),2,Pegusa-lascaris Solea-vermeuleni,27: VII.e,,,,
143,"East China Sea, Gulf of Mannar, off eastern Cape of South Africa",2,Sphyrna-zygaena Squalus-zygaena,"51: South Africa; 47: South Africa; 57: 1 - Sri Lanka, 1 - India; 61: China",,South Africa in 51.8 and 47.2,,
144,Eastern and central Pacific,2,Carcharhinus-falciformis Carcharhinus-menissorrah,"77; 87: 1, 2; 81; 71; 61",,,,
145,Eastern and western Atlantic,2,Euthynnus-alletteratus Scomber-quadripunctatus,31; 41;  34; 47; 27; 21,,,,
146,eastern Atlantic and Mediterranean Sea,2,Diplodus-cervinus-cervinus Diplodus-trifasciatus,"34; 47; 37: 1, 2, 3; 27;",,,,
147,"Eastern Atlantic continental shelf, Mediterranean",2,Scyliorhinus-stellaris Squalus-stellaris,"34; 47; 37: 1, 2, 3; 27;",,,,
148,"Eastern North Pacific and western North Atlantic, off southern coast of Natal",2,Carcharhinus-obscurus Squalus-obscurus,67; 21,,,,
150,European and North African continental shelves,2,Squalus-squatina Squatina-squatina,37; 34; 27,,,,
151,Gotland Deep and northern Baltic proper,2,Sprattus-sprattus-balticus Sprattus-sprattus,27: III,,,,
153,"Gulf of St. Lawrence, 1970-72",2,Clupea-harengus-membras Clupea-harengus,"21: 4.T, 4.S, 4.R",,,,
156,Indian waters,2,Echinorhinus-brucus Squalus-spinosus,51; 57,,,,
158,"Kattegat and Skagerrak (Denmark, Norway and Sweden)",2,Scomber-scombrus Scomber-vulgaris,27: III.a,,,,
159,Lake Ohrid,2,Salmo-balcanicus Salmo-lumi,0,,Salmo-balcanicus Salmo-lumi,,
160,Lake Superior,2,Coregonus-quadrilateralis Salmo-quadrilateralis,0,,Coregonus-quadrilateralis Salmo-quadrilateralis,,
161,Madeira Is.,2,Promethichthys-prometheus Tetrapturus-pfluegeri,34: 1.2,,,,
162,Mediterannean,2,Microchirus-variegatus Solea-variegata,"37: 1, 2, 3",,,,
163,Mediterranean and eastern Atlantic,2,Anthias-anthias Serranus-anthias,"27; 37: 1, 2, 3; 34; 47",,,,
164,Mediterrannean and off Morocco,2,Sarda-sarda Scomber-sarda,"37: 1, 2, 3; 34: 1.11, 1.12, 1.31",,,,
165,Mekong mainstream,2,Barbonymus-gonionotus Lutjanus-scandens,0,,Barbonymus-gonionotus Lutjanus-scandens,,
166,Michigan and Huron Lakes,2,Coregonus-quadrilateralis Salmo-quadrilateralis,0,,Coregonus-quadrilateralis Salmo-quadrilateralis,,
167,Mongolia,2,Salmo-taimen Salvelinus-taimen,0,,Salmo-taimen Salvelinus-taimen,,
168,"NE Atlantic, 1976",2,Scomber-scombrus Scomber-vulgaris,27,,,,
169,North Arabian Gulf,2,Lethrinus-nebulosus Lethrinus-scoparius,"51: 3, 4, 5",,,,
170,North Atlantic and Mediterranean,2,Lepidorhombus-boscii Lepidorhombus-whiffiagonis,"27; 37: 1, 2, 3",,,,
172,"North Atlantic, off the Atlantic coast of Europe and the British Isles, off North America",2,Lamna-nasus Squalus-selanonus,"21; 31; 27: IV, V, VI, VII, X, IX, VIII, XII, XIV",,,,
173,North Sea and Mediterranean,2,Mullus-barbatus-barbatus Mullus-ruber,37; 27: IV,,,,
174,North Sea Southern Bight & Eastern English Channel,2,Clupea-harengus-membras Clupea-harengus,"27: VII.d, IV.c",,,,
175,"North Sea, 1991",2,Solea-solea Solea-vulgaris-vulgaris,27: IV,,,,
176,"North Sea, Skagerrak and Kattegat (East stock)",2,Scomber-scombrus Scomber-vulgaris,"27: IV, III.a",,,,
177,North--West Atlantic: 3LNO,2,Hippoglossoides-platessoides Limanda-ferruginea,"21: 3.L, 3.N, 3.O",,,,
178,Northeast Atlantic and Mediterranean,2,Chelidonichthys-cuculus Trigla-pini,"27; 37: 1, 2, 3",,,,
179,Northeastern Indian Ocean south of Java (between 7째S and 20째S),2,Thunnus-maccoyii Thunnus-thynnus-maccoyii,"57: 1, 2, 3, 5.1",,,,
180,Northern Adriatic,2,Diplodus-annularis Pagellus-erythrinus,37: 2.1,,,,
181,Northern Europe and Mediterranean,2,Anchoviella-guineensis Engraulis-encrasicolus,27; 37; 34,,,,
182,Northern Indian Ocean,2,Carcharhinus-amblyrhynchos Carcharhinus-wheeleri,"51: 3, 4, 5; 57: 1, 2, 3, 5.1",,,,
183,Northern Red Sea,2,Lethrinus-nebulosus Lethrinus-scoparius,51.1,,,,
184,Northwestern Gulf of Mexico,2,Carcharhinus-falciformis Carcharhinus-menissorrah,31,"United States, Mexico",,,
185,Northwestern Indian Ocean,2,Carcharhinus-albimarginatus Carcharhinus-platyrhynchus,"51: 3, 4, 5",,,,
186,"NW Atlantic Stock, 1940s",2,Squalus-acanthias Squalus-whitleyi,27,,,,
187,"NW Atlantic stock, 1961",2,Squalus-acanthias Squalus-whitleyi,27,,,,
188,"NW Atlantic, 1970-78",2,Squalus-acanthias Squalus-whitleyi,27,,,,
189,"NW Atlantic, 1977",2,Scomber-scombrus Scomber-vulgaris,27,,,,
190,"NW Atlantic, 1980-81",2,Squalus-acanthias Squalus-whitleyi,27,,,,
191,"NW Atlantic, 1983-84",2,Scomber-scombrus Scomber-vulgaris,27,,,,
192,"off Florida, Caribbean",2,Ginglymostoma-cirratum Squalus-punctulatus,31,United States,,,
193,Off African coasts of Mediterranean,2,Alosa-pilchardus Sardina-pilchardus,"37: 1.1, 1.3, 2.2, 3.2","Morocco, Algeria, Libya, Tunisia, Egypt",,,
194,Off European coasts of Mediterranean,2,Alosa-pilchardus Sardina-pilchardus,"37: 1, 2, 3.1","Spain, France, Italy, Croatia, Slovenia, Bosnia and Herzegovina, Montenegro, Albania, Greece, Turkey",,,
195,Off north African coast,2,Lepidopus-caudatus Trichiurus-gladius,"34; 37: 1.1, 1.3, 2.2, 3.2",,,,
196,"Off southern England, northern France and in the North Sea",2,Scomber-scombrus Scomber-vulgaris,"27: IV, VII.d, VII.e",,,,
197,"Off the Atlantic seaboard of North America, off the eastern North Pacific, off the British Isles",2,Cetorhinus-maximus Squalus-rostratus,"21; 31; 67; 27: IV, V, VI, VII",,,,
198,off the coast of North Africa,2,Katsuwonus-pelamis Scomber-pelamys,"34; 37: 1.1, 1.3, 2.2, 3.2",,,,
199,off West Africa,2,Squalus-blainville Squalus-blainvillei,34; 47,,,,
201,South China Sea,2,Istiompax-indica Makaira-xantholineata,71,"Vietnam, Philippines, Taiwan, Brunei, Malaysia, Indonesia, Singapore",,,
202,South Shetland,2,Chionodraco-rastrospinosus Trisopterus-esmarkii,48.1,Antarctica,,,
203,southeastern part of North Sea,2,Anchoviella-guineensis Engraulis-encrasicolus,27: IV.c,,,,
206,"Southern North Sea, Skagerrak, Kattegat",2,Solea-solea Solea-vulgaris-vulgaris,"27: IV.c, III.a",,,,
207,southern part of range,2,Coregonus-quadrilateralis Salmo-quadrilateralis,0,,Coregonus-quadrilateralis Salmo-quadrilateralis,,
208,Southestern Indian Ocean,2,Carcharhinus-maculipinnis Squalus-brevipinna,"57: 4, 5.2, 6, 3",,,,
209,southwest Atlantic (1998-2003),2,Bathyraja-albomaculata Raja-albomaculata,87; 41,,,,
210,Southwest Pacific,2,Lamna-nasus Squalus-selanonus,81,,,,
211,Southwestern Gulf of Mexico,2,Carcharhinus-falciformis Carcharhinus-menissorrah,31,Mexico,,,
212,Southwestern Indian Ocean,2,Carcharhinus-albimarginatus Carcharhinus-platyrhynchus,"51: 6, 7, 8",,,,
213,Southwestern Pacific,2,Carcharhinus-falciformis Carcharhinus-menissorrah,81,,,,
214,Spanish and Portueguese coast,2,Alosa-pilchardus Sardina-pilchardus,"27: Spain, Portugal; 37: Spain",,,,
215,subtropical and tropical waters of the Pacific and Indian oceans,2,Istiompax-indica Makaira-xantholineata,51; 57; 81; 71; 77; 61; 87,,,,
216,"W. Europe, 1986",2,Scomber-scombrus Scomber-vulgaris,27,,,,
217,Western and southwestern Baltic,2,Clupea-harengus-membras Clupea-harengus,27: III,,,,
219,western Mediterranean,2,Diplodus-sargus-sargus Labrus-merula,37: 1,,,,
221,White Sea,2,Boreogadus-saida Gadus-morhua,27: I,,,,
222,Aegean Sea,1,Dentex-macrophthalmus,37: 3.1,,,,
223,Anadyr River,1,Molva-maculosa,0,,Molva-maculosa,,
224,Arctic,1,Reinhardtius-hippoglossoides,"18: Alaska, Canada, Greenland; 27: Norway, Sweden, Finland, Russia, Greenland, Denmark, Iceland",,,,
225,Arctic Sea,1,Boreogadus-saida,"18: Alaska, Canada, Greenland; 27: Norway, Sweden, Finland, Russia, Greenland, Denmark, Iceland",,,,
227,Arkona and Bornholm basin,1,Platichthys-flesus,"27: III.d.24, III.d.25",,,,
228,Arkona-Bornholm deeps,1,Pleuronectes-platessa,"27: III.d.24, III.d.25",,,,
229,"Atlantic continental slope, off British Isles",1,Oxynotus-paradoxus,"27: IV, V, VI, VII",,,,
230,Atlantic South American continental shelf,1,Mustelus-striatus,41,,,,
231,Australian contiental shelf,1,Pristiophorus-owenii,57: Australia; 71: Australia; 81:Australia,,,,
232,"Barent Sea, 1977-88",1,Pleuronectes-platessa,27: I,,,,
233,"Barents & Norwegian Seas, 1992",1,Sebastes-mentella,"27: I, II",,,,
234,Bering Sea,1,Theragra-chalcogramma,61: Russia; 67: United States,,,,
235,Between British Isles and Bay of Biscay,1,Merlangius-merlangus,"27: VIII, IV, V, VI, VII",,,,
236,Black Sea,1,Boops-boops,"37: 4.1, 4.2, 4.3",,,,
237,Black Sea 1,1,Diplodus-annularis,"37: 4.1, 4.2, 4.3",,,,
238,Black Sea 2,1,Diplodus-annularis,"37: 4.1, 4.2, 4.3",,,,
239,Black Sea 3,1,Diplodus-annularis,"37: 4.1, 4.2, 4.3",,,,
240,Black Sea 4,1,Diplodus-annularis,"37: 4.1, 4.2, 4.3",,,,
241,Black Sea.,1,Boops-boops,"37: 4.1, 4.2, 4.3",,,,
243,"British Isles (north, west and south)",1,Lophius-piscatorius,"27: V, VI, VII",,,,
244,Burkina Faso,1,Centropomus-niloticus,0,,Centropomus-niloticus,,
245,California Curernt Region,1,Sebastes-crameri,77,"United States, Mexico",,,
246,"Canada (from at least 56째N) to Florida, USA",1,Phycis-chesteri,"21: 2.H, 2.J, 1.F, 3, 4, 5, 6; 31: United States",,,,
253,Chad,1,Centropomus-niloticus,0,,Centropomus-niloticus,,
254,Continental and insular slopes of the Bahamas region,1,Pristiophorus-schroederi,31,"Bahamas, United States",,,
257,Czechia,1,Salmo-hucho,0,,Salmo-hucho,,
258,Danube drainage,1,Salmo-hucho,0,,Salmo-hucho,,
259,E. Bering Sea,1,Theragra-chalcogramma,61,Russia,,,
260,East Pacific,1,Hippocampus-ingens,67; 77; 87,,,,
261,Eastern Atlantic and western Mediterranean,1,Diplodus-annularis,47; 34; 27; 37: 1,,,,
262,Eastern Atlantic continental slope,1,Scymnodon-ringens,27; 34; 47,,,,
263,Eastern Atlantic continental slopes,1,Galeus-murinus,27; 34; 47,,,,
264,Eastern Bering Sea,1,Limanda-aspera,61,Russia,,,
265,Eastern Channel,1,Pleuronectes-platessa,"27: VII.d, VII.e",,,,
266,eastern Mediterranean,1,Sargocentron-rubrum,37: 3,,,,
267,Eastern part at north end of Caspian,1,Alosa-sphaerocephala,0,,Alosa-sphaerocephala,,
268,English Channel and North Sea,1,Ctenolabrus-rupestris,"27: VII.d, VII.e, IV",,,,
270,Europe and northeast America,1,Petromyzon-marinus,"27; 37: 1, 2, 3.1, 4; 21",,,,
271,"Europe: Italy, Tunisia",1,Alosa-fallax,"37: 1.3, 2.2, 2.1","Italy, Tunisia",,,
272,Florida Straits-Bahamas region,1,Scyliorhinus-torrei,31,"United States, Bahamas",,,
274,Great Barrier Reef,1,Squalus-oculatus Lutjanus-malabaricus Lutjanus-erythropterus,71,Australia,,,
278,Indian Ocean,1,Euthynnus-affinis,51; 57,,,,
279,"Indian Ocean, Western Pacific, Eastern Pacific, Gulf of Mexico, Caribbean",1,Rhincodon-typus,51; 57; 81; 71; 61; 77; 87; 37; 31,,,,
280,"Indo-West Pacific, Eastern Pacific",1,Sphyrna-lewini,51; 57; 71; 77; 87,,,,
281,insular slope of Madeira and Japan,1,Deania-hystricosa,27: Madeira; 61: Japan,,,,
282,insular slopes of New Caledonia,1,Squalus-melanurus,71,New Caledonia,,,
283,insular slopes of New Hebrides,1,Squalus-rancureli,71,Vanuatu,,,
284,insular slopes of the Hawaiian Islands,1,Etmopterus-villosus,77,United States,,,
286,"Israel, Lebanon, and Mediterranean coast of Sinai",1,Pelates-quadrilineatus,37: 3.2,"Israel, Lebanon, Egypt",,,
287,"Italy, Switzerland",1,Alosa-lacustrus-benacensis,0,,Alosa-lacustrus-benacensis,,
289,Lake Geneva,1,Coregonus-schinzii,0,,Coregonus-schinzii,,
290,"Lake Ohrid (Albania, Macedonia)",1,Salmo-ohridanus,0,,Salmo-ohridanus,,
291,Lake Prespa,1,Salmo-peristericus,0,,Salmo-peristericus,,
292,Laos,1,Otolithoides-aeneocorpus,0,,Otolithoides-aeneocorpus,,
293,Makassar Straits,1,Scyliorhinus-sibogae,71,Indonesia,,,
294,Marquesas Is.,1,Sardinella-marquesensis,77,French Polynesia,,,
295,Mediterranean and Black Sea,1,Gaidropsarus-mustellaris,37,,,,
296,Mediterranean and the Black Sea,1,Umbrina-cirrosa,37,,,,
297,Mediterranean and west coast of Africa,1,Dentex-macrophthalmus,37; 34; 37,,,,
298,"Moraca and Neretva drainages (Bosnia-Herzegovina, Montenegro)",1,Salmo-zetensis,0,,Salmo-zetensis,,
299,"N. Europe, 1968-69",1,Micromesistius-poutassou,"27: VII, VI, IV, V, III, I, II",,,,
300,"N. North Sea, 1964-1965",1,Merlangius-merlangus,27: IV,,,,
301,"N. North Sea, 1976-79",1,Melanogrammus-aeglefinus,27: IV,,,,
302,"NE Arctic, 1968-71",1,Melanogrammus-aeglefinus,27,"Norway, Sweden, Finland, Russia, Iceland",,,
303,North Adriatic,1,Pagellus-erythrinus,37: 2.1,,,,
304,North African coasts,1,Lutjanus-lapina,"37: 1.1, 1.3, 2.2, 3.2; 34:1",,,,
305,"North Atlantic, English Channel area, Mediterranean and Black seas, Adriatic Sea",1,Mullus-surmuletus,"27: VII.d, VII.e, IV; 37: 2.1",,,,
306,north of Cape Verde,1,Sarpa-salpa,34,,,,
308,North sea,1,Labrus-bergylta,27: IV,,,,
309,North Sea (southern) and Channel,1,Trisopterus-minutus,"27: IV.c, VII.d, VII.e",,,,
310,North Sea and Mediterranean Sea,1,Arnoglossus-laterna,"27: IV; 37: 1, 2, 3",,,,
311,"North Sea, 1977-80",1,Pleuronectes-platessa,27: IV,,,,
312,North--West Atlantic: 3L,1,Glyptocephalus-cynoglossus,21: 3.L,,,,
313,North--West Atlantic: 3NO,1,Glyptocephalus-cynoglossus,"21: 3.N, 3.O",,,,
314,Northeast Pacific,1,Sebastes-entomelas,67,,,,
315,northeastern Atlantic,1,Ammodytes-semisquamatus,27,,,,
316,Northeastern Atlantic and Mediterranean,1,Raja-melitensis,"27; 37: 1, 2, 3",,,,
317,Northeastern Caribbean Sea,1,Lutjanus-mahogoni,31,"Haiti, Puerto Rico, Virgin Islands of the United States, British Virgin Islands, Dominican Republic, Anguilla, Antigua and Barbuda",,,
318,Northeastern Indian Ocean,1,Carcharhinus-cautus,"57: 1, 2, 3, 5.1",,,,
319,Northeastern Pacific,1,Merluccius-productus,67,,,,
320,Northern and Arctic Sea,1,Boreogadus-saida,"18: Alaska, Canada, Greenland, Russia; 27: United Kingdom, Germany, Netherlands, Belgium, France, Norway, Sweden, Finland, Russia, Denmark, Greenland, Iceland",,,,
321,Northern Baltic,1,Coregonus-widegreni,27: III,,,,
322,Northern Caspian,1,Alosa-saposhnikovi,0,,Alosa-saposhnikovi,,
323,Northern North Sea,1,Melanogrammus-aeglefinus,27: IV.a,,,,
324,northern part of its range,1,Spondyliosoma-cantharus,27: IV.a,,,,
325,Northwestern Indian Ocean.,1,Scyliorhinus-quagga,"51: 3, 4, 5",,,,
326,northwestern Mediterranean,1,Lutjanus-mediterraneus,"37: 1.1, 1.2, 1.3","Spain, France, Italy",,,
327,Norway,1,Ctenolabrus-rupestris,27,Norway,,,
330,"NW Atlantic,",1,Reinhardtius-hippoglossoides,21,,,,
331,off Argentina,1,Etmopterus-gracilispinis,"41: 1, 2, 3.1",Argentina,,,
332,"off Hainan Island, China",1,Etmopterus-decacuspidatus,61,China,,,
333,Off Japan and Taiwan Island,1,Scyliorhinus-macrorhynchus,61,"Japan, Taiwan",,,
334,Off Kola Peninsula,1,Platichthys-flesus,27: I,Russia,,,
335,"Off Natal and southern Mozambique, Cape of Good Hope and Tanzania (Zanzibar)",1,Scyliorhinus-polystigma,"51: 5, 6, 8","South Africa, Mozambique, Tanzania",,,
336,"off Natal, South Africa",1,Etmopterus-sp.,51: 8,South Africa,,,
337,Off northern Mozambique,1,Scyliorhinus-sufflans,51: 6,Mozambique,,,
338,"Off northwestern Borneo, off Taiwan Island, off Borneo",1,Carcharhinus-dussumieri,71; 77,"Indonesia, Taiwan",,,
339,Off the coast of East Africa,1,Diagramma-pictum,51,,,,
340,Off tropical West Africa,1,Scyliorhinus-cervigoni,"34: 3, 4",,,,
341,Pacific South American continental shelf,1,Mustelus-whitneyi,87,,,,
342,Patagonian region,1,Lycodes-variegatus,87: 3,Chile,,,
343,Polar,1,Notothenia-coriiceps,48; 58; 88,,,,
344,"Polar, Arctic, pelagic eggs.",1,Limanda-limanda,"27: Norway, Sweden, Finland, Russia, Denmark, Greenland, Iceland; 21: United States, Canada, Greenland",,,,
345,"Porcupine Bank, Northeast Atlantic (2002)",1,Hoplostethus-atlanticus,27: VII.c,,,,
346,Queen Charlotte Sound,1,Sebastes-alutus,81,New Zealand,,,
347,Rockall Trough,1,Coryphaenoides-ingolfi,27: VI.b,,,,
348,"S. North Sea, 1961-62",1,Ammodytes-marinus,27: IV.a,,,,
349,"S. North Sea, 1966",1,Merlangius-merlangus,27: IV.a,,,,
350,Seamounts off southern part of Africa,1,Ariomma-indicum,"51: 8, 7, 6",,,,
351,"Shetland, 1985-87",1,Ammodytes-marinus,27: IV.a,United Kingdom,,,
352,South America.,1,Bythaelurus-canescens,87,,,,
353,South American continental shelf,1,Mustelus-nigromaculatus,87,,,,
354,South American continentals shelf,1,Mustelus-higmani,31; 41,,,,
355,south coasts of Mediterranean,1,Thalassoma-pavo,"37: 1.1, 1.3, 2.2, 3.2","Morocco, Algeria, Libya, Tunisia, Egypt, Israel",,,
357,South Pacific,1,Carcharhinus-cautus,81; 87,,,,
358,South West African coast,1,Dentex-macrophthalmus,47,,,,
359,"South-west Indian Ocean seamounts (600-1000 m depths), 2001",1,Pseudopentaceros-richardsoni,"51: 8, 7",,,,
360,southeastern Indian Ocean,1,Etmopterus-sentosus,"51: 5, 6, 8",,,,
363,southern Europe,1,Gaidropsarus-vulgaris,"27: IX, VIII.c; 37: 1, 2, 3",,,,
364,Southern Mediterranean,1,Dentex-macrophthalmus,"37: 1.1, 1.3, 2.2, 3.2","Morocco, Algeria, Libya, Tunisia, Egypt, Israel",,,
365,Southern North Sea,1,Platichthys-flesus,27: IV.a,,,,
367,southwestern Mediterranean,1,Lutjanus-mediterraneus,"37: 1.1, 1.3","Morocco, Algeria",,,
369,Strong-current habitats of rivers and streams.,1,Petromyzon-marinus,0,,Petromyzon-marinus,,
370,"SW Atlantic (Malvinas Islands), 1996",1,Sprattus-fuegensis,"41: 3.1, 3.2","Falkland Islands, United Kingdom",,,
371,"SW Baltic, 1993-95",1,Platichthys-flesus,27: III,,,,
376,tropical West Africa,1,Pseudotolithus-senegalensis,"34: 3, 4",,,,
377,Tropical West Africa,1,Sphyrna-couardi,"34: 3, 4",,,,
378,tropical West African waters,1,Zenopsis-conchifer,"34: 3, 4",,,,
381,West coast of USA and Canada,1,Eopsetta-jordani,"77: United States; 67: Canada, Alaska",,,,
382,"west Indian submarine ridge, 1980-92",1,Plagiogeneion-rubiginosum,"51: 5, 4",,,,
384,Western and Eastern Atlantic,1,Brosme-brosme,21; 27; 31,,,,
