"scientific","alphaid","kingdom","phylum","class","order","family","genus"
"Dicentrarchus spp.",126029,"Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","Dicentrarchus"
"Oncorhynchus spp.",126140,"Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus"
"Pontinus spp.",126170,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Pontinus"
"Menticirrhus spp.",159324,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Menticirrhus"
"Pseudupeneus prayensis",126987,"Animalia","Chordata","Actinopterygii","Perciformes","Mullidae","Pseudupeneus"
"Parapercis colias",276989,"Animalia","Chordata","Actinopterygii","Perciformes","Pinguipedidae","Parapercis"
"Percophis brasiliensis",282218,"Animalia","Chordata","Actinopterygii","Perciformes","Percophidae","Percophis"
"Chaenocephalus aceratus",234725,"Animalia","Chordata","Actinopterygii","Perciformes","Channichthyidae","Chaenocephalus"
"Pseudochaenichthys georgianus",234667,"Animalia","Chordata","Actinopterygii","Perciformes","Channichthyidae","Pseudochaenichthys"
"Channichthys rhinoceratus",234619,"Animalia","Chordata","Actinopterygii","Perciformes","Channichthyidae","Channichthys"
"Coregonus sardinella",127181,"Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Salvelinus malma malma",293728,"Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus"
"Stenodus leucichthys",127189,"Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Stenodus"
"Parupeneus spp.",204915,"Animalia","Chordata","Actinopterygii","Perciformes","Mullidae","Parupeneus"
"Muraenolepis spp.",234525,"Animalia","Chordata","Actinopterygii","Gadiformes","Muraenolepididae","Muraenolepis"
"Zoarces americanus",159267,"Animalia","Chordata","Actinopterygii","Perciformes","Zoarcidae","Zoarces"
"Anarhichas minor",126759,"Animalia","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarhichas"
"Acanthurus achilles",272957,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus"
"Leucoraja naevus",105876,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja"
"Raja montagui",105887,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja"
"Myliobatis aquila",105860,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis"
"Lycodes esmarkii",127103,"Animalia","Chordata","Actinopterygii","Perciformes","Zoarcidae","Lycodes"
"Stegastes albifasciatus",218847,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Stegastes"
"Stegastes lividus",218848,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Stegastes"
"Calotomus carolinus",219076,"Animalia","Chordata","Actinopterygii","Perciformes","Scaridae","Calotomus"
"Calotomus spinidens",219075,"Animalia","Chordata","Actinopterygii","Perciformes","Scaridae","Calotomus"
"Dissostichus spp.",234585,"Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Dissostichus"
"Rastrelliger spp.",126061,"Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Rastrelliger"
"Anarhichas spp.",125912,"Animalia","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarhichas"
"Epinephelus itajara",159353,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus"
"Necora puber",107398,"Animalia","Arthropoda","Malacostraca","Decapoda","Polybiidae","Necora"
"Chelidonichthys kumu",218122,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Triglidae","Chelidonichthys"
"Deania hystricosa",105904,"Animalia","Chordata","Elasmobranchii","Squaliformes","Centrophoridae","Deania"
"Pterygotrigla polyommata",277050,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Triglidae","Pterygotrigla"
"Ophiodon elongatus",240745,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon"
"Psettodes erumei",219788,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Psettodidae","Psettodes"
"Atheresthes stomias",279792,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes"
"Atheresthes evermanni",279791,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Atheresthes"
"Hippoglossoides elassodon",274289,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides"
"Limanda aspera",254562,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda"
"Carangoides malabaricus",218397,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Carangoides"
"Dicologlossa cuneata",127154,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Dicologlossa"
"Austroglossus microlepis",219822,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Austroglossus"
"Austroglossus pectoralis",219821,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Austroglossus"
"Encrasicholina heteroloba",219980,"Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Encrasicholina"
"Encrasicholina punctifer",219982,"Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Encrasicholina"
"Stolephorus insularis",212284,"Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Stolephorus"
"Stolephorus pacificus",275325,"Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Stolephorus"
"Heptranchias perlo",105832,"Animalia","Chordata","Elasmobranchii","Hexanchiformes","Hexanchidae","Heptranchias"
"Siganus canaliculatus",219687,"Animalia","Chordata","Actinopterygii","Perciformes","Siganidae","Siganus"
"Siganus spinus",219689,"Animalia","Chordata","Actinopterygii","Perciformes","Siganidae","Siganus"
"Coregonus spp.",126139,"Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus"
"Centrophorus lusitanicus",105900,"Animalia","Chordata","Elasmobranchii","Squaliformes","Centrophoridae","Centrophorus"
"Centroscyllium fabricii",105906,"Animalia","Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Centroscyllium"
"Pandalus goniurus",254483,"Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus"
"Etmopterus granulosus",215607,"Animalia","Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Somniosus rostratus",105920,"Animalia","Chordata","Elasmobranchii","Squaliformes","Somniosidae","Somniosus"
"Diagramma pictum",218536,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Diagramma"
"Pseudobalistes fuscus",219885,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Pseudobalistes"
"Dactyloptena orientalis",218158,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Dactylopteridae","Dactyloptena"
"Sphyraena obtusata",212056,"Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena"
"Psettodes belcheri",276823,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Psettodidae","Psettodes"
"Triodon macropterus",219917,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Triodontidae","Triodon"
"Chionoecetes japonicus",442163,"Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Chionoecetes"
"Mulloidichthys spp.",205210,"Animalia","Chordata","Actinopterygii","Perciformes","Mullidae","Mulloidichthys"
"Clupea harengus",126417,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea"
"Oxynotus centrina",105914,"Animalia","Chordata","Elasmobranchii","Squaliformes","Oxynotidae","Oxynotus"
"Oxynotus paradoxus",105915,"Animalia","Chordata","Elasmobranchii","Squaliformes","Oxynotidae","Oxynotus"
"Squatina argentina",271664,"Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina"
"Cancer productus",440382,"Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer"
"Carcharias taurus",105843,"Animalia","Chordata","Elasmobranchii","Lamniformes","Odontaspididae","Carcharias"
"Galeus murinus",105813,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Pentanchidae","Galeus"
"Neotrygon kuhlii",398330,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Neotrygon"
"Saurida gracilis",217662,"Animalia","Chordata","Actinopterygii","Aulopiformes","Synodontidae","Saurida"
"Dentex gibbosus",273964,"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Dentex"
"Dentex canariensis",273960,"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Dentex"
"Epinephelus tauvina",218205,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus"
"Sillago sihama",127046,"Animalia","Chordata","Actinopterygii","Perciformes","Sillaginidae","Sillago"
"Umbrina canariensis",127011,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Umbrina"
"Pteriomorphia spp.",206,"Animalia","Mollusca","Bivalvia","","",""
"Stolephorus spp.",206924,"Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Stolephorus"
"Scyliorhinus stellaris",105815,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Scyliorhinus"
"Carcharhinus brachyurus",217341,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus plumbeus",105797,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus porosus",217342,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Carcharhinus sorrah",217339,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus"
"Trachyrincus scabrus",126482,"Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Trachyrincus"
"Siganus vermiculatus",273927,"Animalia","Chordata","Actinopterygii","Perciformes","Siganidae","Siganus"
"Miichthys miiuy",281574,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Miichthys"
"Liza ramada",126980,"Animalia","Chordata","Actinopterygii","Perciformes","Mugilidae","Liza"
"Chelidonichthys spinosus",274878,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Triglidae","Chelidonichthys"
"Glyptocephalus cynoglossus",127136,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus"
"Lepidorhombus boscii",127145,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","Lepidorhombus"
"Lepidorhombus whiffiagonis",127146,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","Lepidorhombus"
"Pandalus spp.",107044,"Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus"
"Merlangius merlangus",126438,"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Merlangius"
"Triaenodon obesus",214557,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Triaenodon"
"Sphyrna zygaena",105819,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna"
"Caesio caerulaurea",219995,"Animalia","Chordata","Actinopterygii","Perciformes","Caesionidae","Caesio"
"Argopecten irradians",156817,"Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Argopecten"
"Pseudocaranx dentex",126812,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Pseudocaranx"
"Seriola rivoliana",126818,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Seriola"
"Hemiramphus bermudensis",272175,"Animalia","Chordata","Actinopterygii","Beloniformes","Hemiramphidae","Hemiramphus"
"Doederleinia berycoides",280572,"Animalia","Chordata","Actinopterygii","Perciformes","Acropomatidae","Doederleinia"
"Acipenser ruthenus",233941,"Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser"
"Trematomus spp.",234566,"Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Trematomus"
"Pampus spp.",126089,"Animalia","Chordata","Actinopterygii","Perciformes","Stromateidae","Pampus"
"Loligo spp.",138139,"Animalia","Mollusca","Cephalopoda","Myopsida","Loliginidae","Loligo"
"Sepia spp.",138477,"Animalia","Mollusca","Cephalopoda","Sepiida","Sepiidae","Sepia"
"Octopus spp.",138268,"Animalia","Mollusca","Cephalopoda","Octopoda","Octopodidae","Octopus"
"Crassostrea spp.",138297,"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea"
"Eledone spp.",138267,"Animalia","Mollusca","Cephalopoda","Octopoda","Eledonidae","Eledone"
"Merluccius merluccius",126484,"Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius"
"Lophius gastrophysus",159185,"Animalia","Chordata","Actinopterygii","Lophiiformes","Lophiidae","Lophius"
"Mugil incilis",273654,"Animalia","Chordata","Actinopterygii","Perciformes","Mugilidae","Mugil"
"Mugil liza",273655,"Animalia","Chordata","Actinopterygii","Perciformes","Mugilidae","Mugil"
"Heteropriacanthus cruentatus",127004,"Animalia","Chordata","Actinopterygii","Perciformes","Priacanthidae","Heteropriacanthus"
"Sparus aurata",151523,"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Sparus"
"Haliotis spp.",138050,"Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","Haliotis"
"Littorina spp.",138135,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littorina"
"Cancer irroratus",158057,"Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer"
"Acanthurus xanthopterus",219634,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus"
"Ctenochaetus striatus",219659,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Ctenochaetus"
"Naso hexacanthus",219667,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Naso"
"Naso lituratus",219665,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Naso"
"Naso unicornis",219668,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Naso"
"Zebrasoma velifer",712902,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Zebrasoma"
"Mollusca spp.",51,"Animalia","Mollusca","","","",""
"Platybelone argalus platyura",293712,"Animalia","Chordata","Actinopterygii","Beloniformes","Belonidae","Platybelone"
"Tylosurus acus melanotus",293756,"Animalia","Chordata","Actinopterygii","Beloniformes","Belonidae","Tylosurus"
"Siganus guttatus",273913,"Animalia","Chordata","Actinopterygii","Perciformes","Siganidae","Siganus"
"Bothus pantherinus",219795,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Bothidae","Bothus"
"Morone spp.",151176,"Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","Morone"
"Mullus surmuletus",126986,"Animalia","Chordata","Actinopterygii","Perciformes","Mullidae","Mullus"
"Paralichthys dentatus",158826,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys"
"Serranus cabrilla",127041,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Serranus"
"Siganus argenteus",219686,"Animalia","Chordata","Actinopterygii","Perciformes","Siganidae","Siganus"
"Dentex congoensis",273961,"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Dentex"
"Penaeus spp.",106822,"Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus"
"Acipenser baerii",233942,"Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser"
"Pleuronectoidei spp.",NA,"Animalia","Chordata","Actinopterygii","Pleuronectiformes",NA,NA
"Panulirus spp.",107060,"Animalia","Arthropoda","Malacostraca","Decapoda","Palinuridae","Panulirus"
"Molva dypterygia",126459,"Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","Molva"
"Lutjanus analis",159792,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus"
"Lutjanus erythropterus",276534,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus"
"Lutjanus argentimaculatus",218498,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus"
"Lutjanus argentiventris",276524,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus"
"Acetes spp.",158343,"Animalia","Arthropoda","Malacostraca","Decapoda","Sergestidae","Acetes"
"Crangon spp.",588111,"Animalia","Arthropoda","Malacostraca","Decapoda","Alpheidae","Crangon"
"Heterocarpus spp.",107042,"Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Heterocarpus"
"Metapenaeus spp.",106818,"Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Metapenaeus"
"Palaemon spp.",107032,"Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon"
"Chirocentrus nudus",212258,"Animalia","Chordata","Actinopterygii","Clupeiformes","Chirocentridae","Chirocentrus"
"Spratelloides delicatulus",126424,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Spratelloides"
"Clupeonella engrauliformis",272258,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupeonella"
"Harengula clupeola",277549,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Harengula"
"Harengula humeralis",277550,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Harengula"
"Sargocentron diadema",217947,"Animalia","Chordata","Actinopterygii","Beryciformes","Holocentridae","Sargocentron"
"Euphausia spp.",110673,"Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia"
"Amblygaster sirm",217439,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Amblygaster"
"Plotosus lineatus",217659,"Animalia","Chordata","Actinopterygii","Siluriformes","Plotosidae","Plotosus"
"Pomadasys jubelini",273507,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Pomadasys"
"Callorhinchus milii",278469,"Animalia","Chordata","Holocephali","Chimaeriformes","Callorhinchidae","Callorhinchus"
"Acanthurus nubilus",272964,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus"
"Acanthurus guttatus",219650,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus"
"Acanthurus nigrofuscus",219640,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus"
"Acanthurus pyroferus",219648,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus"
"Acanthurus blochii",219639,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus"
"Mugil soiuy",248046,"Animalia","Chordata","Actinopterygii","Perciformes","Mugilidae","Mugil"
"Plectropomus leopardus",218261,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Plectropomus"
"Rapana spp.",138205,"Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Rapana"
"Pollachius pollachius",126440,"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius"
"Atherina presbyter",272030,"Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinidae","Atherina"
"Nematalosa nasus",217450,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Nematalosa"
"Anchoa choerostoma",275510,"Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Anchoa"
"Sphyraena jello",212045,"Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena"
"Spicara maena",126828,"Animalia","Chordata","Actinopterygii","Perciformes","Centracanthidae","Spicara"
"Gymnothorax pictus",217491,"Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax"
"Anampses caeruleopunctatus",218920,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Anampses"
"Gymnothorax undulatus",217508,"Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax"
"Sargocentron punctatissimum",217941,"Animalia","Chordata","Actinopterygii","Beryciformes","Holocentridae","Sargocentron"
"Sargocentron caudimaculatum",217940,"Animalia","Chordata","Actinopterygii","Beryciformes","Holocentridae","Sargocentron"
"Sargocentron violaceum",217943,"Animalia","Chordata","Actinopterygii","Beryciformes","Holocentridae","Sargocentron"
"Pterois radiata",218084,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Pterois"
"Saccostrea spp.",138300,"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Saccostrea"
"Mytilus spp.",138228,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus"
"Belone belone",126375,"Animalia","Chordata","Actinopterygii","Beloniformes","Belonidae","Belone"
"Brosme brosme",126447,"Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","Brosme"
"Chromis chromis",127000,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Chromis"
"Sciaena umbra",127010,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Sciaena"
"Lepidotrigla cavillone",127264,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Triglidae","Lepidotrigla"
"Muraena helena",126303,"Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenidae","Muraena"
"Mola mola",127405,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Molidae","Mola"
"Gymnothorax javanicus",217502,"Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax"
"Chlamys spp.",346965,"Animalia","Arthropoda","Hexanauplia","Siphonostomatoida","Pandaridae","Chlamys"
"Pecten spp.",138323,"Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Pecten"
"Anadara spp.",137669,"Animalia","Mollusca","Bivalvia","Arcida","Arcidae","Anadara"
"Illex illecebrosus",748978,"Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Illex"
"Spicara smaris",126830,"Animalia","Chordata","Actinopterygii","Perciformes","Centracanthidae","Spicara"
"Uranoscopus scaber",127093,"Animalia","Chordata","Actinopterygii","Perciformes","Uranoscopidae","Uranoscopus"
"Acanthurus monroviae",126750,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Acanthurus"
"Merluccius paradoxus",217745,"Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius"
"Gymnocranius griseus",218576,"Animalia","Chordata","Actinopterygii","Perciformes","Lethrinidae","Gymnocranius"
"Lethrinus variegatus",212076,"Animalia","Chordata","Actinopterygii","Perciformes","Lethrinidae","Lethrinus"
"Lethrinus harak",212063,"Animalia","Chordata","Actinopterygii","Perciformes","Lethrinidae","Lethrinus"
"Lethrinus xanthochilus",212079,"Animalia","Chordata","Actinopterygii","Perciformes","Lethrinidae","Lethrinus"
"Lethrinus atkinsoni",278632,"Animalia","Chordata","Actinopterygii","Perciformes","Lethrinidae","Lethrinus"
"Carangoides armatus",218394,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Carangoides"
"Ensis spp.",138333,"Animalia","Mollusca","Bivalvia","Adapedonta","Pharidae","Ensis"
"Alepes djedaba",126800,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Alepes"
"Caranx ignobilis",218414,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Caranx"
"Carangoides orthogrammus",218393,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Carangoides"
"Carangoides plagiotaenia",218399,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Carangoides"
"Spisula spp.",138159,"Animalia","Mollusca","Bivalvia","Venerida","Mactridae","Spisula"
"Scomberoides tol",218433,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Scomberoides"
"Seriolina nigrofasciata",218438,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Seriolina"
"Trachinotus baillonii",218440,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachinotus"
"Uraspis helvola",218449,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Uraspis"
"Uraspis uraspis",218448,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Uraspis"
"Halargyreus johnsonii",126489,"Animalia","Chordata","Actinopterygii","Gadiformes","Moridae","Halargyreus"
"Laemonema longipes",272474,"Animalia","Chordata","Actinopterygii","Gadiformes","Moridae","Laemonema"
"Stichopus spp.",123459,"Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Stichopus"
"Acipenser stellatus",126278,"Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser"
"Huso huso",126280,"Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Huso"
"Balistoides conspicillum",219876,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistoides"
"Echeneis naucrates",126848,"Animalia","Chordata","Actinopterygii","Perciformes","Echeneidae","Echeneis"
"Kyphosus sectatrix",303486,"Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae","Kyphosus"
"Ostrea chilensis",397160,"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Ostrea"
"Thalassoma pavo",126970,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Thalassoma"
"Chimaera monstrosa",105824,"Animalia","Chordata","Holocephali","Chimaeriformes","Chimaeridae","Chimaera"
"Ginglymostoma cirratum",105846,"Animalia","Chordata","Elasmobranchii","Orectolobiformes","Ginglymostomatidae","Ginglymostoma"
"Coris julis",126963,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Coris"
"Leucoraja erinacea",158551,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Leucoraja"
"Dasyatis centroura",105850,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Gymnura altavela",105856,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Acipenser medirostris",271695,"Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser"
"Acipenser transmontanus",238345,"Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser"
"Oreochromis mossambicus",218777,"Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","Oreochromis"
"Fistularia tabacaria",159440,"Animalia","Chordata","Actinopterygii","Syngnathiformes","Fistulariidae","Fistularia"
"Stereolepis gigas",282884,"Animalia","Chordata","Actinopterygii","Perciformes","Polyprionidae","Stereolepis"
"Mycteroperca xenarcha",273886,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Mycteroperca"
"Taractichthys steindachneri",221420,"Animalia","Chordata","Actinopterygii","Perciformes","Bramidae","Taractichthys"
"Girella nigricans",280865,"Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae","Girella"
"Tautogolabrus adspersus",159785,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus"
"Scombroidea spp.",NA,"Animalia","Chordata","Actinopterygii","Scombriformes","Scombridae",NA
"Engraulis ringens",272287,"Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis"
"Coryphaena hippurus",126846,"Animalia","Chordata","Actinopterygii","Perciformes","Coryphaenidae","Coryphaena"
"Sebastes goodei",274798,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Sebastes melanops",274817,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Trachyscorpia cristulata cristulata",293753,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Trachyscorpia"
"Myoxocephalus quadricornis",254529,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Myoxocephalus"
"Citharichthys sordidus",275694,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys"
