"scientific","alphaid","kingdom","phylum","class","order","family","genus"
"Cypselurus spp.",206252,"Animalia","Chordata","Actinopterygii","Beloniformes","Exocoetidae","Cypselurus"
"Hypoatherina temminckii",217883,"Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinidae","Hypoatherina"
"Xiphiidae spp.",125574,"Animalia","Chordata","Actinopterygii","Perciformes","Xiphiidae",""
"Caranx latus",126804,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Caranx"
"Haemulon plumierii",158808,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Haemulon"
"Pseudupeneus maculatus",159421,"Animalia","Chordata","Actinopterygii","Perciformes","Mullidae","Pseudupeneus"
"Puntius katolo",NA,"Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Barbodes"
"Kyphosidae spp.",125540,"Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae",""
"Anchoa nasus",275528,"Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Anchoa"
"Carcharhinidae spp.",105689,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae",""
"Serranus spp.",126070,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Serranus"
"Dasyatis americana",158526,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Dasyatis"
"Lutjanus cyanopterus",159796,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus"
"Harengula thrissina",277552,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Harengula"
"Stegastes punctatus",712757,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Stegastes"
"Lagocephalus sceleratus",219954,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Lagocephalus"
"Serranus scriba",127043,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Serranus"
"Toxopneustidae spp.",123179,"Animalia","Echinodermata","Echinoidea","Camarodonta","Toxopneustidae",""
"Albulidae spp.",151805,"Animalia","Chordata","Actinopterygii","Albuliformes","Albulidae",""
"Selene brevoortii",273283,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Selene"
"Lycodes spp.",126104,"Animalia","Chordata","Actinopterygii","Perciformes","Zoarcidae","Lycodes"
"Brotula clarkae",275888,"Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Brotula"
"Clupeidae spp.",125464,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae",""
"Stromateidae spp.",125567,"Animalia","Chordata","Actinopterygii","Perciformes","Stromateidae",""
"Parapsettus panamensis",282104,"Animalia","Chordata","Actinopterygii","Perciformes","Ephippidae","Parapsettus"
"Achirus klunzingeri",279492,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Achiridae","Achirus"
"Pomadasys panamensis",273509,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Pomadasys"
"Plotosidae spp.",154425,"Animalia","Chordata","Actinopterygii","Siluriformes","Plotosidae",""
"Larimus acclivis",276127,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Larimus"
"Gastropoda spp.",101,"Animalia","Mollusca","Gastropoda","","",""
"Paralonchurus dumerilii",282064,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Paralonchurus"
"Stellifer illecebrosus",276159,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Stellifer"
"Alepes spp.",125934,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Alepes"
"Stellifer zestocarus",276173,"Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Stellifer"
"Lophiidae spp.",125493,"Animalia","Chordata","Actinopterygii","Lophiiformes","Lophiidae",""
"Peprilus snyderi",276564,"Animalia","Chordata","Actinopterygii","Perciformes","Stromateidae","Peprilus"
"Synodus scituliceps",272139,"Animalia","Chordata","Actinopterygii","Aulopiformes","Synodontidae","Synodus"
"Cantherhines spp.",159492,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","Cantherhines"
"Diplectrum pacificum",276183,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Diplectrum"
"Pronotogrammus eos",282364,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Pronotogrammus"
"Encrasicholina devisi",219981,"Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Encrasicholina"
"Stolephorus waitei",212282,"Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Stolephorus"
"Porichthys spp.",158783,"Animalia","Chordata","Actinopterygii","Batrachoidiformes","Batrachoididae","Porichthys"
"Phycis chesteri",158988,"Animalia","Chordata","Actinopterygii","Gadiformes","Phycidae","Phycis"
"Paralabrax spp.",270221,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Paralabrax"
"Scophthalmidae spp.",125580,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae",""
"Campogramma glaycos",126801,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Campogramma"
"Manta birostris",105857,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Manta"
"Pseudotriakis microdon",105805,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Pseudotriakidae","Pseudotriakis"
"Mustelus canis",158518,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus"
"Gymnura marmorata",271479,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura"
"Trachipterus arcticus",126527,"Animalia","Chordata","Actinopterygii","Lampriformes","Trachipteridae","Trachipterus"
"Malacanthus plumieri",277261,"Animalia","Chordata","Actinopterygii","Perciformes","Malacanthidae","Malacanthus"
"Sebastes crameri",274785,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes"
"Erilepis zonifer",280700,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Erilepis"
"Holocentridae spp.",125458,"Animalia","Chordata","Actinopterygii","Beryciformes","Holocentridae",""
"Leiognathidae spp.",125542,"Animalia","Chordata","Actinopterygii","Perciformes","Leiognathidae",""
"Lutjanidae spp.",151453,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae",""
"Hexagrammos decagrammus",240732,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos"
"Raja maderensis",105884,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja"
"Cymatoceps nasutus",218601,"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Cymatoceps"
"Alopias pelagicus",220019,"Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"Pseudocarcharias kamoharai",217632,"Animalia","Chordata","Elasmobranchii","Lamniformes","Pseudocarchariidae","Pseudocarcharias"
"Triakis megalopterus",220023,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Triakis"
"Sphyraena ensis",273979,"Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena"
"Sphoeroides spp.",126241,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Sphoeroides"
