ID,Country,Localities,Total Catch,Total Value,species,Geocoded,Map Tool,Verdict,New Country,(1) Southwest Coordinate,(1) Northeast Coordinate,(2) Southwest Coordinate,(2) Northeast Coordinate,(3) Southwest Coordinate,(3) Northeast Coordinate,Latitude Range,Notes,Cumul Catch,Notes (4/13/23),Additional
9,Australia,South Australia,19860481,6251162878,"Alosa musica (0%), Aluterus velutinus (0%), Sardinops sagax (100%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map83.pdf,https://iridl.ldeo.columbia.edu/maproom/Global/Ocean_Temp/Annual_Cycle_Max.html?bbox=bb%3A129.001336993%3A-38.06260299%3A141.806177991%3A-24.08941186%3Abb,red,,,,,,,,,,621364810,,#REF!
10,Australia,"Albany, Western Australia",19841213,6219833037,"Alosa musica (0%), Sardinops sagax (100%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map76.pdf,,Google maps,,"-35.038243, 117.872176","-35.019688, 117.895608",,,,,,,641206023,,#REF!
11,Japan,central Honshu,19841213,6219833037,"Alosa musica (0%), Sardinops sagax (100%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map77.pdf,,Google maps,,"32.004470, 134.474294","37.349312, 143.834645",,,,,,,661047236,,#REF!
12,Peru,"Ilo, Callao, Chimbote, Paita",19841213,6219833037,"Alosa musica (0%), Sardinops sagax (100%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map78.pdf,,near-shore,,,,,,,,,,680888449,,#REF!
13,Australia,northern New South Wales,19841213,6219833037,"Alosa musica (0%), Sardinops sagax (100%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map79.pdf,,Google maps,,"-32.894810, 151.774262","-28.128171, 155.657062",,,,,,,700729662,,#REF!
14,USA,"Point Conception to San Diego, California",19841213,6219833037,"Alosa musica (0%), Sardinops sagax (100%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map81.pdf,,Google maps,,"32.487525, -121.702020","35.134287, -117.461298",,,,,,,720570875,,#REF!
15,USA,"San Pedro, California",19841213,6219833037,"Alosa musica (0%), Sardinops sagax (100%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map82.pdf,,Google maps,,"33.697789, -118.336102","33.775732, -118.243748",,,,,,,740412088,,#REF!
16,Australia,southern New South Wales,19841213,6219833037,"Alosa musica (0%), Sardinops sagax (100%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map85.pdf,,Google maps,,"-37.455928, 149.979491","-32.772686, 155.401322",,,,,,,760253301,,#REF!
17,Australia,Western Australia (south coasts),19841213,6219833037,"Alosa musica (0%), Sardinops sagax (100%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map87.pdf,,Google maps,,"-35.778933, 115.998569","-31.710439, 129.012926",,,,,,,780094514,,#REF!
18,China,"Daya Bay, Guangdong, 1985-86",19344002,11967674799,"Anchoviella heteroloba (0%), Dussumieria elopsoides (0%), Dussumieria productissima (4%), Encrasicholina heteroloba (0%), Engraulis japonicus (27%), Harengula nymphaea (0%), Harpadon nehereus (39%), Konosirus punctatus (2%), Plotosus lineatus (0%), Plotosus vittatus (0%), Priacanthus tayeus (7%), Sardinella lemuru (9%), Sardinella samarensis (5%), Saurida elongatus (5%), Saurida undosquamis (0%), Saurida undosquammis (1%)",https://www.dropbox.com/home/Spawning%20ProCreator/maps?preview=map194.pdf,,Google maps,,"22.400991, 114.505483","22.813015, 114.852925",,,,,,,799438515,,#REF!
