"region","specie","PID","major"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",66,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",66,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",66,"41"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",84,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",84,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",84,"41"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",71,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",71,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",71,"41"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",83,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",83,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",83,"41"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",122,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",122,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",122,"41"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",173,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",174,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",173,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",174,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",173,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",174,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",229,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",231,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",229,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",231,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",229,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",231,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",182,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",182,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",182,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",183,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",183,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",183,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",188,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",188,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",188,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",189,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",189,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",189,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",190,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",190,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",190,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",50,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",50,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",50,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",72,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",72,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",72,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",75,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",75,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",75,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",73,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",73,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",73,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",59,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",59,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",59,"57"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",79,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",79,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",79,"57"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",76,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",76,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",76,"57"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",32,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",35,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",36,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",37,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",46,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",56,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",60,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",61,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",63,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",74,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",148,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",32,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",35,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",36,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",37,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",46,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",56,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",60,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",61,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",63,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",74,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",148,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",32,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",35,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",36,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",37,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",46,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",56,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",60,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",61,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",63,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",74,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",148,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",160,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",160,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",160,"77"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",32,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",35,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",36,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",37,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",46,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",56,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",60,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",61,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",63,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",74,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",148,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",32,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",35,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",36,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",37,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",46,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",56,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",60,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",61,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",63,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",74,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",148,"71"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",32,"71"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",35,"71"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",36,"71"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",37,"71"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",46,"71"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",56,"71"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",60,"71"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",61,"71"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",63,"71"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",74,"71"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",148,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",90,"81"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",91,"81"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",92,"81"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",93,"81"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",105,"81"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",107,"81"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",108,"81"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",115,"81"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",119,"81"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",120,"81"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",149,"81"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",90,"81"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",91,"81"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",92,"81"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",93,"81"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",105,"81"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",107,"81"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",108,"81"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",115,"81"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",119,"81"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",120,"81"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",149,"81"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",90,"81"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",91,"81"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",92,"81"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",93,"81"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",105,"81"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",107,"81"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",108,"81"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",115,"81"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",119,"81"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",120,"81"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",149,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",32,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",35,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",36,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",37,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",46,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",56,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",60,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",61,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",63,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",74,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",148,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",32,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",35,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",36,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",37,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",46,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",56,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",60,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",61,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",63,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",74,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",148,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",32,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",35,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",36,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",37,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",46,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",56,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",60,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",61,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",63,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",74,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",148,"71"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",90,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",91,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",92,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",93,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",105,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",107,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",108,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",115,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",119,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",120,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Istiophorus audax",149,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",90,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",91,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",92,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",93,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",105,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",107,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",108,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",115,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",119,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",120,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Kajikia audax",149,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",90,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",91,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",92,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",93,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",105,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",107,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",108,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",115,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",119,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",120,"81"
"Southwestern Pacific Ocean (Jan 2006-Jan 2009)","Makaira zelandica",149,"81"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",3,"61"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",5,"61"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",3,"61"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",5,"61"
"tropical and subtropical waters of the Pacific","Scomber gladius",3,"61"
"tropical and subtropical waters of the Pacific","Scomber gladius",5,"61"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",32,"71"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",35,"71"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",36,"71"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",37,"71"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",46,"71"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",56,"71"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",60,"71"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",61,"71"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",63,"71"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",74,"71"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",148,"71"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",32,"71"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",35,"71"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",36,"71"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",37,"71"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",46,"71"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",56,"71"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",60,"71"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",61,"71"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",63,"71"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",74,"71"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",148,"71"
"tropical and subtropical waters of the Pacific","Scomber gladius",32,"71"
"tropical and subtropical waters of the Pacific","Scomber gladius",35,"71"
"tropical and subtropical waters of the Pacific","Scomber gladius",36,"71"
"tropical and subtropical waters of the Pacific","Scomber gladius",37,"71"
"tropical and subtropical waters of the Pacific","Scomber gladius",46,"71"
"tropical and subtropical waters of the Pacific","Scomber gladius",56,"71"
"tropical and subtropical waters of the Pacific","Scomber gladius",60,"71"
"tropical and subtropical waters of the Pacific","Scomber gladius",61,"71"
"tropical and subtropical waters of the Pacific","Scomber gladius",63,"71"
"tropical and subtropical waters of the Pacific","Scomber gladius",74,"71"
"tropical and subtropical waters of the Pacific","Scomber gladius",148,"71"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",90,"81"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",91,"81"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",92,"81"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",93,"81"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",105,"81"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",107,"81"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",108,"81"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",115,"81"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",119,"81"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",120,"81"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",149,"81"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",90,"81"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",91,"81"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",92,"81"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",93,"81"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",105,"81"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",107,"81"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",108,"81"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",115,"81"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",119,"81"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",120,"81"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",149,"81"
"tropical and subtropical waters of the Pacific","Scomber gladius",90,"81"
"tropical and subtropical waters of the Pacific","Scomber gladius",91,"81"
"tropical and subtropical waters of the Pacific","Scomber gladius",92,"81"
"tropical and subtropical waters of the Pacific","Scomber gladius",93,"81"
"tropical and subtropical waters of the Pacific","Scomber gladius",105,"81"
"tropical and subtropical waters of the Pacific","Scomber gladius",107,"81"
"tropical and subtropical waters of the Pacific","Scomber gladius",108,"81"
"tropical and subtropical waters of the Pacific","Scomber gladius",115,"81"
"tropical and subtropical waters of the Pacific","Scomber gladius",119,"81"
"tropical and subtropical waters of the Pacific","Scomber gladius",120,"81"
"tropical and subtropical waters of the Pacific","Scomber gladius",149,"81"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",160,"77"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",160,"77"
"tropical and subtropical waters of the Pacific","Scomber gladius",160,"77"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",52,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",55,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",57,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",62,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",64,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",65,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",67,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",68,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",69,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",70,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",77,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",78,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",80,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",81,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",82,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",86,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",87,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",89,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",94,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",95,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",96,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",98,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",99,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",100,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",101,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",102,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",103,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",104,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",109,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",110,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",111,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",112,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",113,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",114,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",121,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",138,"87"
"tropical and subtropical waters of the Pacific","Istiophorus platypterus",168,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",52,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",55,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",57,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",62,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",64,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",65,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",67,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",68,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",69,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",70,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",77,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",78,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",80,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",81,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",82,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",86,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",87,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",89,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",94,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",95,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",96,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",98,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",99,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",100,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",101,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",102,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",103,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",104,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",109,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",110,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",111,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",112,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",113,"87"
"tropical and subtropical waters of the Pacific","Istiophorus triactis",114,"87"
