"region","specie","eez","major"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",134,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",134,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",134,"41"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",67,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",67,"41"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",67,"41"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",65,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",66,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",81,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",148,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",150,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",65,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",66,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",81,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",148,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",150,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",65,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",66,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",81,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",148,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",150,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",80,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",149,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",80,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",149,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",80,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",149,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",82,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",82,"47"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",82,"47"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",20,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",23,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",29,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",31,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",33,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",34,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",37,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",152,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",248,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",20,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",23,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",29,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",31,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",33,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",34,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",37,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",152,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",248,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",20,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",23,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",29,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",31,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",33,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",34,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",37,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",152,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",248,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",21,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",22,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",24,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",25,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",26,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",27,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",28,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",32,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",21,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",22,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",24,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",25,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",26,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",27,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",28,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",32,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",21,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",22,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",24,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",25,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",26,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",27,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",28,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",32,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",70,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",82,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",70,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",82,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",70,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",82,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",71,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",72,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",167,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",71,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",72,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",167,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",71,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",72,"51"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",167,"51"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",1,"57"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",2,"57"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",19,"57"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",30,"57"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",172,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",1,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",2,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",19,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",30,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",172,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",1,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",2,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",19,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",30,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",172,"57"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",198,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",198,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",198,"57"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",173,"57"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",174,"57"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",176,"57"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",197,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",173,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",174,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",176,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",197,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",173,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",174,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",176,"57"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",197,"57"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",13,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",14,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",16,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",17,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",172,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",220,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",221,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",236,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",8,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",10,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",12,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",189,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",11,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",212,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",18,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",196,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",203,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",123,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",124,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",125,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",126,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",190,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",209,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",210,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",15,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",173,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",197,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",198,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",5,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",6,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",7,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",9,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",155,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",177,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",13,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",14,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",16,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",17,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",172,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",220,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",221,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",236,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",8,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",10,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",12,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",189,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",11,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",212,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",18,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",196,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",203,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",123,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",124,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",125,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",126,"71"
