"region","specie","eez","major"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",190,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",209,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",210,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",15,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",173,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",197,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",198,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",5,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",6,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",7,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",9,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",155,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",177,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",13,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",14,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",16,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",17,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",172,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",220,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",221,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",236,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",8,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",10,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",12,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",189,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",11,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",212,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",18,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",196,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",203,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",123,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",124,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",125,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",126,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",190,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",209,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",210,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",15,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",173,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",197,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",198,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",5,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",6,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",7,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",9,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",155,"71"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",177,"71"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",86,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",106,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",107,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",114,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",115,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",116,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",117,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",118,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",119,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",120,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",121,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",122,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",123,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",124,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",125,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",126,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",127,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",128,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",185,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",210,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",214,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",215,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",217,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",218,"77"
"Southern Hemisphere (between 5°S and 25°S)","Scomber germon",224,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",86,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",106,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",107,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",114,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",115,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",116,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",117,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",118,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",119,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",120,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",121,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",122,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",123,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",124,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",125,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",126,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",127,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",128,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",185,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",210,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",214,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",215,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",217,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",218,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus alalunga",224,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",86,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",106,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",107,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",114,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",115,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",116,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",117,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",118,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",119,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",120,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",121,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",122,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",123,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",124,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",125,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",126,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",127,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",128,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",185,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",210,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",214,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",215,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",217,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",218,"77"
"Southern Hemisphere (between 5°S and 25°S)","Thunnus pacificus",224,"77"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",13,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",14,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",16,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",17,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",172,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",220,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",221,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",236,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",8,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",10,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",12,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",189,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",11,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",212,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",18,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",196,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",203,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",123,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",124,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",125,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",126,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",190,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",209,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",210,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",15,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",173,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",197,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",198,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",5,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",6,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",7,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",9,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",155,"71"
"Southwest Pacific between 10°S and 30°S","Istiophorus audax",177,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",13,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",14,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",16,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",17,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",172,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",220,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",221,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",236,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",8,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",10,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",12,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",189,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",11,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",212,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",18,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",196,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",203,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",123,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",124,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",125,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",126,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",190,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",209,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",210,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",15,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",173,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",197,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",198,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",5,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",6,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",7,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",9,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",155,"71"
"Southwest Pacific between 10°S and 30°S","Kajikia audax",177,"71"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",13,"71"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",14,"71"
"Southwest Pacific between 10°S and 30°S","Makaira zelandica",16,"71"
