J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,111,111,111,,,,,,,,,Barents & Norwegian Seas
,,111,111,111,,,,,,,,Norway,Bodø
,111,111,111,111,,,,,,,,USA,Cape Sable to Block Island
,111,111,,,,,,,,,,,Celtic Sea
,,111,111,111,111,,,,,,,Faeroe Is.,Faeroes
,111,111,111,111,,,,,,,,,"Faroe (NW, N and NE)"
,,111,111,111,,,,,,,,Norway,Finnmark
,111,111,111,111,,,,,,,,,"Georges Bank, Browns Bank and coastal Gulf of Maine"
,,,,,111,,,,,,,,Grand Bank
,,111,111,111,,,,,,,,Norway,Lofoten
,111,111,111,111,111,,,,,,,,North Atlantic
,111,111,111,111,111,,,,,,,,Northeastern Atlantic
,,111,111,111,111,,,,,,,,Northern North Sea
,,111,111,111,,,,,,,,,northern North Sea and shelf West of Orkney and Shetland
111,111,111,111,111,111,111,,,,,,,Northwestern Atlantic
111,111,111,111,111,111,,,,,,,Norway,NW Norway (63°N-68°N)
,,111,111,111,111,,,,,,,Iceland,Off Southwestern
,,111,111,111,111,,,,,,,Norway,off Trondheim and Møre
,,,,111,,,,,,,,UK Scotland,Rockall Bank
,,,111,,,,,,,,,,Scotian Banks
,,,,111,111,,,,,,,Iceland,SW and W Iceland
,,111,111,111,,,,,,,,Norway,Vesterålen
,,,111,,,,,,,,,Norway,"western Barents Sea, continental slopes"
