J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
111,111,111,111,111,111,111,111,111,111,111,111,USA,Florida
111,111,111,111,111,111,,,,,111,111,USA,South Florida (Feb 1989-Apr 1995)
111,,,,,,,,,,111,111,,West Indies
