J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,,,,,,111,111,,Australia,"Between Gladstone and Bundaberg, Queensland"
111,111,111,111,111,111,111,,,111,111,111,,East Africa
111,111,,,,,,,,111,111,111,Fiji,Fiji
,,,,,,,,,111,111,111,Australia,Great Barrier Reef
,,,,,,,111,111,111,,,Iran,Iran
111,111,111,111,111,111,111,111,111,111,111,111,Kenya,Kenya
,,,,,,,,111,111,,,Australia,"Kimberley,  Western australia"
,,,,,,,,,111,111,111,Australia,"Lizard Island, Cairns and Townsville, Queensland"
111,111,111,111,111,111,111,111,111,111,111,111,Mozambique,Mozambique
,,,111,111,111,111,,,,,,Djibouti,Off coast of Djibouti
111,111,,,,,,,,,,111,Madagascar,Off Madagascar
,,,,111,111,111,,,,,,India,Off Madras State
,,,,,,111,111,111,111,111,111,Papua New Guinea,Off Papua New Guinea
,,111,111,111,,,,,,,,Taiwan,Off Taiwan
,,,111,111,111,111,,,,,,Oman,Oman
111,111,111,111,111,111,111,111,111,,,,India,"Palk Bay, Gulf of Mannar"
111,,,,,,,,111,111,111,111,Australia,"Pilbara, Western australia"
111,111,111,111,111,111,111,111,111,,,,,Southeast Arabian Sea
,,,111,111,111,,,,,,,Saudi Arabia,The Gulf
111,111,111,,,,,111,111,111,111,111,Australia,Torres Strait
