J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,111,111,111,111,,,,,,,Norway,"(shelf and slope >300 m depth), 1980-83"
,,,111,111,,,,,,,,Denmark,"north-eastern North Sea and Skagerrak-  the Norwegian Deep, 1984-87"
