J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,111,111,111,111,111,,,,,India,Andhra Pradesh (2011-2012)
111,111,,,,,,,,,,,Brazil,Ceará
111,111,111,111,111,111,111,111,111,111,111,111,Mexico,Coast of Mexico and Central America; Revillagigedo Is.
,111,111,111,111,111,111,111,,,,,,Eastern Atlantic
,111,111,111,111,111,111,111,111,,,,,Eastern Atlantic_
,,,,111,111,,,,,,,Mexico,Gulf of Mexico
,,,,111,111,111,111,111,,,,Hawaii,Hawaiian Islands
,,,,,111,111,,,,,,Mauritania,Mauritanie coast
111,111,111,,,,,,,111,111,111,Australia,Northeast coast of Australia
,,,111,111,111,111,,,,,,Japan,Northwest Pacific
111,,,,,,,,,111,111,111,Australia,Northwestern Coral Sea
,,,,,,,111,111,111,111,111,Indonesia,"Tomini Bay, Marisa, Gorontalo, 2007"
,,,,111,111,111,111,111,,,,Senegal,West coast
