J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,111,111,111,111,,,,,,France,Mediterranean coast
,,111,111,111,111,,,,,,,,North African coasts
,,,111,111,111,,,,,,,Tunisia,Sfax coasts
