J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,,,,,,,111,,Germany,Ammersee
,,,,,,,,,,,,Austria,Hallstädtersee See
,,,,,,,,,,,111,Germany,"Kochelsee, Walchensee"
,,,,,,,,,,111,111,Germany,Schliersee
,,,,,,,,,,111,,Germany,Starnbergersee
111,,,,,,,,,,,111,Germany,Tegernsee
,,,,,,,,,,,,Austria,Traunsee
