J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,,,,111,111,,,,USA,"Cape Cod, Massachusetts"
,,,,,,,,,,111,111,Brazil,Ceará
111,111,111,111,,,,,,111,111,111,Brazil,"Ceará, 1965-1966"
111,111,111,111,,,,,,111,111,111,Brazil,"Ceará, 1965-1968"
111,111,111,111,111,111,111,111,111,111,111,111,Brazil,"Ceará, 1970-1972"
111,111,111,,,,,,111,111,111,111,Brazil,"Ceará, 1975"
,,,,111,111,111,111,111,,,,USA,Mississippi Delta (1977-80)
,,,,111,111,111,111,111,,,,USA,Northwest Florida (1977-80)
,,,,,,111,111,111,,,,USA,Off Florida
,,,,111,111,111,111,111,,,,USA,Off Georgia-Carolinas (1980-81)
,,,,111,111,111,111,111,,,,USA,Over the inner continental shelf of Texas
,,,111,111,111,111,,111,,,,USA,Southeast Florida
