J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,,,,,,,111,,Denmark,Denmark
111,,,,,,,,,,,,Spain,"Esva River (43°33'N, 6°32'E), 1992-1994"
,,,,,111,111,111,111,111,111,,,Europe
111,,,,,,,,,111,111,111,,Europe
,,,,,,,,111,111,111,,France,France
,,,,,,,,,,,111,France,France
111,,,,,,,,,,111,111,Germany,Germany
,,,,,,,,,,111,,Germany,Germany
,,,,,,,,,,,111,Ireland,Ireland
,,,,,,,,,111,,,Norway,Norway
,,,,,,,,,111,,,Russia,not specified
,,,,,,,,,111,111,,UK Scotland,"River Almond, Perthshire"
,,,,,,,,,,111,,Sweden,Southwestern Sweden
,,,,,,,,,,,111,Spain,Spain
,,,,,,,,111,111,,,Finland,"Tornionjoki, Simojoki, Tenojoki and Näätämöjoki"
