J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
111,111,,,,,,,111,111,111,111,Trinidad Tobago,"10°35'-11°15'N, 61°15'-60°20'W, 1990-91"
111,111,,,,,,,,,,,Brazil,Ceará
111,111,111,,,,,,,,,,Brazil,"Ceará, Rio Grande do Norte"
111,111,111,111,,,,,,,,111,Brazil,Ceará_
111,111,111,,,,,,,,,111,Brazil,North and northeast coasts
111,111,111,111,111,111,,,,,,,Brazil,"North and northeast coasts, 1970-1973"
111,111,111,111,111,111,,,,111,111,111,Brazil,"North and northeast coasts, 1972"
111,111,111,111,,,,,,111,111,111,Brazil,"North and northeast coasts, 1972-1973"
,,,111,111,111,,,,111,111,111,Brazil,"Pará, 1998-2000"
111,111,111,111,111,111,111,111,111,111,111,111,Brazil,"Pará, 1998-2000_"
111,111,111,,,,,,,,,111,Brazil,"Pernambuco, Bahia, 1963-1964"
,,111,111,111,111,111,111,,,,,,Western Atlantic
