J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,111,111,111,111,111,,,,,Denmark,"Baltic Sea, Bornholm Basin"
18,25,100,18,13,2,0,0,0,0,0,0,Germany,"Baltic, ICES SD 22 + 24, Belt Sea and Kiel Bay"
0,0,0,9,36,99,95,100,83,32,6,0,Poland,"Baltic, ICES SD 25-32, Gdansk deep and Gotland Basin"
,,111,111,111,,,,,,,,,Barents Sea
,111,111,111,111,111,111,111,,,,,Denmark,Bornholm Basin (1994)
,,,111,111,,111,,,,,,Denmark,"Bornholm Basin, 1987-96"
,,,111,111,111,111,111,111,,,,Denmark,"Bornholm Basin, 1995-97"
,,111,111,111,111,111,,,,,,Denmark,Bornholm Deep
,,111,111,111,,,,,,,,Iceland,Coastal area
,,111,111,111,111,111,111,111,111,,,Poland,Gdanks Deep
111,111,111,111,,,,,,,,,Germany,German Bight (North Sea)
111,111,111,111,,,,,,,111,111,USA,Gulf of Maine
111,111,111,111,,,,,,,,,Iceland,Iceland
,111,111,111,111,,,,,,,,UK,Irish Sea
,111,111,111,111,111,,,,,,,Germany,"Kiel Bay, 1992-96"
,,111,111,,,,,,,,,Norway,Lofoten
,,111,111,,,,,,,,,Norway,Møre
,,,111,111,111,,,,,,,Canada,Newfoundland
111,111,111,111,111,,,,,,,111,UK,North Sea
111,111,111,111,,,,,,,,,Norway,Norway
,111,111,111,,,,,,,,,Norway,Norwegian coast (Lofoten Islands)
,,111,111,,,,,,,,,Norway,off Lofoten
,,,,111,111,111,111,111,,,,Canada,Southwestern Gulf of St. Lawrence
,,,,111,,,,,,,,Canada,"The Shinneys, Gilbert Bay, Labrador (1998-2001)"
,,111,111,,,,,,,,,Norway,Vesterålen
,,111,111,111,111,,,,,,,Greenland,West Greenland
,,111,111,111,111,111,111,111,,,,Germany,Western Baltic
,,,,,,,,,,,,,Western Baltic: Danish Straits and Arkona Basin
,,,,,,,,,,,,Denmark,"Western Baltic: Little Belt Sea, Great Belt Sea, southern Kattegat"
,,111,111,,,,,,,,,Germany,Western Baltic: Mecklenburg Bay and Kiel Bay
,,111,111,111,,,,,,,,,White Sea
