J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,,,,,,111,111,,,Estonia & Russia
111,,,,,,,,,,,111,France,France
111,,,,,,,,,,111,111,Germany,"Lake Constance-Obersee, Germany, 1991-1997"
111,111,,,,,,,,,,111,Greece,Lake Tavropos
111,111,,,,,,,,,,111,Greece,Lake Vegoritis
111,111,,,,,,,,,,111,UK Scotland,"Loch Lomond, 1984-1986"
111,111,,,,,,,,,,111,UK Scotland,"Lock Eck, 1966-1987"
,,,,,,,,,,111,111,,Northern Europe
,,,,,,,,,,111,111,Poland,Pomerian Bay/ Szczecin Lagoon (1983-1984)
,,,,,,,,,,111,111,Norway,"River Imsa, 1976-1985"
