J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,,,,,,,111,111,Brazil,"Lagoa dos Patos,  Rio Grande do Sul, 1977-80"
,,,,,,,111,111,111,111,111,Brazil,Rio Grande do Sul
