J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,111,111,111,111,,,,,,UK Scotland,North and West
,,,111,111,111,111,,,,,,Norway,Off Norway
,,,111,111,111,111,,,,,,Iceland,Off south-western Iceland
,,,111,111,111,111,,,,,,,Western and Eastern Atlantic
