J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,,,,,,,,,,"Bay of Biscay (Golfe de Gascogne, 1985-1990)"
,,,,,,,,,,,,Ireland,"Celtic Sea, 1977"
,,,111,111,111,111,,,,,,Ireland,"Celtic Sea, 1989"
,,,,,,,,,,,,Portugal,Division IX a
,,,,,,,,,,,,,"English Channel & North Sea, 1974"
,,,,,,,,,,,,UK,English Channel - North Sea
,,,,,,,,,,,,,Off west coast of Africa
111,111,111,111,111,111,111,,,111,111,111,Greece,Saronikos Gulf
,,,,,111,111,111,,,,,Denmark,Southern North Sea
111,111,111,111,111,111,111,111,111,111,111,111,South Africa,"SW-coast, Frio Cape (betwen 17° and 20°S)"
,,,,,,,,,,,,UK,"Western English Channel, 1967-69"
