J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,,111,111,111,,,,,India,Bombay
111,,,,,111,111,111,111,111,111,111,India,Cochin
111,111,,,,,,,,,111,111,Malaysia,East Malaysian waters
,,,,111,111,111,111,111,111,,,Hong Kong,Hong Kong
111,111,111,111,,,,111,111,111,111,111,India,Kakinada
111,111,111,111,,,,111,111,111,111,111,India,Kakinada
111,111,111,,,111,111,111,111,111,111,111,India,Madras
111,111,111,111,111,,,,,,,111,India,"north Andhra and Orissa coasts, 1965-66"
,,,111,111,111,,,,,,,Hong Kong,Not specified
,,,,111,111,111,111,111,111,111,,India,off Cochin
111,111,111,111,111,,,,,,11,111,India,Off the coast of Mangalore
111,111,111,111,,,111,111,111,111,111,111,India,"off Visakhapatnam, 1990-99"
111,111,111,111,,,,,,111,111,111,India,Veraval
111,111,,,,111,111,,,,,111,India,"Visakhapatnam, Bay of Bengal, Nov-Feb 1965-66"
111,111,,,,111,111,,,,,111,India,Waltair
