J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,,,,,,,111,111,French Polynesia,"16.47-31.50°S, 140-144°W (Jan 2006-Jan 2009)"
111,111,,,,,,,,,,,Indonesia,Banda and Timor Seas
,,111,,111,,,,,,,,,Bay of Bengal
,,,,111,111,,,,,,,,Eastern Pacific
,,,,,,,,,,111,111,Fiji,near 177°W
,,,,,,,,,111,111,111,,Northeastern Indian Ocean between 10°S and 20°S
,,,,,,,,111,,,,Australia,Southern Coral Sea
,,,,,,,,,,111,111,,Southwest Pacific between 10°S and 30°S
111,,,,,,,,,111,111,111,,Southwestern Pacific Ocean (Jan 2006-Jan 2009)
111,,,,,,,,,,,111,,Western Indian Ocean
,,,,111,111,,,,,,,,Western North Pacific
