J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
111,111,111,111,111,,,,,,,111,Spain,Bay of Biscay
,,,,,,,,,,,,Ireland,"Celtic Sea, 1988"
,111,111,111,,,,,,,,,,"Dover Strait and Somme, Seine, Solent, Mont-Saint-Michel, Start and Lyme bays"
,,111,111,111,111,,,,,,,Germany,"German Bight, 1960-95"
111,111,111,111,,,,,,,,,,Mediterranean
,,,111,111,111,,,,,,,Netherlands,North Sea
,,,,,,,,,,,,,"North Sea, 1991"
,,,,111,111,,,,,,,Ireland,Off the coast
,,111,111,111,,,,,,,,UK,Off Trevose Head
,,,,111,111,,,,,,,UK Engld Wal,Southern
,,,111,111,111,,,,,,,,"Southern North Sea, Skagerrak, Kattegat"
,,,,,,,,,,,,,to be filled
,,,,,,,,,,,,,to be filled
