J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,111,111,,,,,,,Elephant I.,Elephant Is
,,,111,111,111,,,,,,,S. Georg. Sandw.,in tank experiments
,,,,111,,,,,,,,South Orkney Is.,South Orkney Is
,,,,111,111,,,,,,,S. Georg. Sandw.,South Sandwich Islands
2,,,,,,,,,,,,Terre Adélie,Terre Adélie
