J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,111,111,111,111,111,111,111,,,,Hong Kong,"17°-21°N, 107°-115°E, 1966-68."
,111,111,111,,,,,,,,,China,"West of Pearl River estuary and east of Hainan Island, 8-35 m depth."
