J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
111,111,111,111,111,,,,,,111,111,,Arkona-Bornholm deeps
111,111,111,,,,,,,,111,111,,Baltic Sea
111,111,111,111,111,111,,,,,111,111,Germany,"Baltic, Bornholm basin, Bohuslän, Kattegatt and Belt Sea"
111,111,111,,,,,,,,,111,,Eastern Channel
111,111,111,111,111,111,,,,,,,,Europe
111,111,111,,,,,,,,,,Germany,"German Bight, 1960-95"
,,111,111,,,,,,,,,Iceland,Iceland
111,111,111,111,,,,,,,,,UK No Ireld,Irish Sea
111,111,111,,,,,,,,,,UK,North Sea
111,111,111,111,111,111,,,,,,,Netherlands,North Sea; off the Belgish and Dutch coast
,111,111,,,,,,,,,,France,northwest coast of Brittany
111,111,111,,,,,,,,,111,,south of Start Point and south of Portland Bill
111,111,111,111,,,,,,,,,,"Southern Bight, German Bight, Flamborough, 1985-1986"
,111,111,111,,,,,,,,,UK No Ireld,"west coast of Isle of Man, Irish Sea"
