J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,111,111,,,,111,111,111,,Mexico,Manzanillo harbor-Boca de Apiza
,,,111,111,111,111,111,111,,,,Mexico,Northwest Biological Research Center (2000-2001)
