J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,111,111,,,,,,,,,Bulgaria,Batak Dam
,,111,111,,,,,,,,,Bulgaria,Batak Dam (1982- 1988)
,,,,,,,,,,,,Poland,Curonian Lagoon
,,,,,,,,,,,,Lithuania,"Curonian Lagoon,"
,,111,111,111,,,,,,,,Poland,"Curonian Lagoon, spring 2000"
,,,111,111,111,,,,,,,Turkey,E?irdir Lake
,,111,111,111,,,,,,,,,Europe
,,,111,111,,,,,,,,,Europe
,,,111,111,111,111,111,,,,,France,France
,,,,111,111,,,,,,,Finland,"Helsinki, Gulf of Finland"
5,7,14,14,11,2,1,2,2,3,4,5,Turkey,"Hirfanl? Dam Lake, Red River Basin"
,,,111,111,111,,,,,,,Sweden,inlet basins in the east coast (April-Jun 2002)
,,,,,,,,,,,,Poland,Jeziorak Lake
,,,,111,111,,,,,,,Finland,"Lake Tuusulanjärvi, May-June 1997"
,,,111,111,111,,,,,,,UK,Not stated
,,,,,,,,,,,,Poland,Omulew Lake
,111,111,,,,,,,,,,Bulgaria,Ovcharitsa cooling reservoir (1986-1988)
,,,,,,,,,,,,Poland,Peipsi Lake
,,,,,,,,,,,,Poland,Pärnu Bay
,,,,,,,,,,,,Estonia,"Pärnu Bay, Gulf of Riga"
,,,,,,,,,,,,Romania,River Razelm (1959)
,,,111,111,,,,,,,,Germany,Schleswig-Holstein
111,111,111,,,,,,,,,111,Turkey,"Seyhan Dam Lake, June 2007-2008"
,,111,111,111,,,,,,,,Poland,"Szczecin Lagoon, spring 2000"
,,111,111,111,,,,,,,,Poland,Vistula Lagoon
,,,,,,,,,,,,Poland,Vistula Lagoon -
,,,,,,,,,,,,Poland,"Vistula Lagoon,"
,,,,,,,,,,,,Poland,Vistula near W?oc?awek
,,,,,,,,,,,,Poland,Võrtsjärves Lake
,,,,,,,,,,,,Poland,Wielimie Lake
,,,,,,,,,,,,Poland,Within Vistula Lagoon
,,,,,,,,,,,,Poland,Ähijärves Lake
