J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
111,111,111,,,,,,,111,111,111,Ghana,Cape Coast
,,111,111,,,,,,,,,Senegal,Casamance
111,111,111,111,111,111,,,,,111,111,Cote d'Ivoire,Côte d'Ivoire
111,111,111,111,111,111,111,111,111,111,111,111,Gambia,Gambia River
111,111,111,111,111,111,,,,,111,111,Nigeria,Nigeria
111,111,111,111,111,111,111,111,111,111,111,111,Senegal,Not specified.
,111,111,111,111,111,111,111,111,111,,,Guinea-Bissau,Rio Grande de Buba
111,111,111,111,111,111,111,,,,,,Gambia,river
,,111,111,111,111,111,111,,,,,Senegal,Senegal River
,,,,111,111,111,111,111,111,111,111,Sierra Leone,Sierra Leone
