J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,,,,,111,111,,,,,Ghana,Ghana
111,111,,,,,,,111,111,111,111,,Gulf of Mexico
1,1,1,1,1,4,1,1,1,1,1,1,Greece,Kavala Gulf (2000-2002)
,,,,,111,111,111,,,,,,Mediterranean
,,,,,,111,111,,,,,Cote d'Ivoire,Off Côte d'Ivoire
,,,,,,111,111,,,,,Mauritania,Off Mauritania
,,,,111,,,,,111,111,,Senegal,Off Sénégal
111,111,,,,,,,,,,,Venezuela,Off Venezuela
