J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
,,111,111,111,,,,111,111,111,111,Indonesia,Central section
,,,111,111,111,,,111,111,111,,India,Coromandel coast
,,111,111,111,,,,111,111,111,111,Indonesia,Eastern section
,111,111,,,,,,,,,,Fiji,Fiji
,,111,111,111,111,,,,,,,India,Gulf of Manaar
,,,,111,111,,,,,,,India,Malabar coast
,,111,111,111,,,,,,,,Sri Lanka,Not stated
,,111,111,111,111,,,,111,111,,India,Palk Strait
,,,111,111,111,111,111,,,,,Philippines,Philippines
,,,,,,,111,111,111,111,,Philippines,"rearing ponds - Pangasinan, Zambales, Bohol, Davao del Sur (March-Dec 1985)"
,,,111,111,111,111,111,,,,,Taiwan,Taiwan
,,111,111,111,111,111,111,111,111,111,111,Thailand,Thailand
,,,,111,111,111,111,111,111,111,,Viet Nam,Viet Nam
,,111,111,111,111,,111,111,,,,Indonesia,Western section
