J,F,M,A,M,J,J,A,S,O,N,D,Country,Locality
111,111,111,111,111,111,111,111,111,111,,,,Atlantic
111,111,111,111,111,111,111,111,111,111,111,111,,Caribbean Sea
,111,111,,,,,,,,,,Brazil,Ceará
,,111,111,111,111,111,,,,,,,Central Pacific
,,,,,,,,111,111,111,,Australia,Coral Sea
,,111,111,111,111,111,111,,,,,Cuba,Cuba
111,111,111,111,111,111,111,111,111,111,111,111,,Equatorial Pacific waters
111,111,111,111,111,111,111,111,111,111,111,111,,Gulf of Mexico
,,,,,111,111,111,111,,,,,Mediterranean
111,111,111,111,111,111,111,111,111,111,111,111,USA,Off Florida
,,111,111,111,111,111,111,111,111,111,111,Italy,"Off southern part of Italian Peninsula, Sicily & Straits of Messina"
111,111,111,,,,,,,,111,111,Brazil,"São Paulo, 1974-1977"
,,,,,,,,111,111,111,111,,Western South Pacific
