Mapping parameters for Dentex dentex (Common dentex)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,56,12,-23,42

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,15,50,200
Temperature (°C),1,2.52,8.79,16.11,18.12
Salinity (psu),1,30.9348,35.4073,38.7948,39.2948
Primary Production,1,124,290,655,928
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2.5,8,165,358
 

Map data (HSPEC) for predicted occurrences (n = 793): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Dentex,dentex,55.25,-10.25,7501:350:1,0.13,0.573333333333,0.326953748006,0.909468977082,0.772893772894,1,1
Dentex,dentex,54.75,-10.75,7501:140:4,0.01,0.0533333333333,0.494417862839,0.933392956959,0.59706959707,1,1
Dentex,dentex,54.25,-10.75,7501:140:2,0.03,0.56,1,0.998278367803,0.0586080586081,1,1
Dentex,dentex,53.75,-13.75,7501:133:4,0.13,0.133333333333,1,0.991391839016,1,1,1
Dentex,dentex,53.75,-11.75,7501:131:4,0.03,0.04,1,0.998814980436,0.838827838828,1,1
Dentex,dentex,52.75,-13.75,7501:123:4,0.19,0.193333333333,1,1,1,1,1
Dentex,dentex,52.75,-13.25,7501:123:3,0.01,0.0133333333333,1,1,1,1,1
Dentex,dentex,52.25,-10.75,7501:120:2,0.15,1,1,0.989826718837,0.153846153846,1,1
Dentex,dentex,50.75,-11.25,7501:101:3,0.03,0.0266666666667,1,1,1,1,1
Dentex,dentex,55.25,-8.75,7500:458:2,0.04,1,1,0.972118501956,0.03663003663,1,1
Dentex,dentex,53.25,-8.75,7500:238:2,0.10,1,1,0.944997205143,0.10989010989,1,1
Dentex,dentex,52.75,-8.75,7500:228:4,0.01,0.0666666666667,1,0.910698714366,0.150183150183,1,1
Dentex,dentex,51.75,-9.75,7500:219:4,0.01,1,1,0.98443823365,0.014652014652,1,1
Dentex,dentex,51.75,-9.25,7500:219:3,0.06,1,1,0.995394074902,0.0622710622711,1,1
Dentex,dentex,50.75,-9.75,7500:209:4,0.07,0.906666666667,1,1,0.0732600732601,1,1
Dentex,dentex,50.75,-5.25,7500:205:3,0.08,1,1,0.930821688094,0.0842490842491,1,1
Dentex,dentex,49.75,-7.25,7400:497:3,0.04,0.773333333333,1,0.997652319732,0.0512820512821,1,1
Dentex,dentex,48.75,-5.75,7400:485:4,0.09,0.78,1,0.992666294019,0.113553113553,1,1
Dentex,dentex,47.75,-7.75,7400:477:4,0.12,0.126666666667,0.910685805423,1,1,1,1
Dentex,dentex,47.25,-6.25,7400:476:1,0.10,0.46,0.317384370016,0.92592509782,0.721611721612,1,1
Dentex,dentex,46.75,-5.25,7400:465:3,0.14,0.32,0.558213716108,0.972252655115,0.831501831502,1,1
Dentex,dentex,49.25,-1.75,7400:391:2,0.14,1,1,0.925612073784,0.14652014652,1,1
Dentex,dentex,47.25,-4.75,7400:374:2,0.04,0.62,1,1,0.0659340659341,1,1
Dentex,dentex,46.75,-4.25,7400:364:3,0.10,0.76,1,1,0.128205128205,1,1
Dentex,dentex,46.25,-4.75,7400:364:2,0.19,0.893333333333,0.228070175439,0.91780883175,1,1,1
Dentex,dentex,46.25,-3.75,7400:363:2,0.16,1,1,1,0.157509157509,1,1
Dentex,dentex,44.25,-7.75,7400:247:2,0.02,0.433333333333,0.0398724082935,0.895964225824,1,1,1
Dentex,dentex,44.25,-7.25,7400:247:1,0.07,0.753333333333,0.105263157895,0.903387367244,1,1,1
Dentex,dentex,43.75,-9.25,7400:239:3,0.02,0.0333333333333,0.631578947368,0.99331470095,0.831501831502,1,1
Dentex,dentex,40.25,-9.75,7400:209:2,0.14,0.226666666667,1,1,0.637362637363,1,1
Dentex,dentex,44.25,-1.75,7400:141:2,0.11,0.746666666667,1,1,0.153846153846,1,1
Dentex,dentex,36.75,-11.25,7301:361:3,0.15,0.473333333333,0.325358851675,0.948440469536,1,1,1
Dentex,dentex,33.25,-16.25,7301:236:1,0.12,1,0.127591706539,0.910162101733,1,1,1
Dentex,dentex,32.75,-17.25,7301:227:3,0.11,1,0.125996810207,0.909446618222,1,1,1
Dentex,dentex,32.75,-16.25,7301:226:3,0.04,1,0.0430622009569,0.896523197317,1,1,1
Dentex,dentex,30.25,-15.75,7301:205:2,0.12,1,0.130781499203,0.909782001118,1,1,1
Dentex,dentex,31.25,-13.75,7301:113:2,0.05,0.433333333333,0.133971291866,0.911615427613,1,1,1
Dentex,dentex,30.75,-10.75,7301:100:4,0.07,0.533333333333,0.328548644338,0.945332588038,0.399267399267,1,1
Dentex,dentex,36.75,-8.75,7300:468:4,0.19,0.986666666667,1,1,0.190476190476,1,1
Dentex,dentex,35.25,-6.75,7300:456:2,0.13,0.133333333333,1,1,1,1,1
Dentex,dentex,32.75,-9.25,7300:229:3,0.09,1,1,1,0.0879120879121,1,1
Dentex,dentex,28.25,-17.75,7201:487:2,0.11,1,0.124401913876,0.907277808832,1,1,1
Dentex,dentex,28.75,-16.25,7201:486:3,0.12,1,0.129186602871,0.90891000559,1,1,1
Dentex,dentex,27.75,-18.25,7201:478:3,0.04,1,0.0398724082935,0.896165455562,1,1,1
Dentex,dentex,27.75,-17.75,7201:477:4,0.11,1,0.118022328549,0.905802124092,1,1,1
