Mapping parameters for Sardinella sindensis (Sind sardinella)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  61,
Bounding Box (NSWE): ,30,10,42,74

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,24.49,25.01,28.47,32.67
Salinity (psu),1,30.99,35.41,39.5,40
Primary Production,1,612,778,2642,3467.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,8.5,17,90,121
 

Map data (HSPEC) for predicted occurrences (n = 389): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Sardinella,sindensis,25.75,52.25,1205:352:3,0.70,,,,,,
Sardinella,sindensis,25.75,52.75,1205:352:4,0.70,,,,,,
Sardinella,sindensis,25.75,54.25,1205:354:3,0.79,,,,,,
Sardinella,sindensis,26.25,53.25,1205:363:1,0.67,,,,,,
Sardinella,sindensis,24.75,62.25,1206:142:3,0.71,,,,,,
Sardinella,sindensis,21.25,68.75,1206:218:2,0.79,,,,,,
Sardinella,sindensis,25.25,63.75,1206:353:2,0.69,,,,,,
Sardinella,sindensis,25.25,66.25,1206:456:1,0.76,,,,,,
Sardinella,sindensis,20.25,71.75,1207:101:2,0.70,,,,,,
Sardinella,sindensis,10.75,43.75,1104:103:4,1.00,,,,,,
Sardinella,sindensis,10.25,44.25,1104:104:1,0.99,,,,,,
Sardinella,sindensis,10.25,44.75,1104:104:2,0.99,,,,,,
Sardinella,sindensis,10.75,44.25,1104:104:3,0.99,,,,,,
Sardinella,sindensis,11.75,42.25,1104:112:3,0.98,,,,,,
Sardinella,sindensis,11.75,42.75,1104:112:4,1.00,,,,,,
Sardinella,sindensis,11.25,43.75,1104:113:2,1.00,,,,,,
Sardinella,sindensis,11.75,43.25,1104:113:3,1.00,,,,,,
Sardinella,sindensis,11.75,43.75,1104:113:4,1.00,,,,,,
Sardinella,sindensis,12.75,42.75,1104:122:4,0.98,,,,,,
Sardinella,sindensis,12.25,43.25,1104:123:1,1.00,,,,,,
Sardinella,sindensis,12.75,43.25,1104:123:3,1.00,,,,,,
Sardinella,sindensis,12.75,43.75,1104:123:4,1.00,,,,,,
Sardinella,sindensis,12.25,44.25,1104:124:1,0.96,,,,,,
Sardinella,sindensis,12.75,44.25,1104:124:3,1.00,,,,,,
Sardinella,sindensis,12.75,44.75,1104:124:4,1.00,,,,,,
Sardinella,sindensis,13.25,42.25,1104:132:1,0.96,,,,,,
Sardinella,sindensis,13.25,42.75,1104:132:2,0.96,,,,,,
Sardinella,sindensis,13.75,42.25,1104:132:3,0.96,,,,,,
Sardinella,sindensis,13.75,42.75,1104:132:4,0.96,,,,,,
Sardinella,sindensis,13.25,43.25,1104:133:1,0.99,,,,,,
Sardinella,sindensis,13.75,43.25,1104:133:3,0.99,,,,,,
Sardinella,sindensis,14.25,42.25,1104:142:1,0.91,,,,,,
Sardinella,sindensis,14.25,42.75,1104:142:2,0.91,,,,,,
Sardinella,sindensis,14.75,42.75,1104:142:4,0.91,,,,,,
Sardinella,sindensis,14.25,43.25,1104:143:1,0.95,,,,,,
Sardinella,sindensis,10.25,45.25,1104:205:1,0.99,,,,,,
Sardinella,sindensis,10.75,45.25,1104:205:3,0.99,,,,,,
Sardinella,sindensis,10.75,45.75,1104:205:4,0.99,,,,,,
