Mapping parameters for Hydrolagus novaezealandiae (Dark ghost shark)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  81 ,
Bounding Box (NSWE): ,-34,-47,164,-175

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,25,141,428,950
Temperature (°C),1,2.81,8.51,16.46,22.17
Salinity (psu),1,33.7,34.36,35.43,35.93
Primary Production,1,133,306,1017,1558
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,3,19,319,519
 

Map data (HSPEC) for predicted occurrences (n = 421): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Hydrolagus,novaezealandiae,-35.25,165.75,3316:455:2,0.04,0.099616858237548,0.69176882661997,0.52,1,1,1
Hydrolagus,novaezealandiae,-35.75,165.25,3316:455:3,0.03,0.0727969348659,0.69176882661997,0.52,1,1,1
Hydrolagus,novaezealandiae,-35.75,165.75,3316:455:4,0.04,0.11302681992337,0.69176882661997,0.52,1,1,1
Hydrolagus,novaezealandiae,-36.25,165.25,3316:465:1,0.01,0.011494252873563,0.79859894921191,0.59999999999999,1,1,1
Hydrolagus,novaezealandiae,-37.25,167.25,3316:477:1,0.02,0.026819923371648,0.93345008756567,0.8,1,1,1
Hydrolagus,novaezealandiae,-37.25,167.75,3316:477:2,0.16,0.21455938697318,0.93345008756567,0.8,1,1,1
Hydrolagus,novaezealandiae,-37.25,168.75,3316:478:2,0.17,0.21264367816092,0.92469352014011,0.86,1,1,1
Hydrolagus,novaezealandiae,-38.25,167.25,3316:487:1,0.19,0.20114942528736,1,0.92,1,1,1
Hydrolagus,novaezealandiae,-39.25,167.25,3316:497:1,0.19,0.18582375478927,1,1,1,1,1
Hydrolagus,novaezealandiae,-39.75,167.25,3316:497:3,0.05,0.045977011494253,1,1,1,1,1
Hydrolagus,novaezealandiae,-34.25,179.75,3317:249:2,0.18,0.55938697318008,0.67600700525394,0.48,1,1,1
Hydrolagus,novaezealandiae,-34.75,179.25,3317:249:3,0.14,0.44061302681992,0.67600700525394,0.48,1,1,1
Hydrolagus,novaezealandiae,-34.75,179.75,3317:249:4,0.09,0.272030651341,0.67600700525394,0.48,1,1,1
Hydrolagus,novaezealandiae,-35.75,172.25,3317:352:3,0.18,0.28544061302682,0.76007005253941,0.81999999999999,1,1,1
Hydrolagus,novaezealandiae,-36.75,174.75,3317:364:4,0.09,0.14655172413793,0.80035026269702,0.78,1,1,1
Hydrolagus,novaezealandiae,-37.25,173.25,3317:373:1,0.16,0.17816091954023,0.91768826619965,1,1,1,1
Hydrolagus,novaezealandiae,-39.25,173.75,3317:393:2,0.15,0.94827586206897,1,1,0.15606936416185,1,1
Hydrolagus,novaezealandiae,-39.75,173.75,3317:393:4,0.16,0.75,1,1,0.20809248554913,1,1
Hydrolagus,novaezealandiae,-35.75,176.75,3317:456:4,0.15,0.37931034482759,0.66549912434326,0.59999999999999,1,1,1
Hydrolagus,novaezealandiae,-35.25,179.25,3317:459:1,0.03,0.07088122605364,0.73029772329247,0.58,1,1,1
Hydrolagus,novaezealandiae,-37.75,176.25,3317:476:3,0.14,0.27586206896552,0.74781085814361,0.67999999999999,1,1,1
