Mapping parameters for Petrus rupestris (Red steenbras)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 47 |  51,
Bounding Box (NSWE): ,-28,-34,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,14,31,50
Temperature (°C),1,5.27,15.18,23.73,24.63
Salinity (psu),1,34.02,34.71,35.71,36.21
Primary Production (mgC·m-3·day-1) ,1,9.17,13.25,61.68,78.75
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,89.31,129.28,209.46,268.59
Distance to Land (km),0,0,2,196,310
 

Map data (HSPEC) for predicted occurrences (n = 45): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Petrus,rupestris,-33.75,18.25,3301:238:3,0.19
Petrus,rupestris,-32.25,18.25,3301:228:1,0.15
Petrus,rupestris,-31.75,17.75,3301:217:4,0.10
Petrus,rupestris,-29.25,32.25,3203:392:1,0.23
Petrus,rupestris,-29.25,17.25,3201:497:1,0.27
Petrus,rupestris,-29.75,15.25,3201:495:3,0.26
Petrus,rupestris,-28.75,32.25,3203:382:3,0.52
Petrus,rupestris,-29.75,17.25,3201:497:3,0.54
Petrus,rupestris,-29.25,16.75,3201:496:2,0.41
Petrus,rupestris,-32.75,18.25,3301:228:3,0.60
Petrus,rupestris,-31.75,18.25,3301:218:3,0.63
Petrus,rupestris,-31.25,18.25,3301:218:1,0.73
Petrus,rupestris,-31.25,17.75,3301:217:2,0.62
Petrus,rupestris,-30.75,17.75,3301:207:4,0.67
Petrus,rupestris,-30.25,17.25,3301:207:1,0.63
Petrus,rupestris,-28.25,32.25,3203:382:1,0.60
Petrus,rupestris,-31.25,30.25,3303:110:1,0.99
Petrus,rupestris,-30.75,30.75,3303:100:4,0.84
Petrus,rupestris,-30.75,30.25,3303:100:3,1.00
Petrus,rupestris,-30.25,30.75,3303:100:2,1.00
Petrus,rupestris,-33.25,28.25,3302:238:1,1.00
Petrus,rupestris,-33.75,27.25,3302:237:3,1.00
Petrus,rupestris,-33.25,27.75,3302:237:2,1.00
Petrus,rupestris,-33.25,27.25,3302:237:1,1.00
Petrus,rupestris,-33.75,26.75,3302:236:4,1.00
Petrus,rupestris,-33.75,26.25,3302:236:3,1.00
Petrus,rupestris,-33.75,25.75,3302:235:4,1.00
Petrus,rupestris,-33.75,25.25,3302:235:3,1.00
Petrus,rupestris,-32.25,29.25,3302:229:1,1.00
Petrus,rupestris,-32.75,28.75,3302:228:4,1.00
Petrus,rupestris,-32.75,28.25,3302:228:3,1.00
Petrus,rupestris,-32.25,28.75,3302:228:2,1.00
Petrus,rupestris,-31.75,29.75,3302:219:4,1.00
Petrus,rupestris,-31.75,29.25,3302:219:3,1.00
Petrus,rupestris,-31.25,29.75,3302:219:2,1.00
Petrus,rupestris,-33.75,24.75,3302:134:4,1.00
Petrus,rupestris,-33.75,23.75,3302:133:4,1.00
Petrus,rupestris,-33.25,18.25,3301:238:1,0.84
Petrus,rupestris,-32.75,17.75,3301:227:4,0.99
Petrus,rupestris,-30.75,17.25,3301:207:3,0.99
Petrus,rupestris,-29.75,31.25,3203:391:3,1.00
Petrus,rupestris,-29.25,31.75,3203:391:2,1.00
Petrus,rupestris,-29.25,31.25,3203:391:1,1.00
Petrus,rupestris,-28.75,31.75,3203:381:4,1.00
Petrus,rupestris,-28.25,14.75,3201:384:2,1.00


Occurrence cells used for creating environmental envelope (n = 65)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Petrus,rupestris,-33.75,17.75,3301:237:4,273,16.8107433319092,10.7390718460083,35.3019981384277,34.9208755493164,37.7879999577999,0,198.357040405273,85
Petrus,rupestris,-33.75,18.25,3301:238:3,96,15.9927167892456,14.2455110549927,34.1521415710449,35.233283996582,58.6620010435581,0,198.148971557617,21
Petrus,rupestris,-33.75,25.25,3302:235:3,141,18.9710807800293,18.2705574035645,35.3997230529785,35.3965339660645,45.6074625253677,0,209.442276000977,2
Petrus,rupestris,-33.75,22.75,3302:132:4,1,18.0738353729248,14.840033531189,35.3874244689941,35.3023719787598,39.7034510970116,0,185.582733154297,0
Petrus,rupestris,-33.75,25.75,3302:235:4,11,18.9903545379639,19.5476131439209,35.4030494689941,35.4139671325684,48.0439998209476,0,217.993179321289,10
Petrus,rupestris,-33.75,23.75,3302:133:4,52,18.4881439208984,15.8555126190186,35.3928527832031,35.3366928100586,41.8196022510529,0,192.863327026367,1
Petrus,rupestris,-33.75,26.25,3302:236:3,47,19.4900455474854,20.3238353729248,35.401683807373,35.4246826171875,38.334999233484304,0,220.531204223633,14
Petrus,rupestris,-33.75,24.75,3302:134:4,37,18.845178604126,17.302885055542,35.3969879150391,35.3769874572754,44.1866628825665,0,203.066528320313,0
Petrus,rupestris,-33.75,26.75,3302:236:4,66,20.671594619751,18.6109142303467,35.3919868469238,35.4335136413574,30.1580000668764,0,191.342086791992,17
Petrus,rupestris,-33.75,27.25,3302:237:3,417,22.2646102905273,12.665340423584,35.3788604736328,35.4578704833984,25.7220007479191,0,198.402038574219,23
Petrus,rupestris,-33.25,17.75,3301:237:2,236,16.034143447876,11.0047073364258,34.020938873291,34.972583770752,52.8599992394447,0,184.775421142578,70
Petrus,rupestris,-33.25,18.25,3301:238:1,34,15.7335042953491,14.5488262176514,34.6242179870605,35.2040214538574,62.4049864709377,0,203.765060424805,10
Petrus,rupestris,-33.25,27.25,3302:237:1,28,21.1001529693604,20.1046028137207,35.3847618103027,35.4405517578125,35.4688353836536,0,204.694488525391,5
Petrus,rupestris,-33.25,27.75,3302:237:2,386,22.0818328857422,19.5818653106689,35.3807411193848,35.4852523803711,29.356999322771998,0,190.04768371582,19
Petrus,rupestris,-32.75,28.25,3302:228:3,104,22.3800735473633,21.2248954772949,35.372615814209,35.4471702575684,31.6749997437,0,200.277221679688,12
Petrus,rupestris,-32.75,16.75,3301:226:4,693,17.5208168029785,7.16902303695679,35.4096527099609,34.5966377258301,18.443999812007,0,205.210372924805,140
Petrus,rupestris,-32.75,17.25,3301:227:3,310,16.6961879730225,9.28779220581055,35.1559143066406,34.746467590332,36.4790000021458,0,197.281951904297,94
Petrus,rupestris,-32.75,17.75,3301:227:4,169,15.3914203643799,13.9872159957886,34.7043571472168,35.1961631774902,61.6770014166832,0,188.636138916016,22
Petrus,rupestris,-32.75,27.75,3302:227:4,3,21.5651454925537,21.2363700866699,35.3690605163574,35.4177665710449,35.5451256036758,0,208.171813964844,0
Petrus,rupestris,-32.25,28.75,3302:228:2,85,22.7147579193115,21.1329250335693,35.3543281555176,35.3594284057617,31.0223195701838,0,205.354187011719,7
Petrus,rupestris,-32.25,29.25,3302:229:1,996,23.463451385498,3.29676294326782,35.3404388427734,34.6359329223633,26.7820004373789,0,165.128173828125,23
Petrus,rupestris,-32.25,16.25,3301:226:1,919,17.6022262573242,4.51571798324585,35.433048248291,34.3526573181152,13.245999813079798,0,198.249267578125,198
Petrus,rupestris,-32.25,16.75,3301:226:2,369,16.882396697998,8.85075759887695,35.3163833618164,34.7415466308594,21.6639991849661,0,198.657241821289,156
Petrus,rupestris,-32.25,17.25,3301:227:1,242,16.0344409942627,10.2132987976074,35.137767791748,34.8092346191406,35.826999694109,0,180.900848388672,118
Petrus,rupestris,-32.25,17.75,3301:227:2,152,15.1294889450073,10.8644371032715,35.049674987793,34.8907203674316,56.2050007283688,0,156.34294128418,71
Petrus,rupestris,-32.25,18.25,3301:228:1,84,14.8621845245361,15.1018447875977,35.071174621582,35.161247253418,76.0670006275177,0,209.511657714844,17
Petrus,rupestris,-31.75,17.25,3301:217:3,200,15.7230939865112,10.9693565368652,35.1473426818848,34.8659019470215,32.2570018470287,0,149.249664306641,118
Petrus,rupestris,-31.75,18.25,3301:218:3,77,15.1811408996582,12.8990526199341,35.0382499694824,35.0310859680176,67.922830581665,0,161.415893554688,12
