Mapping parameters for Nemipterus bipunctatus (Delagoa threadfin bream)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57,
Bounding Box (NSWE): ,31,-30,31,103

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,18,26,59,100
Temperature (°C),1,23.68,25.46,28.88,33.08
Salinity (psu),1,28.81,31.87,39.2,39.7
Primary Production,1,139,333,1862,2838
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,6,15,133,547
 

Map data (HSPEC) for predicted occurrences (n = 1401): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Nemipterus,bipunctatus,15.25,80.75,1108:350:2,0.35,,,,,,
Nemipterus,bipunctatus,15.75,80.25,1108:350:3,0.35,,,,,,
Nemipterus,bipunctatus,15.75,80.75,1108:350:4,0.35,,,,,,
Nemipterus,bipunctatus,15.75,81.25,1108:351:3,0.35,,,,,,
Nemipterus,bipunctatus,16.25,81.25,1108:361:1,0.35,,,,,,
Nemipterus,bipunctatus,10.25,97.25,1109:207:1,0.24,,,,,,
Nemipterus,bipunctatus,14.25,95.25,1109:245:1,0.30,,,,,,
Nemipterus,bipunctatus,14.25,95.75,1109:245:2,0.30,,,,,,
Nemipterus,bipunctatus,14.75,95.25,1109:245:3,0.38,,,,,,
Nemipterus,bipunctatus,14.75,95.75,1109:245:4,0.34,,,,,,
Nemipterus,bipunctatus,14.25,96.25,1109:246:1,0.28,,,,,,
Nemipterus,bipunctatus,14.25,96.75,1109:246:2,0.28,,,,,,
Nemipterus,bipunctatus,14.75,96.25,1109:246:3,0.28,,,,,,
Nemipterus,bipunctatus,14.75,96.75,1109:246:4,0.23,,,,,,
Nemipterus,bipunctatus,14.25,97.25,1109:247:1,0.20,,,,,,
Nemipterus,bipunctatus,14.25,97.75,1109:247:2,0.20,,,,,,
Nemipterus,bipunctatus,14.75,97.25,1109:247:3,0.20,,,,,,
Nemipterus,bipunctatus,14.75,97.75,1109:247:4,0.20,,,,,,
Nemipterus,bipunctatus,14.25,98.25,1109:248:1,0.20,,,,,,
Nemipterus,bipunctatus,15.25,94.25,1109:354:1,0.31,,,,,,
Nemipterus,bipunctatus,15.25,94.75,1109:354:2,0.30,,,,,,
Nemipterus,bipunctatus,15.75,94.25,1109:354:3,0.20,,,,,,
Nemipterus,bipunctatus,15.75,94.75,1109:354:4,0.27,,,,,,
Nemipterus,bipunctatus,19.25,92.75,1109:392:2,0.27,,,,,,
Nemipterus,bipunctatus,19.75,92.25,1109:392:3,0.27,,,,,,
Nemipterus,bipunctatus,19.75,92.75,1109:392:4,0.27,,,,,,
Nemipterus,bipunctatus,19.25,93.25,1109:393:1,0.27,,,,,,
Nemipterus,bipunctatus,19.75,93.25,1109:393:3,0.23,,,,,,
Nemipterus,bipunctatus,15.25,97.75,1109:457:2,0.20,,,,,,
Nemipterus,bipunctatus,22.75,35.75,1203:225:4,0.28,,,,,,
Nemipterus,bipunctatus,22.75,36.25,1203:226:3,0.28,,,,,,
Nemipterus,bipunctatus,22.75,36.75,1203:226:4,0.28,,,,,,
Nemipterus,bipunctatus,23.25,35.75,1203:235:2,0.28,,,,,,
Nemipterus,bipunctatus,23.75,35.75,1203:235:4,0.28,,,,,,
Nemipterus,bipunctatus,23.25,36.25,1203:236:1,0.28,,,,,,
Nemipterus,bipunctatus,23.75,36.25,1203:236:3,0.28,,,,,,
Nemipterus,bipunctatus,28.25,33.25,1203:383:1,0.33,,,,,,
Nemipterus,bipunctatus,29.25,33.25,1203:393:1,0.26,,,,,,
Nemipterus,bipunctatus,29.25,34.75,1203:394:2,0.35,,,,,,
Nemipterus,bipunctatus,29.75,34.75,1203:394:4,0.35,,,,,,
Nemipterus,bipunctatus,28.25,35.25,1203:485:1,0.32,,,,,,
Nemipterus,bipunctatus,26.75,49.75,1204:469:4,0.35,,,,,,
Nemipterus,bipunctatus,29.75,48.75,1204:498:4,0.33,,,,,,
Nemipterus,bipunctatus,20.25,58.25,1205:208:1,0.20,,,,,,
Nemipterus,bipunctatus,21.75,59.75,1205:219:4,0.29,,,,,,
Nemipterus,bipunctatus,24.75,57.25,1205:247:3,0.29,,,,,,
Nemipterus,bipunctatus,26.25,50.75,1205:360:2,0.35,,,,,,
Nemipterus,bipunctatus,21.25,68.25,1206:218:1,0.32,,,,,,
Nemipterus,bipunctatus,23.25,68.25,1206:238:1,0.35,,,,,,
Nemipterus,bipunctatus,24.25,65.75,1206:245:2,0.29,,,,,,
Nemipterus,bipunctatus,25.25,63.25,1206:353:1,0.34,,,,,,
Nemipterus,bipunctatus,20.25,71.75,1207:101:2,0.25,,,,,,
Nemipterus,bipunctatus,20.25,91.25,1209:101:1,0.32,,,,,,
Nemipterus,bipunctatus,20.25,91.75,1209:101:2,0.32,,,,,,
Nemipterus,bipunctatus,20.75,91.25,1209:101:3,0.20,,,,,,
Nemipterus,bipunctatus,20.75,91.75,1209:101:4,0.24,,,,,,
Nemipterus,bipunctatus,20.25,92.25,1209:102:1,0.32,,,,,,
Nemipterus,bipunctatus,20.25,92.75,1209:102:2,0.27,,,,,,
Nemipterus,bipunctatus,20.75,92.25,1209:102:3,0.32,,,,,,
Nemipterus,bipunctatus,20.75,92.75,1209:102:4,0.32,,,,,,
Nemipterus,bipunctatus,-4.75,55.75,3005:245:4,0.35,,,,,,
Nemipterus,bipunctatus,-4.75,56.25,3005:246:3,0.28,,,,,,
Nemipterus,bipunctatus,-5.25,56.75,3005:456:2,0.23,,,,,,
Nemipterus,bipunctatus,-5.25,57.25,3005:457:1,0.37,,,,,,
Nemipterus,bipunctatus,-2.25,99.25,3009:229:1,0.20,,,,,,
Nemipterus,bipunctatus,-1.75,100.25,3010:110:3,0.37,,,,,,
Nemipterus,bipunctatus,-4.75,101.25,3010:141:3,0.34,,,,,,
Nemipterus,bipunctatus,-16.25,59.75,3105:469:2,0.21,,,,,,
Nemipterus,bipunctatus,-10.75,61.75,3106:101:4,0.20,,,,,,
Nemipterus,bipunctatus,-11.25,60.25,3106:110:1,0.24,,,,,,
Nemipterus,bipunctatus,-11.25,61.25,3106:111:1,0.20,,,,,,
Nemipterus,bipunctatus,-12.25,61.25,3106:121:1,0.27,,,,,,
Nemipterus,bipunctatus,-14.25,61.25,3106:141:1,0.30,,,,,,
Nemipterus,bipunctatus,-15.25,60.75,3106:350:2,0.31,,,,,,
Nemipterus,bipunctatus,-19.25,61.75,3106:391:2,0.37,,,,,,
Nemipterus,bipunctatus,-19.75,61.75,3106:391:4,0.37,,,,,,
Nemipterus,bipunctatus,-19.75,62.25,3106:392:3,0.36,,,,,,
Nemipterus,bipunctatus,-19.75,64.25,3106:394:3,0.26,,,,,,
Nemipterus,bipunctatus,-28.75,31.75,3203:381:4,0.24,,,,,,
Nemipterus,bipunctatus,-28.25,32.25,3203:382:1,0.38,,,,,,
