Mapping parameters for Ciliata septentrionalis (Northern rockling)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 ,
Bounding Box (NSWE): ,70,44,-24,22

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,10,50,90
Temperature (°C),1,-0.73,3.03,11.43,18.575
Salinity (psu),1,27.4848,34.30795,35.30795,35.80795
Primary Production,1,318,380,1526,2591.5
Sea Ice Concentration,1,-1,0,0.02,0.05
Distance to Land (km),0,5,8,142,253
 

Map data (HSPEC) for predicted occurrences (n = 860): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Ciliata,septentrionalis,69.75,16.25,1601:496:3,0.02,0.425,0.0505319148936,1,1,1,1
Ciliata,septentrionalis,44.25,-1.75,7400:141:2,0.02,0.05,0.948215535339,0.4463,1,1,1
Ciliata,septentrionalis,44.25,-7.25,7400:247:1,0.08,0.075,1,1,1,1,1
Ciliata,septentrionalis,45.75,-2.75,7400:352:4,0.10,0.2,0.94121763471,0.5215,1,1,1
Ciliata,septentrionalis,46.25,-3.25,7400:363:1,0.11,0.2,0.959412176347,0.5601,1,1,1
Ciliata,septentrionalis,46.25,-4.25,7400:364:1,0.11,1,1,0.1079,1,1,1
Ciliata,septentrionalis,46.75,-4.25,7400:364:3,0.04,0.1,0.952414275717,0.4427,1,1,1
Ciliata,septentrionalis,47.25,-3.75,7400:373:2,0.09,0.15,0.962211336599,0.6241,1,1,1
Ciliata,septentrionalis,47.25,-5.25,7400:475:1,0.03,0.05,0.979006298111,0.5341,1,1,1
Ciliata,septentrionalis,48.75,-5.75,7400:485:4,0.15,0.175,1,0.8669,1,1,1
Ciliata,septentrionalis,49.75,-7.25,7400:497:3,0.12,0.15,1,0.8223,1,1,1
Ciliata,septentrionalis,49.25,-8.25,7400:498:1,0.04,0.075,1,0.5943,1,1,1
Ciliata,septentrionalis,49.25,-9.75,7400:499:2,0.09,0.15,1,0.6213,1,1,1
Ciliata,septentrionalis,50.75,-6.75,7500:206:4,0.08,0.075,1,1,1,1,1
Ciliata,septentrionalis,50.25,-7.25,7500:207:1,0.02,0.025,1,1,1,1,1
Ciliata,septentrionalis,50.25,-7.75,7500:207:2,0.15,0.15,1,1,1,1,1
Ciliata,septentrionalis,50.25,-9.75,7500:209:2,0.12,0.15,1,0.7875,1,1,1
Ciliata,septentrionalis,50.75,-9.25,7500:209:3,0.08,0.1,1,0.7875,1,1,1
Ciliata,septentrionalis,51.25,-6.25,7500:216:1,0.08,0.075,1,1,1,1,1
Ciliata,septentrionalis,51.25,-7.25,7500:217:1,0.18,0.175,1,1,1,1,1
Ciliata,septentrionalis,57.75,-0.25,7500:370:3,0.15,0.15,1,1,1,1,1
Ciliata,septentrionalis,57.75,-0.75,7500:370:4,0.18,0.175,1,1,1,1,1
Ciliata,septentrionalis,59.25,-1.25,7500:391:1,0.18,0.175,1,1,1,1,1
Ciliata,septentrionalis,50.75,-10.25,7501:100:3,0.08,0.125,1,0.6487,1,1,1
Ciliata,septentrionalis,53.25,-13.75,7501:133:2,0.06,0.075,1,0.7529,1,1,1
Ciliata,septentrionalis,60.75,-0.25,7600:100:3,0.18,0.175,1,1,1,1,1
Ciliata,septentrionalis,60.75,-8.75,7600:208:4,0.13,0.2,1,1,0.645161290323,1,1
Ciliata,septentrionalis,62.75,-6.25,7600:226:3,0.14,0.575,0.30585106383,1,0.790322580645,1,1
Ciliata,septentrionalis,62.75,-7.25,7600:227:3,0.01,0.025,0.473404255319,1,1,1,1
