Mapping parameters for Sphyrna tudes (Smalleye hammerhead)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  31 |  37 |  41 ,
Bounding Box (NSWE): ,46,-57,-73,37

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,12,20
Temperature (°C),1,1.71,2.94,27.36,27.86
Salinity (psu),1,33.31355,34.6673,36.0736,38.9
Primary Production,1,370,492,2172,2801
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,7,8,175,309
 

Map data (HSPEC) for predicted occurrences (n = 843): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Sphyrna,tudes,39.75,17.25,1301:497:3,0.05,1,1,0.0551231248231,0.991803278689,1,1
Sphyrna,tudes,39.75,18.25,1301:498:3,0.03,1,1,0.0389541466176,0.688524590164,1,1
Sphyrna,tudes,39.75,19.25,1301:499:3,0.01,1,1,0.0545570336824,0.204918032787,1,1
Sphyrna,tudes,30.75,28.75,1302:208:4,0.04,1,1,0.0509128219643,0.745901639344,1,1
Sphyrna,tudes,31.25,29.75,1302:219:2,0.01,1,1,0.0124540050948,1,1,1
Sphyrna,tudes,35.75,23.25,1302:353:3,0.01,1,1,0.0465256156241,0.122950819672,1,1
Sphyrna,tudes,36.75,21.75,1302:361:4,0.01,1,1,0.0694169261251,0.188524590164,1,1
Sphyrna,tudes,36.25,22.25,1302:362:1,0.01,1,1,0.0803141805831,0.106557377049,1,1
Sphyrna,tudes,36.25,22.75,1302:362:2,0.01,1,1,0.049780639683,0.213114754098,1,1
Sphyrna,tudes,36.75,22.25,1302:362:3,0.01,1,1,0.042032267195,0.27868852459,1,1
Sphyrna,tudes,37.75,21.75,1302:371:4,0.03,1,1,0.051478913105,0.491803278689,1,1
Sphyrna,tudes,37.75,23.25,1302:373:3,0.04,1,1,0.0813048400793,0.467213114754,1,1
Sphyrna,tudes,37.75,23.75,1302:373:4,0.03,1,1,0.0387772431361,0.745901639344,1,1
Sphyrna,tudes,37.75,24.75,1302:374:4,0.01,1,1,0.0283045570337,0.262295081967,1,1
Sphyrna,tudes,38.25,20.75,1302:380:2,0.02,1,1,0.10391310501,0.229508196721,1,1
Sphyrna,tudes,38.75,20.75,1302:380:4,0.02,1,1,0.0755377865836,0.229508196721,1,1
Sphyrna,tudes,38.25,21.75,1302:381:2,0.07,1,1,0.156382677611,0.426229508197,1,1
Sphyrna,tudes,38.75,21.25,1302:381:3,0.05,1,1,0.152596943108,0.319672131148,1,1
Sphyrna,tudes,38.25,22.25,1302:382:1,0.02,1,1,0.0191055759977,0.811475409836,1,1
Sphyrna,tudes,38.25,22.75,1302:382:2,0.02,1,1,0.0206977073309,1,1,1
Sphyrna,tudes,38.25,23.25,1302:383:1,0.10,1,1,0.172551655817,0.565573770492,1,1
Sphyrna,tudes,38.25,23.75,1302:383:2,0.13,1,1,0.20973676762,0.622950819672,1,1
Sphyrna,tudes,38.75,23.25,1302:383:3,0.12,1,1,0.258597509199,0.459016393443,1,1
Sphyrna,tudes,38.75,23.75,1302:383:4,0.02,1,1,0.0206977073309,0.803278688525,1,1
Sphyrna,tudes,38.75,24.25,1302:384:3,0.01,1,1,0.0137630908576,0.581967213115,1,1
Sphyrna,tudes,38.75,24.75,1302:384:4,0.01,1,1,0.0137630908576,0.508196721311,1,1
Sphyrna,tudes,39.25,20.75,1302:390:2,0.06,1,1,0.0827554486272,0.745901639344,1,1
Sphyrna,tudes,39.75,20.25,1302:390:3,0.08,1,1,0.135826493065,0.573770491803,1,1
Sphyrna,tudes,39.25,21.25,1302:391:1,0.06,1,1,0.132854514577,0.475409836066,1,1
Sphyrna,tudes,39.25,22.75,1302:392:2,0.02,1,1,0.3425559015,0.0655737704918,1,1
Sphyrna,tudes,39.75,22.75,1302:392:4,0.11,1,1,0.172551655817,0.622950819672,1,1
Sphyrna,tudes,39.25,23.25,1302:393:1,0.01,1,1,0.0167350693462,0.77868852459,1,1
Sphyrna,tudes,39.75,23.25,1302:393:3,0.02,1,1,0.016841211435,1,1,1
Sphyrna,tudes,39.25,24.75,1302:394:2,0.01,1,1,0.0100127370507,0.844262295082,1,1
Sphyrna,tudes,38.25,27.25,1302:487:1,0.01,1,1,0.00923436173224,1,1,1
Sphyrna,tudes,38.75,27.25,1302:487:3,0.01,1,1,0.00923436173224,1,1,1
Sphyrna,tudes,39.25,26.75,1302:496:2,0.06,1,1,0.057529012171,1,1,1
Sphyrna,tudes,39.75,26.25,1302:496:3,0.02,1,1,0.0177257288423,1,1,1
Sphyrna,tudes,32.75,35.25,1303:225:3,0.17,1,1,0.174356071327,1,1,1
Sphyrna,tudes,33.25,35.25,1303:235:1,0.02,1,1,0.0356283611661,0.459016393443,1,1
Sphyrna,tudes,34.25,35.75,1303:245:2,0.03,1,1,0.0291183130484,0.94262295082,1,1
Sphyrna,tudes,36.25,30.75,1303:360:2,0.01,1,1,0.0776960090575,0.131147540984,1,1
Sphyrna,tudes,36.75,30.75,1303:360:4,0.02,1,1,0.0446150580243,0.352459016393,1,1
Sphyrna,tudes,36.75,31.25,1303:361:3,0.03,1,1,0.0603948485706,0.55737704918,1,1
Sphyrna,tudes,36.75,31.75,1303:361:4,0.04,1,1,0.0607132748372,0.66393442623,1,1
Sphyrna,tudes,36.25,34.25,1303:364:1,0.03,1,1,0.03463770167,0.729508196721,1,1
Sphyrna,tudes,40.25,3.75,1400:103:2,0.07,1,1,0.16812906878,0.401639344262,1,1
Sphyrna,tudes,40.25,4.25,1400:104:1,0.09,1,1,0.167952165299,0.540983606557,1,1
Sphyrna,tudes,41.25,1.75,1400:111:2,0.19,1,1,0.186243985282,1,1,1
Sphyrna,tudes,41.25,2.25,1400:112:1,0.17,1,1,0.171454854232,1,1,1
Sphyrna,tudes,41.75,2.75,1400:112:4,0.16,1,1,0.164484857062,1,1,1
Sphyrna,tudes,41.75,3.25,1400:113:3,0.14,1,1,0.143008774413,1,1,1
Sphyrna,tudes,42.25,3.25,1400:123:1,0.18,1,1,0.184474950467,1,1,1
Sphyrna,tudes,43.25,4.25,1400:134:1,0.15,0.625,1,0.235953863572,1,1,1
Sphyrna,tudes,40.25,8.25,1400:208:1,0.06,1,1,0.22700254741,0.254098360656,1,1
Sphyrna,tudes,40.75,8.25,1400:208:3,0.04,1,1,0.22700254741,0.196721311475,1,1
Sphyrna,tudes,40.25,9.75,1400:209:2,0.05,1,1,0.111378431928,0.491803278689,1,1
Sphyrna,tudes,41.25,8.25,1400:218:1,0.01,1,1,0.170287291254,0.0409836065574,1,1
Sphyrna,tudes,41.25,8.75,1400:218:2,0.02,1,1,0.131156241155,0.16393442623,1,1
Sphyrna,tudes,41.75,8.75,1400:218:4,0.05,1,1,0.14456552505,0.360655737705,1,1
Sphyrna,tudes,41.75,9.25,1400:219:3,0.04,1,1,0.252228983866,0.139344262295,1,1
Sphyrna,tudes,42.25,8.75,1400:228:2,0.06,1,1,0.130943956977,0.450819672131,1,1
Sphyrna,tudes,42.75,8.75,1400:228:4,0.13,1,1,0.16498018681,0.786885245902,1,1
Sphyrna,tudes,42.25,9.25,1400:229:1,0.08,1,1,0.303920181149,0.27868852459,1,1
Sphyrna,tudes,42.25,9.75,1400:229:2,0.02,1,1,0.101613359751,0.245901639344,1,1
Sphyrna,tudes,42.75,9.25,1400:229:3,0.05,1,1,0.134765072177,0.393442622951,1,1
Sphyrna,tudes,42.75,9.75,1400:229:4,0.05,1,1,0.124540050948,0.418032786885,1,1
Sphyrna,tudes,43.25,5.25,1400:235:1,0.16,1,1,0.156594961789,1,1,1
Sphyrna,tudes,43.25,5.75,1400:235:2,0.16,1,1,0.156594961789,1,1,1
Sphyrna,tudes,43.25,6.75,1400:236:2,0.16,1,1,0.158328615907,1,1,1
Sphyrna,tudes,43.75,7.25,1400:237:3,0.15,1,1,0.145273138975,1,1,1
Sphyrna,tudes,43.75,7.75,1400:237:4,0.16,1,1,0.161866685536,1,1,1
Sphyrna,tudes,43.75,8.25,1400:238:3,0.16,1,1,0.163211151995,0.950819672131,1,1
Sphyrna,tudes,43.25,9.25,1400:239:1,0.10,1,1,0.158717803566,0.622950819672,1,1
Sphyrna,tudes,43.25,9.75,1400:239:2,0.05,1,1,0.130873195584,0.385245901639,1,1
Sphyrna,tudes,44.25,8.25,1400:248:1,0.13,1,1,0.127547410133,1,1,1
Sphyrna,tudes,44.25,8.75,1400:248:2,0.16,1,1,0.155745825078,1,1,1
Sphyrna,tudes,44.25,9.25,1400:249:1,0.12,1,1,0.141664307954,0.844262295082,1,1
Sphyrna,tudes,44.25,9.75,1400:249:2,0.17,1,1,0.166819983017,1,1,1
Sphyrna,tudes,40.75,12.75,1401:102:4,0.04,1,1,0.166289272573,0.213114754098,1,1
Sphyrna,tudes,40.75,13.25,1401:103:3,0.06,1,1,0.142584206057,0.409836065574,1,1
Sphyrna,tudes,40.75,13.75,1401:103:4,0.08,1,1,0.0877795075007,0.926229508197,1,1
Sphyrna,tudes,40.25,14.75,1401:104:2,0.05,1,1,0.0643574865553,0.795081967213,1,1
Sphyrna,tudes,40.75,14.25,1401:104:3,0.10,1,1,0.103806962921,1,1,1
Sphyrna,tudes,40.75,14.75,1401:104:4,0.12,1,1,0.121780356637,1,1,1
Sphyrna,tudes,41.25,12.75,1401:112:2,0.09,1,1,0.103099348995,0.827868852459,1,1
Sphyrna,tudes,41.75,12.25,1401:112:3,0.13,1,1,0.125212284178,1,1,1
Sphyrna,tudes,42.25,10.25,1401:120:1,0.04,1,1,0.109220209454,0.377049180328,1,1
Sphyrna,tudes,42.25,10.75,1401:120:2,0.05,1,1,0.103417775262,0.450819672131,1,1
Sphyrna,tudes,42.75,10.25,1401:120:3,0.10,1,1,0.249469289556,0.409836065574,1,1
Sphyrna,tudes,42.25,11.25,1401:121:1,0.11,1,1,0.125212284178,0.868852459016,1,1
Sphyrna,tudes,42.25,11.75,1401:121:2,0.18,1,1,0.175063685253,1,1,1
Sphyrna,tudes,42.75,13.75,1401:123:4,0.19,1,1,0.247381828474,0.754098360656,1,1
Sphyrna,tudes,42.25,14.75,1401:124:2,0.16,1,1,0.159849985848,1,1,1
Sphyrna,tudes,42.75,14.25,1401:124:3,0.17,1,1,0.17223322955,1,1,1
Sphyrna,tudes,43.75,13.75,1401:133:4,0.19,1,1,0.189782054911,1,1,1
Sphyrna,tudes,43.75,14.75,1401:134:4,0.09,1,1,0.189392867252,0.467213114754,1,1
Sphyrna,tudes,44.25,13.25,1401:143:1,0.19,1,1,0.189782054911,1,1,1
Sphyrna,tudes,44.75,13.75,1401:143:4,0.19,1,1,0.189782054911,1,1,1
Sphyrna,tudes,44.25,14.25,1401:144:1,0.14,1,1,0.263338522502,0.532786885246,1,1
Sphyrna,tudes,40.25,15.25,1401:205:1,0.10,1,1,0.15210161336,0.631147540984,1,1
Sphyrna,tudes,40.25,15.75,1401:205:2,0.12,1,1,0.15210161336,0.811475409836,1,1
Sphyrna,tudes,40.25,16.75,1401:206:2,0.04,1,1,0.0484715539202,0.877049180328,1,1
Sphyrna,tudes,40.25,17.25,1401:207:1,0.06,1,1,0.0551231248231,1,1,1
Sphyrna,tudes,40.25,17.75,1401:207:2,0.05,1,1,0.0477639399943,1,1,1
Sphyrna,tudes,40.75,17.25,1401:207:3,0.12,1,1,0.11583639966,1,1,1
Sphyrna,tudes,40.75,17.75,1401:207:4,0.12,1,1,0.11583639966,1,1,1
Sphyrna,tudes,40.25,18.25,1401:208:1,0.09,1,1,0.149271157656,0.598360655738,1,1
