Mapping parameters for Cybiosarda elegans (Leaping bonito)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71 |  81,
Bounding Box (NSWE): ,-6,-41,108,158

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,50,66,123,200
Temperature (°C),1,16.5,20.23,28.06,32.26
Salinity (psu),1,33.65,34.15,35.61,36.51
Primary Production,1,81,225,974,1552
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,10,299,362
 

Map data (HSPEC) for predicted occurrences (n = 1160): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Cybiosarda,elegans,-33.75,137.25,3313:237:3,0.08,,,,,,
Cybiosarda,elegans,-34.25,135.25,3313:245:1,0.15,,,,,,
Cybiosarda,elegans,-34.75,135.25,3313:245:3,0.15,,,,,,
Cybiosarda,elegans,-34.75,135.75,3313:245:4,0.16,,,,,,
Cybiosarda,elegans,-34.25,136.25,3313:246:1,0.14,,,,,,
Cybiosarda,elegans,-34.75,136.25,3313:246:3,0.14,,,,,,
Cybiosarda,elegans,-34.75,136.75,3313:246:4,0.14,,,,,,
Cybiosarda,elegans,-34.25,137.75,3313:247:2,0.15,,,,,,
Cybiosarda,elegans,-34.75,137.75,3313:247:4,0.15,,,,,,
Cybiosarda,elegans,-34.25,138.25,3313:248:1,0.14,,,,,,
Cybiosarda,elegans,-34.75,138.25,3313:248:3,0.11,,,,,,
Cybiosarda,elegans,-35.25,134.25,3313:354:1,0.08,,,,,,
Cybiosarda,elegans,-35.25,134.75,3313:354:2,0.08,,,,,,
Cybiosarda,elegans,-35.25,135.25,3313:455:1,0.08,,,,,,
Cybiosarda,elegans,-35.25,135.75,3313:455:2,0.08,,,,,,
Cybiosarda,elegans,-35.75,135.25,3313:455:3,0.08,,,,,,
Cybiosarda,elegans,-35.75,135.75,3313:455:4,0.08,,,,,,
Cybiosarda,elegans,-35.25,136.25,3313:456:1,0.07,,,,,,
Cybiosarda,elegans,-35.25,136.75,3313:456:2,0.07,,,,,,
Cybiosarda,elegans,-35.75,136.25,3313:456:3,0.04,,,,,,
Cybiosarda,elegans,-35.75,136.75,3313:456:4,0.08,,,,,,
Cybiosarda,elegans,-35.25,137.25,3313:457:1,0.01,,,,,,
Cybiosarda,elegans,-35.75,137.25,3313:457:3,0.08,,,,,,
Cybiosarda,elegans,-35.75,137.75,3313:457:4,0.08,,,,,,
Cybiosarda,elegans,-35.25,138.25,3313:458:1,0.07,,,,,,
Cybiosarda,elegans,-35.75,138.25,3313:458:3,0.07,,,,,,
Cybiosarda,elegans,-35.75,138.75,3313:458:4,0.07,,,,,,
Cybiosarda,elegans,-35.75,139.25,3313:459:3,0.02,,,,,,
Cybiosarda,elegans,-36.75,149.75,3314:469:4,0.06,,,,,,
Cybiosarda,elegans,-37.75,148.25,3314:478:3,0.12,,,,,,
Cybiosarda,elegans,-37.75,148.75,3314:478:4,0.12,,,,,,
Cybiosarda,elegans,-37.25,149.75,3314:479:2,0.13,,,,,,
Cybiosarda,elegans,-38.25,149.25,3314:489:1,0.12,,,,,,
Cybiosarda,elegans,-38.25,149.75,3314:489:2,0.11,,,,,,
Cybiosarda,elegans,-7.75,109.25,3010:479:3,0.29,,,,,,
Cybiosarda,elegans,-7.75,109.75,3010:479:4,0.29,,,,,,
Cybiosarda,elegans,-8.25,109.25,3010:489:1,0.32,,,,,,
Cybiosarda,elegans,-7.75,110.25,3011:370:3,0.29,,,,,,
Cybiosarda,elegans,-8.25,110.25,3011:380:1,0.32,,,,,,
Cybiosarda,elegans,-8.25,110.75,3011:380:2,0.32,,,,,,
Cybiosarda,elegans,-8.75,118.75,3011:488:4,0.34,,,,,,
Cybiosarda,elegans,-8.25,119.25,3011:489:1,0.34,,,,,,
Cybiosarda,elegans,-8.25,119.75,3011:489:2,0.34,,,,,,
Cybiosarda,elegans,-8.75,119.25,3011:489:3,0.34,,,,,,
Cybiosarda,elegans,-8.75,119.75,3011:489:4,0.34,,,,,,
Cybiosarda,elegans,-6.25,124.25,3012:364:1,0.37,,,,,,
Cybiosarda,elegans,-6.25,124.75,3012:364:2,0.38,,,,,,
Cybiosarda,elegans,-8.75,120.25,3012:380:3,0.34,,,,,,
Cybiosarda,elegans,-8.25,123.25,3012:383:1,0.31,,,,,,
Cybiosarda,elegans,-8.25,123.75,3012:383:2,0.31,,,,,,
Cybiosarda,elegans,-8.25,135.25,3013:485:1,0.25,,,,,,
Cybiosarda,elegans,-8.75,135.25,3013:485:3,0.35,,,,,,
Cybiosarda,elegans,-8.75,135.75,3013:485:4,0.22,,,,,,
Cybiosarda,elegans,-9.25,138.25,3013:498:1,0.31,,,,,,
Cybiosarda,elegans,-9.75,139.25,3013:499:3,0.31,,,,,,
Cybiosarda,elegans,-9.75,139.75,3013:499:4,0.38,,,,,,
