Mapping parameters for Pegusa nasuta (Blackhand sole)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  37 ,
Bounding Box (NSWE): ,46,35,-6,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,7,31,60
Temperature (°C),1,14.4,15.11,19.35,22.16
Salinity (psu),1,17.6,18.1,38.47,39.255
Primary Production,1,384,389,792,1200
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,3,7,127,280.5
 

Map data (HSPEC) for predicted occurrences (n = 424): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Pegusa,nasuta,40.75,19.75,1401:209:4,0.33,0.33333333333333,1,1,1,1,1
Pegusa,nasuta,45.25,13.25,1401:353:1,0.34,1,1,1,0.33578431372549,1,1
Pegusa,nasuta,41.25,28.25,1402:218:1,0.32,1,1,1,0.32107843137255,1,1
Pegusa,nasuta,41.25,29.75,1402:219:2,0.22,1,1,1,0.21813725490196,1,1
Pegusa,nasuta,42.75,28.25,1402:228:3,0.30,1,0.6056338028169,1,0.5,1,1
Pegusa,nasuta,41.75,32.75,1403:112:4,0.36,1,0.95774647887324,1,0.375,1,1
Pegusa,nasuta,41.75,34.25,1403:114:3,0.33,1,0.88732394366197,1,0.36764705882353,1,1
Pegusa,nasuta,41.75,34.75,1403:114:4,0.35,1,0.88732394366197,1,0.3921568627451,1,1
Pegusa,nasuta,42.25,33.75,1403:123:2,0.23,1,0.5774647887324,1,0.40441176470588,1,1
Pegusa,nasuta,42.25,34.25,1403:124:1,0.25,1,0.56338028169014,1,0.43872549019608,1,1
Pegusa,nasuta,42.25,34.75,1403:124:2,0.26,1,0.56338028169014,1,0.46078431372549,1,1
Pegusa,nasuta,41.25,39.25,1403:219:1,0.32,1,1,0.7,0.45588235294118,1,1
Pegusa,nasuta,41.25,39.75,1403:219:2,0.39,1,1,0.7,0.56127450980392,1,1
Pegusa,nasuta,42.25,35.25,1403:225:1,0.32,1,0.70422535211268,1,0.45098039215686,1,1
Pegusa,nasuta,43.25,39.75,1403:239:2,0.22,1,1,0.7,0.32107843137255,1,1
Pegusa,nasuta,44.75,38.25,1403:248:3,0.24,1,1,0.94,0.25,1,1
Pegusa,nasuta,41.25,40.25,1404:110:1,0.30,1,1,0.54,0.55637254901961,1,1
Pegusa,nasuta,36.25,-4.75,7300:364:2,0.20,1,1,1,0.19607843137255,1,1
Pegusa,nasuta,36.75,14.75,1301:364:4,0.59,1,0.74021352313167,1,0.8,1,1
Pegusa,nasuta,36.25,22.75,1302:362:2,0.44,1,0.91459074733096,0.47770700636942,1,1,1
Pegusa,nasuta,36.75,22.25,1302:362:3,0.41,1,0.91459074733096,0.45222929936306,1,1,1
Pegusa,nasuta,36.75,22.75,1302:362:4,0.44,1,0.91459074733096,0.47770700636942,1,1,1
Pegusa,nasuta,36.25,23.25,1302:363:1,0.47,1,0.98220640569395,0.47770700636942,1,1,1
Pegusa,nasuta,36.75,23.25,1302:363:3,0.47,1,0.98220640569395,0.47770700636942,1,1,1
Pegusa,nasuta,37.25,21.75,1302:371:2,0.41,1,0.90035587188612,0.45222929936306,1,1,1
Pegusa,nasuta,37.25,22.25,1302:372:1,0.44,1,0.98220640569395,0.45222929936306,1,1,1
Pegusa,nasuta,37.25,22.75,1302:372:2,0.47,1,0.98220640569395,0.47770700636942,1,1,1
Pegusa,nasuta,37.75,22.75,1302:372:4,0.47,1,0.98220640569395,0.47770700636942,1,1,1
Pegusa,nasuta,37.25,23.25,1302:373:1,0.48,1,1,0.47770700636942,1,1,1
Pegusa,nasuta,37.75,26.25,1302:476:3,0.53,1,1,0.52866242038216,1,1,1
Pegusa,nasuta,37.75,27.25,1302:477:3,0.53,1,1,0.52866242038216,1,1,1
Pegusa,nasuta,38.25,26.75,1302:486:2,0.53,1,1,0.52866242038216,1,1,1
Pegusa,nasuta,38.25,27.25,1302:487:1,0.53,1,1,0.52866242038216,1,1,1
Pegusa,nasuta,38.75,27.25,1302:487:3,0.40,1,1,0.52866242038216,0.75980392156863,1,1
Pegusa,nasuta,40.25,3.25,1400:103:1,0.55,0.55172413793103,1,1,1,1,1
Pegusa,nasuta,43.25,4.75,1400:134:2,0.58,1,1,1,0.57598039215686,1,1
Pegusa,nasuta,41.75,11.75,1401:111:4,0.41,0.41379310344828,1,1,1,1,1
Pegusa,nasuta,43.25,10.75,1401:130:2,0.48,1,1,1,0.47549019607843,1,1
Pegusa,nasuta,42.75,16.75,1401:226:4,0.40,1,1,1,0.4,1,1
