Mapping parameters for Marilyna pleurosticta ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  71 |  81 ,
Bounding Box (NSWE): ,-2,-36,129,155

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,6,26,50
Temperature (°C),1,19.5,24.05,28.71,32.91
Salinity (psu),1,34.27,34.385,35.385,35.885
Primary Production,1,50,200,974,2147
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,5,97,200
 

Map data (HSPEC) for predicted occurrences (n = 576): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Marilyna,pleurosticta,-10.25,133.75,3113:103:2,0.33,0.625,1,0.52173913043476,1,1,1
Marilyna,pleurosticta,-12.25,134.75,3113:124:2,0.37,0.6,1,0.60869565217394,1,1,1
Marilyna,pleurosticta,-10.25,139.25,3113:209:1,0.29,0.29166666666667,1,1,1,1,1
Marilyna,pleurosticta,-10.25,139.75,3113:209:2,0.38,0.375,1,1,1,1,1
Marilyna,pleurosticta,-10.75,139.25,3113:209:3,0.33,0.33333333333333,1,1,1,1,1
Marilyna,pleurosticta,-10.75,139.75,3113:209:4,0.25,0.25,1,1,1,1,1
Marilyna,pleurosticta,-11.25,139.25,3113:219:1,0.30,0.58333333333333,1,0.52173913043476,1,1,1
Marilyna,pleurosticta,-11.25,139.75,3113:219:2,0.26,0.5,1,0.52173913043476,1,1,1
Marilyna,pleurosticta,-11.75,139.25,3113:219:3,0.34,0.66666666666667,1,0.52173913043476,0.97016197783461,1,1
Marilyna,pleurosticta,-12.75,136.75,3113:226:4,0.35,1,1,0.34782608695653,1,1,1
Marilyna,pleurosticta,-12.25,137.25,3113:227:1,0.34,1,1,0.34782608695653,0.98891730605286,1,1
Marilyna,pleurosticta,-12.25,137.75,3113:227:2,0.35,1,1,0.34782608695653,1,1,1
Marilyna,pleurosticta,-12.75,137.25,3113:227:3,0.35,1,1,0.34782608695653,1,1,1
Marilyna,pleurosticta,-12.75,137.75,3113:227:4,0.35,1,1,0.34782608695653,1,1,1
Marilyna,pleurosticta,-12.25,138.25,3113:228:1,0.32,0.91666666666667,1,0.34782608695653,1,1,1
Marilyna,pleurosticta,-12.75,138.25,3113:228:3,0.29,0.83333333333333,1,0.34782608695653,1,1,1
Marilyna,pleurosticta,-14.25,136.25,3113:246:1,0.25,1,1,1,0.24666666666667,1,1
Marilyna,pleurosticta,-14.75,136.25,3113:246:3,0.23,1,1,1,0.23333333333333,1,1
Marilyna,pleurosticta,-14.75,137.75,3113:247:4,0.21,0.20833333333333,1,1,1,1,1
Marilyna,pleurosticta,-15.25,136.25,3113:456:1,0.24,1,1,1,0.24,1,1
Marilyna,pleurosticta,-19.25,148.25,3114:498:1,0.33,1,1,1,0.33333333333333,1,1
Marilyna,pleurosticta,-11.25,150.75,3115:110:2,0.25,0.25,1,1,1,1,1
Marilyna,pleurosticta,-17.25,150.25,3115:370:1,0.33,0.33333333333333,1,1,1,1,1
Marilyna,pleurosticta,-20.25,149.25,3214:209:1,0.21,1,1,1,0.20666666666667,1,1
Marilyna,pleurosticta,-22.75,149.75,3214:229:4,0.20,0.2,1,1,1,1,1
Marilyna,pleurosticta,-24.25,152.25,3215:142:1,0.35,1,1,0.91,0.38666666666667,1,1
Marilyna,pleurosticta,-25.75,152.75,3215:352:4,0.20,0.2,1,1,1,1,1
Marilyna,pleurosticta,-31.25,152.75,3315:112:2,0.24,1,0.59120879120879,0.41,1,1,1
Marilyna,pleurosticta,-31.75,152.75,3315:112:4,0.24,1,0.59120879120879,0.41,1,1,1
Marilyna,pleurosticta,-31.25,153.25,3315:113:1,0.27,1,0.66153846153846,0.41,1,1,1
