Mapping parameters for Isurus oxyrinchus (Shortfin mako)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  61 |  67 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,61,-56,-180,180

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,100,150,740
Temperature (°C),1,0.62,1.12,14.22,28.2
Salinity (psu),1,28.8864,34.426,35.426,39.1
Primary Production,1,119,274,662,2521
Sea Ice Concentration,1,-1,0,0,0.02
Distance to Land (km),0,1,24,454,1239
 

Map data (HSPEC) for predicted occurrences (n = 13903): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Isurus,oxyrinchus,9.25,79.75,1007:499:2,0.03,1,0.0500715307582,1,0.529316837009,1,1
Isurus,oxyrinchus,9.75,79.75,1007:499:4,0.02,1,0.0307582260372,1,0.58041958042,1,1
Isurus,oxyrinchus,6.25,80.25,1008:360:1,0.09,1,0.0908440629471,1,1,1,1
Isurus,oxyrinchus,6.25,81.25,1008:361:1,0.01,1,0.0100143061516,1,1,1,1
Isurus,oxyrinchus,7.25,81.75,1008:371:2,0.01,1,0.0071530758226,0.902826918911,0.98224852071,1,1
Isurus,oxyrinchus,9.25,80.25,1008:390:1,0.01,0.45,0.0307582260372,1,0.947283485745,1,1
Isurus,oxyrinchus,9.25,80.75,1008:390:2,0.02,1,0.0221745350501,0.963408910391,0.952124798279,1,1
Isurus,oxyrinchus,2.75,94.75,1009:124:4,0.15,0.147457627119,1,1,1,1,1
Isurus,oxyrinchus,4.75,93.25,1009:143:3,0.19,0.18813559322,1,1,1,1,1
Isurus,oxyrinchus,0.75,98.75,1009:208:4,0.01,1,0.0178826895565,0.98570293884,0.747713824637,1,1
Isurus,oxyrinchus,1.75,98.25,1009:218:3,0.16,1,0.180972818312,1,0.869284561592,1,1
Isurus,oxyrinchus,2.75,97.75,1009:227:4,0.09,1,0.105150214592,1,0.837547068316,1,1
Isurus,oxyrinchus,3.75,99.75,1009:239:4,0.02,0.76,0.0643776824034,0.791988591234,0.59709521248,1,1
Isurus,oxyrinchus,4.75,95.75,1009:245:4,0.09,1,0.0951359084406,1,0.984938138784,1,1
Isurus,oxyrinchus,4.75,98.75,1009:248:4,0.04,0.87,0.0593705293276,0.832442775652,0.860677783755,1,1
Isurus,oxyrinchus,4.25,99.25,1009:249:1,0.03,0.84,0.0643776824034,0.791988591234,0.795589026358,1,1
Isurus,oxyrinchus,4.25,99.75,1009:249:2,0.03,0.81,0.0643776824034,0.791988591234,0.660570199032,1,1
Isurus,oxyrinchus,4.75,99.25,1009:249:3,0.06,1,0.0872675250358,0.873330204347,0.82356105433,1,1
Isurus,oxyrinchus,4.75,99.75,1009:249:4,0.03,0.82,0.0643776824034,0.791988591234,0.726196880043,1,1
Isurus,oxyrinchus,7.75,92.75,1009:372:4,0.18,0.181355932203,1,1,1,1,1
Isurus,oxyrinchus,8.75,92.25,1009:382:3,0.01,0.00847457627119,1,1,1,1,1
