Mapping parameters for Benthodesmus simonyi (Simony's frostfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34,
Bounding Box (NSWE): ,72,16,-67,20

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,200,285,510,900
Temperature (°C),1,1.49,12.79,27.25,28.04
Salinity (psu),1,30.3,32.86,36.36,39.26
Primary Production,1,244,316,1036,1549
Sea Ice Concentration,1,0,0,0,0
Distance to Land (km),0,6,88,449,1025
 

Map data (HSPEC) for predicted occurrences (n = 808): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Benthodesmus,simonyi,62.75,-13.25,7601:123:3,0.09,0.469230769231,0.658407079646,1,1,0.305555555556,1
Benthodesmus,simonyi,62.25,-12.25,7601:122:1,0.02,0.0282051282051,0.6522123893809999,1,1,1,1
Benthodesmus,simonyi,62.25,-11.75,7601:121:2,0.15,0.238461538462,0.643362831858,1,1,1,1
Benthodesmus,simonyi,62.75,-10.75,7601:120:4,0.10,1,0.630088495575,1,1,0.152777777778,1
Benthodesmus,simonyi,62.75,-10.25,7601:120:3,0.15,1,0.630088495575,1,1,0.236111111111,1
Benthodesmus,simonyi,60.25,-11.25,7601:101:1,0.15,0.202564102564,0.7486725663719999,1,1,1,1
Benthodesmus,simonyi,62.75,-9.75,7600:229:4,0.19,1,0.6141592920350001,1,1,0.305555555556,1
Benthodesmus,simonyi,62.75,-9.25,7600:229:3,0.14,1,0.6141592920350001,1,1,0.2315,1
Benthodesmus,simonyi,62.25,-5.25,7600:225:1,0.08,1,0.575221238938,1,1,0.152777777778,0.8780487804879998
Benthodesmus,simonyi,61.25,-6.75,7600:216:2,0.06,1,0.6619469026550001,1,1,1,0.08536585365849998
