Mapping parameters for Psilodraco breviceps ()

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Segschneider, J. Rius-Barile, T. Rees, and R. Froese. 2019. AquaMaps: Predicted range maps for aquatic species. World Wide Web electronic publication, www.aquamaps.org, version 10/2019 (final)."

Map type: Computer-generated,
Map Option: In Bounding Box
FAOAreas: 48,
Bounding Box (NSWE): ,-53,-56,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,60,248,345,345
Temperature (°C),1,1.2,1.7,2.74,3.24
Salinity (psu),1,33.24,33.74,33.84,34.34
Primary Production (mgC·m-3·day-1) ,1,1.64,2.64,6.23,9.37
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,139.46,208.94,327.73,362.7
Distance to Land (km),0,8,12,526,532
 

Map data (HSPEC) for predicted occurrences (n = 2): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Psilodraco,breviceps,-53.25,73.75,3507:133:2,0.72
Psilodraco,breviceps,-53.25,74.25,3507:134:1,0.61


Occurrence cells used for creating environmental envelope (n = 18)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Psilodraco,breviceps,-55.25,-36.75,5503:456:2,2374,1.46330404281616,0.541217982769012,33.7773780822754,34.6980285644531,2.6310000102967,0.0000670000008540228,223.981552124023,96
Psilodraco,breviceps,-54.75,-37.25,5503:247:3,274,1.72202301025391,1.51151204109192,33.751537322998,34.2562484741211,3.64300003275275,0.0000509999990754295,254.094909667969,88
Psilodraco,breviceps,-54.75,-35.75,5503:245:4,106,1.70300304889679,1.235671043396,33.7567939758301,33.9649391174316,4.09700023010373,0.0000670000008540228,327.725128173828,15
Psilodraco,breviceps,-54.75,-36.75,5503:246:4,289,1.7518949508667,1.05022299289703,33.7429580688477,34.1199073791504,4.65800007805228,0.0000720000025467016,269.037963867188,64
Psilodraco,breviceps,-54.25,-37.75,5503:247:2,149,1.75428998470306,1.30857598781586,33.7374267578125,33.8932991027832,6.23399997130036,0.0000450000006821938,323.328979492188,15
Psilodraco,breviceps,-54.25,-38.25,5503:248:1,210,1.73149299621582,1.54469799995422,33.7390327453613,34.3396110534668,4.66400012373924,0.0000370000016118865,251.174987792969,65
Psilodraco,breviceps,-54.25,-36.25,5503:246:1,131,1.80281794071198,0.875362992286682,33.7658042907715,34.1337280273438,6.11199997365475,0.0000430000000051223,270.932006835938,12
Psilodraco,breviceps,-54.25,-45.25,5504:245:1,3574,2.71697807312012,0.447622001171112,33.838436126709,34.6856460571289,2.6879999786615403,0.00000600000021222513,223.174957275391,493
Psilodraco,breviceps,-54.25,-36.75,5503:246:2,62,1.81852400302887,1.61556899547577,33.7721061706543,33.8591537475586,7.0290002040565,0.0000599999984842725,345.63134765625,8
Psilodraco,breviceps,-54.25,-45.75,5504:245:2,3944,2.83329296112061,0.426939010620117,33.8461837768555,34.6877555847168,2.72300001233816,0.00000499999987368938,223.880813598633,526
Psilodraco,breviceps,-54.25,-37.25,5503:247:1,100,1.77155220508575,1.2835887670517,33.7600326538086,34.0082054138184,5.57373370975256,0.0000462279713246971,300.534484863281,12
Psilodraco,breviceps,-53.75,-36.75,5503:236:4,298,1.7817120552063,1.08319699764252,33.7778167724609,34.125114440918,4.70500020310283,0.0000340000005962793,263.308166503906,66
Psilodraco,breviceps,-53.75,-37.25,5503:237:3,218,1.79109597206116,0.701938986778259,33.7789497375488,34.0250473022461,5.38200000301003,0.0000290000007225899,278.98388671875,16
Psilodraco,breviceps,-53.75,-38.25,5503:238:3,465,1.74367797374725,1.64729201793671,33.7545433044434,34.4414710998535,5.04000019282103,0.0000270000000455184,239.259231567383,16
Psilodraco,breviceps,-53.75,-38.75,5503:238:4,800,1.7716189622879,1.33980298042297,33.7509155273438,34.7092552185059,4.40199999138713,0.0000240000008489005,208.278366088867,66
Psilodraco,breviceps,-53.25,-40.25,5504:130:1,3335,1.94814598560333,-0.0395589992403984,33.7675437927246,34.6668586730957,2.6390000712126502,0.0000129999998534913,222.254653930664,177
Psilodraco,breviceps,-53.25,-45.25,5504:235:1,2327,2.61401104927063,0.82449597120285,33.819149017334,34.7181015014648,2.71599995903671,0.00000300000010611257,212.955780029297,499
Psilodraco,breviceps,-53.25,-45.75,5504:235:2,1980,2.73946499824524,1.07187604904175,33.8372573852539,34.715145111084,2.74699996225536,0.00000300000010611257,208.93505859375,532
