Mapping parameters for Scomberomorus queenslandicus (Queensland school mackerel)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71 |  81,
Bounding Box (NSWE): ,-7,-35,110,157

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,10,30,100
Temperature (°C),1,17.99,24.65,28.43,32.63
Salinity (psu),1,33.23,34.2,35.36,36.19
Primary Production,1,43,265,1083,1682
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,2,16,170,296
 

Map data (HSPEC) for predicted occurrences (n = 1165): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Scomberomorus,queenslandicus,-7.25,112.75,3011:372:2,0.04,,,,,,
Scomberomorus,queenslandicus,-7.75,112.75,3011:372:4,0.04,,,,,,
Scomberomorus,queenslandicus,-7.25,113.25,3011:373:1,0.04,,,,,,
Scomberomorus,queenslandicus,-7.75,113.25,3011:373:3,0.04,,,,,,
Scomberomorus,queenslandicus,-7.25,132.75,3013:372:2,0.06,,,,,,
Scomberomorus,queenslandicus,-8.25,134.75,3013:384:2,0.05,,,,,,
Scomberomorus,queenslandicus,-8.75,134.75,3013:384:4,0.10,,,,,,
Scomberomorus,queenslandicus,-7.25,135.25,3013:475:1,0.08,,,,,,
Scomberomorus,queenslandicus,-7.25,135.75,3013:475:2,0.06,,,,,,
Scomberomorus,queenslandicus,-7.75,138.75,3013:478:4,0.01,,,,,,
Scomberomorus,queenslandicus,-7.25,139.25,3013:479:1,0.06,,,,,,
Scomberomorus,queenslandicus,-7.75,139.25,3013:479:3,0.05,,,,,,
Scomberomorus,queenslandicus,-8.25,135.75,3013:485:2,0.12,,,,,,
Scomberomorus,queenslandicus,-8.75,136.25,3013:486:3,0.15,,,,,,
Scomberomorus,queenslandicus,-7.25,143.75,3014:373:2,0.10,,,,,,
Scomberomorus,queenslandicus,-7.75,143.25,3014:373:3,0.10,,,,,,
Scomberomorus,queenslandicus,-8.25,142.25,3014:382:1,0.02,,,,,,
Scomberomorus,queenslandicus,-8.25,144.25,3014:384:1,0.11,,,,,,
Scomberomorus,queenslandicus,-18.25,118.75,3111:488:2,0.03,,,,,,
Scomberomorus,queenslandicus,-18.75,118.25,3111:488:3,0.16,,,,,,
Scomberomorus,queenslandicus,-11.75,124.25,3112:114:3,0.12,,,,,,
Scomberomorus,queenslandicus,-13.75,123.75,3112:133:4,0.10,,,,,,
Scomberomorus,queenslandicus,-11.75,127.75,3112:217:4,0.14,,,,,,
Scomberomorus,queenslandicus,-12.25,128.25,3112:228:1,0.10,,,,,,
Scomberomorus,queenslandicus,-14.25,127.25,3112:247:1,0.19,,,,,,
Scomberomorus,queenslandicus,-17.75,123.75,3112:373:4,0.10,,,,,,
Scomberomorus,queenslandicus,-18.25,120.25,3112:380:1,0.13,,,,,,
Scomberomorus,queenslandicus,-18.25,121.25,3112:381:1,0.19,,,,,,
Scomberomorus,queenslandicus,-15.25,128.25,3112:458:1,0.14,,,,,,
Scomberomorus,queenslandicus,-15.25,129.25,3112:459:1,0.13,,,,,,
Scomberomorus,queenslandicus,-15.25,129.75,3112:459:2,0.09,,,,,,
Scomberomorus,queenslandicus,-12.75,131.25,3113:121:3,0.09,,,,,,
Scomberomorus,queenslandicus,-14.75,136.25,3113:246:3,0.19,,,,,,
Scomberomorus,queenslandicus,-14.75,136.75,3113:246:4,0.06,,,,,,
Scomberomorus,queenslandicus,-15.25,136.25,3113:456:1,0.19,,,,,,
Scomberomorus,queenslandicus,-12.75,142.25,3114:122:3,0.10,,,,,,
Scomberomorus,queenslandicus,-17.25,140.25,3114:370:1,0.19,,,,,,
Scomberomorus,queenslandicus,-18.25,149.75,3114:489:2,0.13,,,,,,
Scomberomorus,queenslandicus,-19.25,146.25,3114:496:1,0.10,,,,,,
Scomberomorus,queenslandicus,-10.25,152.25,3115:102:1,0.04,,,,,,
Scomberomorus,queenslandicus,-20.25,114.75,3211:104:2,0.01,,,,,,
Scomberomorus,queenslandicus,-25.25,112.25,3211:352:1,0.07,,,,,,
Scomberomorus,queenslandicus,-20.25,149.25,3214:209:1,0.17,,,,,,
Scomberomorus,queenslandicus,-22.75,150.25,3215:120:3,0.10,,,,,,
Scomberomorus,queenslandicus,-22.25,153.25,3215:123:1,0.10,,,,,,
Scomberomorus,queenslandicus,-25.75,152.75,3215:352:4,0.19,,,,,,
Scomberomorus,queenslandicus,-33.25,114.75,3311:134:2,0.16,,,,,,
Scomberomorus,queenslandicus,-33.75,114.75,3311:134:4,0.16,,,,,,
Scomberomorus,queenslandicus,-34.25,114.75,3311:144:2,0.10,,,,,,
Scomberomorus,queenslandicus,-31.25,115.75,3311:215:2,0.14,,,,,,
Scomberomorus,queenslandicus,-33.25,115.25,3311:235:1,0.18,,,,,,
Scomberomorus,queenslandicus,-33.25,115.75,3311:235:2,0.18,,,,,,
Scomberomorus,queenslandicus,-33.75,115.25,3311:235:3,0.18,,,,,,
Scomberomorus,queenslandicus,-33.75,119.75,3311:239:4,0.04,,,,,,
Scomberomorus,queenslandicus,-34.25,115.25,3311:245:1,0.11,,,,,,
Scomberomorus,queenslandicus,-34.25,115.75,3311:245:2,0.11,,,,,,
Scomberomorus,queenslandicus,-34.75,115.25,3311:245:3,0.11,,,,,,
Scomberomorus,queenslandicus,-34.75,115.75,3311:245:4,0.12,,,,,,
Scomberomorus,queenslandicus,-34.75,116.25,3311:246:3,0.07,,,,,,
Scomberomorus,queenslandicus,-34.75,116.75,3311:246:4,0.03,,,,,,
Scomberomorus,queenslandicus,-34.75,117.25,3311:247:3,0.02,,,,,,
Scomberomorus,queenslandicus,-34.75,117.75,3311:247:4,0.01,,,,,,
Scomberomorus,queenslandicus,-34.25,118.75,3311:248:2,0.04,,,,,,
Scomberomorus,queenslandicus,-34.75,118.25,3311:248:3,0.04,,,,,,
Scomberomorus,queenslandicus,-34.75,118.75,3311:248:4,0.04,,,,,,
Scomberomorus,queenslandicus,-34.25,119.25,3311:249:1,0.02,,,,,,
Scomberomorus,queenslandicus,-34.25,119.75,3311:249:2,0.02,,,,,,
Scomberomorus,queenslandicus,-34.75,119.25,3311:249:3,0.03,,,,,,
Scomberomorus,queenslandicus,-34.75,119.75,3311:249:4,0.02,,,,,,
Scomberomorus,queenslandicus,-31.75,128.25,3312:218:3,0.01,,,,,,
Scomberomorus,queenslandicus,-31.75,128.75,3312:218:4,0.01,,,,,,
Scomberomorus,queenslandicus,-32.75,124.25,3312:124:3,0.02,,,,,,
Scomberomorus,queenslandicus,-32.75,124.75,3312:124:4,0.02,,,,,,
Scomberomorus,queenslandicus,-33.75,120.25,3312:130:3,0.03,,,,,,
Scomberomorus,queenslandicus,-33.75,120.75,3312:130:4,0.03,,,,,,
Scomberomorus,queenslandicus,-33.75,121.25,3312:131:3,0.01,,,,,,
Scomberomorus,queenslandicus,-33.75,121.75,3312:131:4,0.01,,,,,,
Scomberomorus,queenslandicus,-34.25,120.25,3312:140:1,0.01,,,,,,
Scomberomorus,queenslandicus,-34.25,120.75,3312:140:2,0.01,,,,,,
Scomberomorus,queenslandicus,-31.75,129.25,3312:219:3,0.02,,,,,,
Scomberomorus,queenslandicus,-31.75,129.75,3312:219:4,0.02,,,,,,
Scomberomorus,queenslandicus,-32.25,125.75,3312:225:2,0.02,,,,,,
Scomberomorus,queenslandicus,-32.75,125.25,3312:225:3,0.02,,,,,,
Scomberomorus,queenslandicus,-32.75,125.75,3312:225:4,0.02,,,,,,
Scomberomorus,queenslandicus,-32.25,126.25,3312:226:1,0.02,,,,,,
Scomberomorus,queenslandicus,-32.25,126.75,3312:226:2,0.02,,,,,,
Scomberomorus,queenslandicus,-32.75,126.25,3312:226:3,0.02,,,,,,
Scomberomorus,queenslandicus,-32.75,126.75,3312:226:4,0.02,,,,,,
Scomberomorus,queenslandicus,-32.25,127.25,3312:227:1,0.01,,,,,,
Scomberomorus,queenslandicus,-32.25,127.75,3312:227:2,0.01,,,,,,
Scomberomorus,queenslandicus,-32.75,127.25,3312:227:3,0.01,,,,,,
Scomberomorus,queenslandicus,-32.75,127.75,3312:227:4,0.01,,,,,,
Scomberomorus,queenslandicus,-32.25,129.25,3312:229:1,0.01,,,,,,
Scomberomorus,queenslandicus,-32.25,129.75,3312:229:2,0.01,,,,,,
Scomberomorus,queenslandicus,-32.75,129.25,3312:229:3,0.01,,,,,,
Scomberomorus,queenslandicus,-32.75,129.75,3312:229:4,0.01,,,,,,
Scomberomorus,queenslandicus,-31.75,130.25,3313:110:3,0.02,,,,,,
Scomberomorus,queenslandicus,-31.75,130.75,3313:110:4,0.02,,,,,,
Scomberomorus,queenslandicus,-31.25,131.25,3313:111:1,0.02,,,,,,
Scomberomorus,queenslandicus,-31.75,131.25,3313:111:3,0.02,,,,,,
Scomberomorus,queenslandicus,-31.75,131.75,3313:111:4,0.02,,,,,,
Scomberomorus,queenslandicus,-31.75,132.25,3313:112:3,0.01,,,,,,
Scomberomorus,queenslandicus,-31.75,132.75,3313:112:4,0.01,,,,,,
Scomberomorus,queenslandicus,-32.25,130.25,3313:120:1,0.01,,,,,,
Scomberomorus,queenslandicus,-32.25,130.75,3313:120:2,0.01,,,,,,
Scomberomorus,queenslandicus,-32.75,130.25,3313:120:3,0.01,,,,,,
Scomberomorus,queenslandicus,-32.75,130.75,3313:120:4,0.01,,,,,,
Scomberomorus,queenslandicus,-32.25,131.25,3313:121:1,0.01,,,,,,
Scomberomorus,queenslandicus,-32.25,131.75,3313:121:2,0.01,,,,,,
Scomberomorus,queenslandicus,-32.75,131.25,3313:121:3,0.01,,,,,,
Scomberomorus,queenslandicus,-32.75,131.75,3313:121:4,0.01,,,,,,
Scomberomorus,queenslandicus,-32.75,137.75,3313:227:4,0.04,,,,,,
Scomberomorus,queenslandicus,-33.25,152.25,3315:132:1,0.15,,,,,,
Scomberomorus,queenslandicus,-33.25,156.25,3315:236:1,0.19,,,,,,
Scomberomorus,queenslandicus,-7.75,114.75,3011:374:4,0.29,,,,,,
Scomberomorus,queenslandicus,-8.75,113.25,3011:383:3,0.36,,,,,,
Scomberomorus,queenslandicus,-8.25,114.75,3011:384:2,0.30,,,,,,
Scomberomorus,queenslandicus,-7.25,115.25,3011:475:1,0.29,,,,,,
Scomberomorus,queenslandicus,-7.25,115.75,3011:475:2,0.29,,,,,,
Scomberomorus,queenslandicus,-7.25,116.25,3011:476:1,0.31,,,,,,
Scomberomorus,queenslandicus,-7.25,117.25,3011:477:1,0.37,,,,,,
Scomberomorus,queenslandicus,-7.25,117.75,3011:477:2,0.37,,,,,,
Scomberomorus,queenslandicus,-7.75,117.25,3011:477:3,0.37,,,,,,
Scomberomorus,queenslandicus,-7.75,117.75,3011:477:4,0.26,,,,,,
Scomberomorus,queenslandicus,-7.75,118.25,3011:478:3,0.36,,,,,,
Scomberomorus,queenslandicus,-8.25,115.25,3011:485:1,0.30,,,,,,
Scomberomorus,queenslandicus,-8.25,115.75,3011:485:2,0.30,,,,,,
Scomberomorus,queenslandicus,-8.25,116.25,3011:486:1,0.32,,,,,,
Scomberomorus,queenslandicus,-8.25,116.75,3011:486:2,0.32,,,,,,
Scomberomorus,queenslandicus,-8.25,117.25,3011:487:1,0.37,,,,,,
Scomberomorus,queenslandicus,-8.25,117.75,3011:487:2,0.37,,,,,,
