Mapping parameters for Acanthurus tristis (Indian Ocean mimic surgeonfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 ,
Bounding Box (NSWE): ,24,-9,71,116

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,4,15,26
Temperature (°C),1,11.24,17.02,28.9,29.44
Salinity (psu),1,31.5,33.25,36.01,38.63
Primary Production,1,180,217,907,1681
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,11,111,514
 

Map data (HSPEC) for predicted occurrences (n = 364): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Acanthurus,tristis,9.25,76.25,1007:496:1,0.01,1,1,1,0.010335917312661,1,1
Acanthurus,tristis,9.25,79.25,1007:499:1,0.10,1,1,1,0.095607235142119,1,1
Acanthurus,tristis,9.25,79.75,1007:499:2,0.19,1,1,1,0.18604651162791,1,1
Acanthurus,tristis,0.25,98.75,1009:208:2,0.17,1,0.22222222222222,1,0.77260981912145,1,1
Acanthurus,tristis,0.75,98.75,1009:208:4,0.16,1,0.22222222222222,1,0.71059431524548,1,1
Acanthurus,tristis,0.25,99.25,1009:209:1,0.03,1,0.24074074074074,1,0.12919896640827,1,1
Acanthurus,tristis,0.25,99.75,1009:209:2,0.04,1,0.24074074074074,1,0.18475452196382,1,1
Acanthurus,tristis,0.75,99.25,1009:209:3,0.04,1,0.24074074074074,1,0.15762273901809,1,1
Acanthurus,tristis,1.25,97.25,1009:217:1,0.15,1,0.14814814814815,1,1,1,1
Acanthurus,tristis,1.25,97.75,1009:217:2,0.15,1,0.14814814814815,1,1,1,1
Acanthurus,tristis,1.75,97.25,1009:217:3,0.15,1,0.14814814814815,1,1,1,1
Acanthurus,tristis,1.75,97.75,1009:217:4,0.15,1,0.14814814814815,1,1,1,1
Acanthurus,tristis,1.25,98.25,1009:218:1,0.17,1,0.16666666666667,1,1,1,1
Acanthurus,tristis,1.25,98.75,1009:218:2,0.06,1,0.16666666666667,1,0.36046511627907,1,1
Acanthurus,tristis,1.75,98.25,1009:218:3,0.17,1,0.16666666666667,1,1,1,1
Acanthurus,tristis,1.75,98.75,1009:218:4,0.09,1,0.16666666666667,1,0.53875968992248,1,1
Acanthurus,tristis,2.25,96.25,1009:226:1,0.17,1,0.16666666666667,1,1,1,1
Acanthurus,tristis,2.25,96.75,1009:226:2,0.17,1,0.16666666666667,1,1,1,1
Acanthurus,tristis,2.75,96.25,1009:226:3,0.17,1,0.16666666666667,1,1,1,1
Acanthurus,tristis,2.25,97.25,1009:227:1,0.13,1,0.12962962962963,1,1,1,1
Acanthurus,tristis,2.25,97.75,1009:227:2,0.08,1,0.12962962962963,1,0.59302325581395,1,1
Acanthurus,tristis,2.75,97.25,1009:227:3,0.13,1,0.12962962962963,1,1,1,1
Acanthurus,tristis,2.75,97.75,1009:227:4,0.12,1,0.12962962962963,1,0.92635658914729,1,1
Acanthurus,tristis,2.25,98.25,1009:228:1,0.10,1,0.14814814814815,1,0.68087855297158,1,1
Acanthurus,tristis,3.25,97.25,1009:237:1,0.19,1,0.18518518518519,1,1,1,1
Acanthurus,tristis,3.75,97.25,1009:237:3,0.19,1,0.18518518518519,1,1,1,1
Acanthurus,tristis,4.75,97.75,1009:247:4,0.04,1,0.27777777777778,0.25142857142857,0.57235142118863,1,1
