Mapping parameters for Lethrinus erythropterus (Longfin emperor)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 ,
Bounding Box (NSWE): ,25,-25,32,-173

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,4,14,25
Temperature (°C),1,24.17,27.75,29.24,33.44
Salinity (psu),1,31.94,33.09,34.75,35.975
Primary Production,1,250,267,966,1687
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,8,17,166,514
 

Map data (HSPEC) for predicted occurrences (n = 2901): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Lethrinus,erythropterus,4.25,113.75,1011:143:2,0.15,1,1,0.75652173913043,0.20249653259362,1,1
Lethrinus,erythropterus,8.75,125.25,1012:485:3,0.06,1,1,1,0.058823529411765,1,1
Lethrinus,erythropterus,10.25,51.25,1105:101:1,0.10,1,0.74022346368715,0.6734693877551,0.20943134535368,1,1
Lethrinus,erythropterus,11.75,52.75,1105:112:4,0.14,1,0.76536312849162,0.18367346938776,1,1,1
Lethrinus,erythropterus,11.75,53.25,1105:113:3,0.15,1,0.72905027932961,0.20816326530612,1,1,1
Lethrinus,erythropterus,12.25,52.25,1105:122:1,0.08,1,0.78491620111732,0.11836734693878,0.86823855755895,1,1
Lethrinus,erythropterus,12.25,52.75,1105:122:2,0.09,1,0.78491620111732,0.11836734693878,0.98058252427184,1,1
Lethrinus,erythropterus,12.25,53.25,1105:123:1,0.08,1,0.73463687150838,0.11836734693878,0.94590846047157,1,1
Lethrinus,erythropterus,12.25,53.75,1105:123:2,0.15,1,0.73463687150838,0.20816326530612,1,1,1
Lethrinus,erythropterus,12.75,53.25,1105:123:3,0.07,1,0.73463687150838,0.09387755102041,0.96532593619972,1,1
Lethrinus,erythropterus,12.75,53.75,1105:123:4,0.06,1,0.73463687150838,0.09387755102041,0.89459084604716,1,1
Lethrinus,erythropterus,12.25,54.25,1105:124:1,0.15,1,0.71508379888268,0.20816326530612,1,1,1
Lethrinus,erythropterus,12.75,54.25,1105:124:3,0.08,1,0.71508379888268,0.11020408163265,0.95839112343967,1,1
Lethrinus,erythropterus,12.75,54.75,1105:124:4,0.08,1,0.71508379888268,0.11020408163265,1,1,1
Lethrinus,erythropterus,13.75,74.75,1107:134:4,0.11,1,1,1,0.10957004160888,1,1
Lethrinus,erythropterus,10.75,75.75,1107:205:4,0.03,1,1,1,0.026352288488211,1,1
Lethrinus,erythropterus,10.25,79.75,1107:209:2,0.02,1,1,1,0.023578363384189,1,1
Lethrinus,erythropterus,12.25,75.25,1107:225:1,0.08,1,1,1,0.079056865464632,1,1
Lethrinus,erythropterus,15.25,73.25,1107:353:1,0.05,0.45454545454545,1,0.37142857142857,0.32316227461859,1,1
Lethrinus,erythropterus,16.25,72.75,1107:362:2,0.18,1,1,0.41224489795919,0.44660194174757,1,1
Lethrinus,erythropterus,16.75,72.75,1107:362:4,0.09,1,1,0.41224489795919,0.21914008321775,1,1
Lethrinus,erythropterus,17.75,70.75,1107:370:4,0.09,1,1,0.09387755102041,1,1,1
Lethrinus,erythropterus,17.75,71.75,1107:371:4,0.05,0.18181818181818,1,0.25714285714286,1,1,1
Lethrinus,erythropterus,17.75,72.25,1107:372:3,0.14,0.90909090909091,1,0.32244897959184,0.49098474341193,1,1
Lethrinus,erythropterus,18.25,70.75,1107:380:2,0.17,1,1,0.16734693877551,1,1,1
Lethrinus,erythropterus,18.75,70.75,1107:380:4,0.17,1,1,0.16734693877551,1,1,1
Lethrinus,erythropterus,18.25,72.75,1107:382:2,0.04,1,1,0.46122448979592,0.087378640776699,1,1
Lethrinus,erythropterus,19.75,71.25,1107:391:3,0.09,0.27272727272727,0.97206703910614,0.5265306122449,0.61165048543689,1,1
Lethrinus,erythropterus,12.25,93.25,1109:123:1,0.05,1,1,0.052173913043477,1,1,1
Lethrinus,erythropterus,12.25,93.75,1109:123:2,0.05,1,1,0.052173913043477,1,1,1
Lethrinus,erythropterus,12.75,93.25,1109:123:3,0.05,1,1,0.052173913043477,1,1,1
Lethrinus,erythropterus,11.25,97.25,1109:217:1,0.15,1,1,0.14782608695652,1,1,1
Lethrinus,erythropterus,11.25,97.75,1109:217:2,0.09,1,1,0.14782608695652,0.61581137309293,1,1
Lethrinus,erythropterus,11.75,97.25,1109:217:3,0.15,1,1,0.14782608695652,1,1,1
Lethrinus,erythropterus,11.75,97.75,1109:217:4,0.10,1,1,0.14782608695652,0.65880721220527,1,1
Lethrinus,erythropterus,11.25,98.25,1109:218:1,0.14,1,1,0.14782608695652,0.9375866851595,1,1
Lethrinus,erythropterus,11.25,98.75,1109:218:2,0.15,1,1,0.14782608695652,1,1,1
Lethrinus,erythropterus,11.75,98.25,1109:218:3,0.14,1,1,0.14782608695652,0.92787794729542,1,1
Lethrinus,erythropterus,11.75,98.75,1109:218:4,0.11,1,1,0.14782608695652,0.71567267683773,1,1
Lethrinus,erythropterus,17.75,106.25,1110:476:3,0.10,1,0.6927374301676,0.44347826086957,0.33425797503467,1,1
Lethrinus,erythropterus,17.25,109.25,1110:479:1,0.14,0.18181818181818,0.76256983240223,1,1,1,1
Lethrinus,erythropterus,19.25,105.75,1110:495:2,0.03,1,0.59776536312849,0.069565217391306,0.71705963938974,1,1
