Mapping parameters for Engraulis ringens (Anchoveta)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  87 ,
Bounding Box (NSWE): ,-5,-43,-82,-69

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,11,42,80
Temperature (°C),1,13,19.22,21.08,23
Salinity (psu),1,33.965,34.465,35.17,35.67
Primary Production,1,214,695,2300,3384.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),1,0,1,80,160
 

Map data (HSPEC) for predicted occurrences (n = 260): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Engraulis,ringens,-26.25,-80.75,5208:360:2,0.01,1,0.959807073955,1,0.0997920997921,1,0.125
Engraulis,ringens,-26.75,-80.25,5208:360:3,0.06,1,0.959807073955,1,0.128898128898,1,0.45
Engraulis,ringens,-30.25,-72.75,5307:102:2,0.12,1,0.506430868167,0.65,1,1,0.375
Engraulis,ringens,-30.75,-72.75,5307:102:4,0.17,1,0.506430868167,0.65,1,1,0.5125
Engraulis,ringens,-31.25,-72.75,5307:112:2,0.18,1,0.471061093248,0.75,1,1,0.5125
Engraulis,ringens,-31.75,-72.75,5307:112:4,0.14,1,0.471061093248,0.75,1,1,0.3875
Engraulis,ringens,-32.25,-71.25,5307:121:1,0.19,1,0.411575562701,0.47,1,1,1
Engraulis,ringens,-32.25,-71.75,5307:121:2,0.19,1,0.411575562701,0.47,1,1,1
Engraulis,ringens,-32.75,-71.25,5307:121:3,0.19,1,0.411575562701,0.47,1,1,1
Engraulis,ringens,-32.75,-71.75,5307:121:4,0.19,1,0.411575562701,0.47,1,1,1
Engraulis,ringens,-32.25,-72.25,5307:122:1,0.17,1,0.430868167203,0.47,1,1,0.825
Engraulis,ringens,-32.25,-72.75,5307:122:2,0.05,1,0.430868167203,0.47,1,1,0.2375
Engraulis,ringens,-32.75,-72.25,5307:122:3,0.19,1,0.430868167203,0.47,1,1,0.9375
Engraulis,ringens,-32.75,-72.75,5307:122:4,0.08,1,0.430868167203,0.47,1,1,0.4125
Engraulis,ringens,-33.25,-71.75,5307:131:2,0.14,1,0.377813504823,0.37,1,1,1
Engraulis,ringens,-33.75,-71.75,5307:131:4,0.14,1,0.377813504823,0.37,1,1,1
Engraulis,ringens,-33.25,-72.25,5307:132:1,0.14,1,0.381028938907,0.37,1,1,1
Engraulis,ringens,-33.25,-72.75,5307:132:2,0.08,1,0.381028938907,0.37,1,1,0.55
Engraulis,ringens,-33.75,-72.25,5307:132:3,0.14,1,0.381028938907,0.37,1,1,1
Engraulis,ringens,-33.75,-72.75,5307:132:4,0.08,1,0.381028938907,0.37,1,1,0.55
Engraulis,ringens,-33.75,-73.25,5307:133:3,0.01,1,0.413183279743,0.33,1,1,0.075
Engraulis,ringens,-34.25,-71.75,5307:141:2,0.14,1,0.347266881029,0.39,1,1,1
Engraulis,ringens,-34.25,-72.25,5307:142:1,0.13,1,0.326366559486,0.39,1,1,1
Engraulis,ringens,-34.25,-72.75,5307:142:2,0.12,1,0.326366559486,0.39,1,1,0.95
Engraulis,ringens,-34.75,-72.25,5307:142:3,0.13,1,0.326366559486,0.39,1,1,1
Engraulis,ringens,-34.75,-72.75,5307:142:4,0.13,1,0.326366559486,0.39,1,1,1
Engraulis,ringens,-34.25,-73.25,5307:143:1,0.04,1,0.348874598071,0.23,1,1,0.4375
Engraulis,ringens,-34.75,-73.25,5307:143:3,0.05,1,0.348874598071,0.23,1,1,0.575
Engraulis,ringens,-34.75,-73.75,5307:143:4,0.01,1,0.348874598071,0.23,1,1,0.0875
