Mapping parameters for Nemipterus celebicus (Celebes threadfin bream)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71,
Bounding Box (NSWE): ,-2,-21,114,144

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,30,37,65,100
Temperature (°C),1,25.04,26.66,28.75,32.95
Salinity (psu),1,33.65,34.15,35.15,35.73
Primary Production,1,192.5,523,995,1332.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,18,79,230,344.5
 

Map data (HSPEC) for predicted occurrences (n = 742): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Nemipterus,celebicus,-7.25,120.25,3012:370:1,0.06,,,,,,
Nemipterus,celebicus,-7.25,120.75,3012:370:2,0.06,,,,,,
Nemipterus,celebicus,-7.25,121.25,3012:371:1,0.10,,,,,,
Nemipterus,celebicus,-7.25,121.75,3012:371:2,0.10,,,,,,
Nemipterus,celebicus,-7.25,122.25,3012:372:1,0.15,,,,,,
Nemipterus,celebicus,-8.25,120.25,3012:380:1,0.06,,,,,,
Nemipterus,celebicus,-8.25,120.75,3012:380:2,0.06,,,,,,
Nemipterus,celebicus,-8.25,121.25,3012:381:1,0.10,,,,,,
Nemipterus,celebicus,-8.25,121.75,3012:381:2,0.10,,,,,,
Nemipterus,celebicus,-8.25,122.25,3012:382:1,0.18,,,,,,
Nemipterus,celebicus,-8.25,122.75,3012:382:2,0.18,,,,,,
Nemipterus,celebicus,-3.25,134.75,3013:134:2,0.18,,,,,,
Nemipterus,celebicus,-2.25,136.25,3013:226:1,0.04,,,,,,
Nemipterus,celebicus,-2.75,136.25,3013:226:3,0.17,,,,,,
Nemipterus,celebicus,-4.25,135.25,3013:245:1,0.09,,,,,,
Nemipterus,celebicus,-6.75,131.25,3013:361:3,0.10,,,,,,
Nemipterus,celebicus,-7.25,132.75,3013:372:2,0.11,,,,,,
Nemipterus,celebicus,-7.75,134.75,3013:374:4,0.05,,,,,,
Nemipterus,celebicus,-8.25,134.75,3013:384:2,0.06,,,,,,
Nemipterus,celebicus,-8.75,134.75,3013:384:4,0.13,,,,,,
Nemipterus,celebicus,-8.25,135.25,3013:485:1,0.07,,,,,,
Nemipterus,celebicus,-8.75,135.75,3013:485:4,0.02,,,,,,
Nemipterus,celebicus,-8.75,138.75,3013:488:4,0.02,,,,,,
Nemipterus,celebicus,-8.75,139.25,3013:489:3,0.17,,,,,,
Nemipterus,celebicus,-8.75,139.75,3013:489:4,0.04,,,,,,
Nemipterus,celebicus,-9.25,136.25,3013:496:1,0.14,,,,,,
Nemipterus,celebicus,-8.25,140.25,3014:380:1,0.03,,,,,,
Nemipterus,celebicus,-9.25,141.25,3014:391:1,0.14,,,,,,
Nemipterus,celebicus,-9.75,143.25,3014:393:3,0.03,,,,,,
Nemipterus,celebicus,-18.25,118.75,3111:488:2,0.05,,,,,,
Nemipterus,celebicus,-19.75,119.25,3111:499:3,0.08,,,,,,
Nemipterus,celebicus,-11.75,129.75,3112:219:4,0.07,,,,,,
Nemipterus,celebicus,-13.25,126.25,3112:236:1,0.13,,,,,,
Nemipterus,celebicus,-13.75,126.75,3112:236:4,0.18,,,,,,
Nemipterus,celebicus,-14.75,129.25,3112:249:3,0.08,,,,,,
Nemipterus,celebicus,-12.75,130.25,3113:120:3,0.09,,,,,,
Nemipterus,celebicus,-13.25,136.75,3113:236:2,0.08,,,,,,
Nemipterus,celebicus,-13.75,136.25,3113:236:3,0.19,,,,,,
Nemipterus,celebicus,-15.25,137.25,3113:457:1,0.12,,,,,,
Nemipterus,celebicus,-11.75,143.75,3114:113:4,0.07,,,,,,
Nemipterus,celebicus,-20.25,114.75,3211:104:2,0.02,,,,,,
Nemipterus,celebicus,-8.75,118.75,3011:488:4,0.36,,,,,,
Nemipterus,celebicus,-8.25,119.25,3011:489:1,0.36,,,,,,
Nemipterus,celebicus,-8.25,119.75,3011:489:2,0.36,,,,,,
Nemipterus,celebicus,-8.75,119.25,3011:489:3,0.36,,,,,,
Nemipterus,celebicus,-8.75,119.75,3011:489:4,0.36,,,,,,
Nemipterus,celebicus,-4.75,129.75,3012:249:4,0.39,,,,,,
Nemipterus,celebicus,-5.25,124.25,3012:354:1,0.31,,,,,,
Nemipterus,celebicus,-5.25,124.75,3012:354:2,0.23,,,,,,
Nemipterus,celebicus,-5.75,124.25,3012:354:3,0.33,,,,,,
Nemipterus,celebicus,-5.75,124.75,3012:354:4,0.24,,,,,,
Nemipterus,celebicus,-6.25,124.25,3012:364:1,0.25,,,,,,
Nemipterus,celebicus,-8.75,120.25,3012:380:3,0.36,,,,,,
Nemipterus,celebicus,-8.25,123.25,3012:383:1,0.36,,,,,,
Nemipterus,celebicus,-8.25,123.75,3012:383:2,0.36,,,,,,
Nemipterus,celebicus,-2.25,136.75,3013:226:2,0.30,,,,,,
Nemipterus,celebicus,-3.25,135.25,3013:235:1,0.26,,,,,,
Nemipterus,celebicus,-3.25,135.75,3013:235:2,0.30,,,,,,
Nemipterus,celebicus,-7.25,134.25,3013:374:1,0.26,,,,,,
Nemipterus,celebicus,-8.75,135.25,3013:485:3,0.24,,,,,,
Nemipterus,celebicus,-9.75,136.25,3013:496:3,0.27,,,,,,
Nemipterus,celebicus,-9.25,137.75,3013:497:2,0.32,,,,,,
Nemipterus,celebicus,-9.75,137.75,3013:497:4,0.32,,,,,,
Nemipterus,celebicus,-8.75,143.75,3014:383:4,0.29,,,,,,
Nemipterus,celebicus,-18.75,118.25,3111:488:3,0.29,,,,,,
Nemipterus,celebicus,-19.75,118.75,3111:498:4,0.38,,,,,,
Nemipterus,celebicus,-19.75,119.75,3111:499:4,0.34,,,,,,
Nemipterus,celebicus,-11.75,124.25,3112:114:3,0.26,,,,,,
Nemipterus,celebicus,-13.75,123.75,3112:133:4,0.20,,,,,,
Nemipterus,celebicus,-14.75,121.75,3112:141:4,0.38,,,,,,
Nemipterus,celebicus,-11.75,127.75,3112:217:4,0.31,,,,,,
Nemipterus,celebicus,-11.25,129.25,3112:219:1,0.36,,,,,,
Nemipterus,celebicus,-12.25,128.25,3112:228:1,0.22,,,,,,
Nemipterus,celebicus,-13.75,126.25,3112:236:3,0.37,,,,,,
Nemipterus,celebicus,-15.75,124.25,3112:354:3,0.29,,,,,,
Nemipterus,celebicus,-16.75,121.75,3112:361:4,0.32,,,,,,
Nemipterus,celebicus,-18.25,120.25,3112:380:1,0.26,,,,,,
Nemipterus,celebicus,-18.25,121.25,3112:381:1,0.37,,,,,,
Nemipterus,celebicus,-19.75,120.25,3112:390:3,0.32,,,,,,
Nemipterus,celebicus,-11.75,130.25,3113:110:3,0.34,,,,,,
Nemipterus,celebicus,-11.75,136.25,3113:216:3,0.29,,,,,,
Nemipterus,celebicus,-12.25,136.75,3113:226:2,0.29,,,,,,
Nemipterus,celebicus,-13.75,136.75,3113:236:4,0.34,,,,,,
Nemipterus,celebicus,-14.75,135.75,3113:245:4,0.25,,,,,,
Nemipterus,celebicus,-14.75,137.25,3113:247:3,0.30,,,,,,
Nemipterus,celebicus,-16.25,137.75,3113:467:2,0.29,,,,,,
Nemipterus,celebicus,-16.25,138.75,3113:468:2,0.33,,,,,,
Nemipterus,celebicus,-16.25,139.25,3113:469:1,0.31,,,,,,
Nemipterus,celebicus,-10.25,141.25,3114:101:1,0.27,,,,,,
Nemipterus,celebicus,-10.75,142.75,3114:102:4,0.34,,,,,,
Nemipterus,celebicus,-11.25,143.25,3114:113:1,0.22,,,,,,
Nemipterus,celebicus,-11.25,143.75,3114:113:2,0.22,,,,,,
Nemipterus,celebicus,-12.75,143.25,3114:123:3,0.29,,,,,,
Nemipterus,celebicus,-15.25,141.75,3114:351:2,0.29,,,,,,
Nemipterus,celebicus,-16.75,141.25,3114:361:3,0.35,,,,,,
Nemipterus,celebicus,-20.75,117.75,3211:207:4,0.29,,,,,,
Nemipterus,celebicus,-20.25,118.25,3211:208:1,0.29,,,,,,
Nemipterus,celebicus,-8.25,124.25,3012:384:1,0.56,,,,,,
