Mapping parameters for Aldrichetta forsteri (Yellow-eye mullet)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  57 |  81 ,
Bounding Box (NSWE): ,-25,-47,112,-173

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,10,50
Temperature (°C),1,9.14,13.49,18.45,26.66
Salinity (psu),1,34.29,34.825,35.825,36.325
Primary Production,1,136,356,852,1092
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,4,91,1418
 

Map data (HSPEC) for predicted occurrences (n = 538): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Aldrichetta,forsteri,-28.25,114.25,3211:384:1,0.19,1,0.5468940316687,1,0.35454545454545,1,1
Aldrichetta,forsteri,-28.75,114.25,3211:384:3,0.03,1,0.5468940316687,1,0.059090909090909,1,1
Aldrichetta,forsteri,-29.75,114.25,3211:394:3,0.09,0.15,0.58465286236297,1,1,1,1
Aldrichetta,forsteri,-25.25,159.75,3215:459:2,0.12,0.675,0.41047503045067,1,0.43181818181818,1,1
Aldrichetta,forsteri,-25.25,161.75,3216:351:2,0.17,0.975,0.41169305724726,0.95,0.45454545454545,1,1
Aldrichetta,forsteri,-25.75,161.25,3216:351:3,0.18,1,0.41169305724726,0.95,0.46363636363636,1,1
Aldrichetta,forsteri,-25.75,161.75,3216:351:4,0.19,1,0.41169305724726,0.95,0.48181818181818,1,1
Aldrichetta,forsteri,-25.25,162.75,3216:352:2,0.19,1,0.41778319123021,0.95,0.49090909090909,1,1
Aldrichetta,forsteri,-25.75,162.25,3216:352:3,0.19,1,0.41778319123021,0.95,0.48181818181818,1,1
Aldrichetta,forsteri,-25.75,162.75,3216:352:4,0.18,1,0.41778319123021,0.95,0.46363636363636,1,1
Aldrichetta,forsteri,-33.75,124.25,3312:134:3,0.17,1,1,0.89,0.19545454545455,1,1
Aldrichetta,forsteri,-32.75,129.75,3312:229:4,0.05,0.075,1,0.61,1,1,1
Aldrichetta,forsteri,-32.75,131.75,3313:121:4,0.13,0.2,1,0.67,1,1,1
Aldrichetta,forsteri,-33.25,132.25,3313:132:1,0.12,0.125,1,0.97,1,1,1
Aldrichetta,forsteri,-33.25,132.75,3313:132:2,0.05,0.05,1,0.97,1,1,1
Aldrichetta,forsteri,-34.25,132.75,3313:142:2,0.10,0.1,1,1,1,1,1
Aldrichetta,forsteri,-34.25,137.25,3313:247:1,0.02,1,1,1,0.022727272727273,1,1
Aldrichetta,forsteri,-35.25,135.75,3313:455:2,0.15,0.15,1,1,1,1,1
Aldrichetta,forsteri,-35.75,136.25,3313:456:3,0.01,0.075,1,1,0.068181818181818,1,1
Aldrichetta,forsteri,-36.75,138.25,3313:468:3,0.06,1,1,1,0.063636363636364,1,1
Aldrichetta,forsteri,-36.75,138.75,3313:468:4,0.18,1,1,1,0.17727272727273,1,1
Aldrichetta,forsteri,-38.75,141.25,3314:381:3,0.10,0.1,1,1,1,1,1
Aldrichetta,forsteri,-39.25,143.25,3314:393:1,0.06,0.375,1,1,0.16363636363636,1,1
Aldrichetta,forsteri,-39.75,146.75,3314:496:4,0.10,0.1,1,1,1,1,1
Aldrichetta,forsteri,-33.75,151.75,3315:131:4,0.03,0.05,0.67113276492083,1,1,1,1
Aldrichetta,forsteri,-34.75,151.25,3315:141:3,0.13,0.175,0.72350791717418,1,1,1,1
Aldrichetta,forsteri,-35.75,150.75,3315:350:4,0.09,0.1,0.86479902557856,1,1,1,1
Aldrichetta,forsteri,-35.25,172.75,3317:352:2,0.05,0.05,1,1,1,1,1
Aldrichetta,forsteri,-37.75,174.25,3317:374:3,0.02,0.025,1,1,0.99545454545455,1,1
Aldrichetta,forsteri,-39.25,173.75,3317:393:2,0.11,1,1,1,0.10909090909091,1,1
Aldrichetta,forsteri,-39.75,173.75,3317:393:4,0.12,0.825,1,1,0.15,1,1
Aldrichetta,forsteri,-37.25,176.25,3317:476:1,0.06,1,1,1,0.058333333333333,1,1
