Mapping parameters for Dentex maroccanus (Morocco dentex)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,57,-5,-18,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,76,237,500
Temperature (°C),1,1.97,18.36,27.88,32.08
Salinity (psu),1,19.62,31.57,39,39.5
Primary Production,1,306,353,2485,3781
Sea Ice Concentration,1,-0.9990350877192999,0,0,0.04
Distance to Land (km),0,6,15,200,331
 

Map data (HSPEC) for predicted occurrences (n = 1753): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Dentex,maroccanus,52.75,1.25,1500:121:3,0.02,0.053571428571429,0.56131787675412,1,1,0.75,1
Dentex,maroccanus,52.25,3.25,1500:123:1,0.13,0.25,0.56741915802318,1,1,0.91429175,1
Dentex,maroccanus,52.25,3.75,1500:123:2,0.08,0.17857142857143,0.56741915802318,1,1,0.75,1
Dentex,maroccanus,52.75,3.25,1500:123:3,0.18,0.32142857142857,0.56741915802318,1,1,0.9666875,1
Dentex,maroccanus,52.75,3.75,1500:123:4,0.08,0.14285714285714,0.56741915802318,1,1,0.92608325,1
Dentex,maroccanus,52.25,4.25,1500:124:1,0.08,0.19642857142857,0.57107992678462,1,1,0.75,1
Dentex,maroccanus,52.25,4.75,1500:124:2,0.08,0.17857142857143,0.57107992678462,1,1,0.8035825,1
Dentex,maroccanus,52.75,4.25,1500:124:3,0.07,0.16071428571429,0.57107992678462,1,1,0.75,1
Dentex,maroccanus,52.75,4.75,1500:124:4,0.11,0.23214285714286,0.57107992678462,1,1,0.8185315,1
Dentex,maroccanus,53.25,0.75,1500:130:2,0.06,0.25,0.50518608907871,1,1,0.5,1
Dentex,maroccanus,53.75,0.25,1500:130:3,0.05,0.17857142857143,0.50518608907871,1,1,0.5,1
Dentex,maroccanus,53.75,0.75,1500:130:4,0.14,0.35714285714286,0.50518608907871,1,1,0.75,1
Dentex,maroccanus,53.25,1.25,1500:131:1,0.13,0.32142857142857,0.52654057352044,1,1,0.75,1
Dentex,maroccanus,53.25,1.75,1500:131:2,0.15,0.32142857142857,0.52654057352044,1,1,0.87747925,1
Dentex,maroccanus,53.75,1.75,1500:131:4,0.15,0.30357142857143,0.52654057352044,1,1,0.96877075,1
Dentex,maroccanus,53.25,2.25,1500:132:1,0.19,0.375,0.53569249542404,1,1,0.96183325,1
Dentex,maroccanus,53.25,2.75,1500:132:2,0.16,0.30357142857143,0.53569249542404,1,1,0.97433325,1
Dentex,maroccanus,53.25,3.25,1500:133:1,0.15,0.28571428571429,0.54179377669311,1,1,0.97229175,1
Dentex,maroccanus,53.25,3.75,1500:133:2,0.09,0.17857142857143,0.54179377669311,1,1,0.9621875,1
Dentex,maroccanus,53.75,3.75,1500:133:4,0.18,0.33928571428571,0.54179377669311,1,1,0.97466675,1
Dentex,maroccanus,53.25,4.25,1500:134:1,0.07,0.14285714285714,0.54789505796217,1,1,0.89795825,1
Dentex,maroccanus,53.75,4.25,1500:134:3,0.18,0.33928571428571,0.54789505796217,1,1,0.96427075,1
Dentex,maroccanus,53.75,4.75,1500:134:4,0.17,0.32142857142857,0.54789505796217,1,1,0.95454175,1
Dentex,maroccanus,54.25,0.25,1500:140:1,0.17,0.46428571428571,0.4954240390482,1,1,0.75,1
Dentex,maroccanus,54.75,1.75,1500:141:4,0.13,0.26785714285714,0.5045759609518,1,1,0.97470825,1
Dentex,maroccanus,54.75,2.25,1500:142:3,0.09,0.17857142857143,0.51189749847468,1,1,0.97504175,1
Dentex,maroccanus,54.75,2.75,1500:142:4,0.12,0.23214285714286,0.51189749847468,1,1,0.97885425,1
Dentex,maroccanus,52.25,5.25,1500:225:1,0.17,0.375,0.56680902989628,1,1,0.8075875,1
Dentex,maroccanus,52.75,5.75,1500:225:4,0.16,0.33928571428571,0.56680902989628,1,1,0.829558,1
Dentex,maroccanus,53.25,5.75,1500:235:2,0.19,0.41071428571429,0.54789505796217,1,1,0.84116825,1
Dentex,maroccanus,53.75,5.25,1500:235:3,0.16,0.32142857142857,0.54789505796217,1,1,0.89654175,1
Dentex,maroccanus,53.75,5.75,1500:235:4,0.11,0.26785714285714,0.54789505796217,1,1,0.75,1
Dentex,maroccanus,53.25,6.25,1500:236:1,0.11,0.25,0.53752287980476,1,1,0.82725825,1
Dentex,maroccanus,53.25,6.75,1500:236:2,0.11,0.26785714285714,0.53752287980476,1,1,0.78016275,1
Dentex,maroccanus,53.75,6.25,1500:236:3,0.09,0.23214285714286,0.53752287980476,1,1,0.75,1
Dentex,maroccanus,53.25,7.25,1500:237:1,0.16,0.39285714285714,0.52715070164735,1,1,0.75,1
Dentex,maroccanus,53.75,7.25,1500:237:3,0.10,0.25,0.52715070164735,1,1,0.7657645,1
Dentex,maroccanus,53.75,7.75,1500:237:4,0.06,0.21428571428571,0.52715070164735,1,1,0.5,1
Dentex,maroccanus,53.25,8.25,1500:238:1,0.03,0.25,0.51067724222087,1,1,0.25,1
Dentex,maroccanus,53.75,8.75,1500:238:4,0.05,0.35714285714286,0.51067724222087,1,1,0.25,1
Dentex,maroccanus,54.25,5.25,1500:245:1,0.18,0.35714285714286,0.52593044539353,1,1,0.96947925,1
Dentex,maroccanus,54.25,5.75,1500:245:2,0.18,0.35714285714286,0.52593044539353,1,1,0.96008325,1
Dentex,maroccanus,54.25,6.25,1500:246:1,0.18,0.35714285714286,0.52410006101281,1,1,0.97054175,1
