Mapping parameters for Sardinella longiceps (Indian oil sardine)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57 |  71,
Bounding Box (NSWE): ,25,7,57,81

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,39,106,200
Temperature (°C),1,25.69,26.26,28.58,32.78
Salinity (psu),1,31.01,33.77,36.65,39.76
Primary Production,1,439,746,2059,2642
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,4,11,197,262
 

Map data (HSPEC) for predicted occurrences (n = 241): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Sardinella,longiceps,7.25,72.75,1007:372:2,0.01,,,,,,
Sardinella,longiceps,7.25,73.25,1007:373:1,0.07,,,,,,
Sardinella,longiceps,8.25,73.25,1007:383:1,0.15,,,,,,
Sardinella,longiceps,18.75,57.25,1105:487:3,0.06,,,,,,
Sardinella,longiceps,19.25,57.75,1105:497:2,0.02,,,,,,
Sardinella,longiceps,10.25,72.25,1107:102:1,0.15,,,,,,
Sardinella,longiceps,11.75,71.75,1107:111:4,0.02,,,,,,
Sardinella,longiceps,11.75,74.25,1107:114:3,0.19,,,,,,
Sardinella,longiceps,12.25,71.75,1107:121:2,0.16,,,,,,
Sardinella,longiceps,13.25,80.25,1108:130:1,0.19,,,,,,
Sardinella,longiceps,13.75,80.25,1108:130:3,0.19,,,,,,
Sardinella,longiceps,13.75,80.75,1108:130:4,0.18,,,,,,
Sardinella,longiceps,14.25,80.25,1108:140:1,0.19,,,,,,
Sardinella,longiceps,14.75,80.25,1108:140:3,0.19,,,,,,
Sardinella,longiceps,15.25,80.25,1108:350:1,0.19,,,,,,
Sardinella,longiceps,21.75,59.75,1205:219:4,0.15,,,,,,
Sardinella,longiceps,20.25,71.75,1207:101:2,0.08,,,,,,
Sardinella,longiceps,19.75,69.75,1106:499:4,0.36,,,,,,
Sardinella,longiceps,10.75,72.25,1107:102:3,0.36,,,,,,
Sardinella,longiceps,11.25,72.25,1107:112:1,0.39,,,,,,
Sardinella,longiceps,12.25,79.75,1107:229:2,0.30,,,,,,
Sardinella,longiceps,18.25,73.25,1107:383:1,0.26,,,,,,
Sardinella,longiceps,24.75,64.75,1206:144:4,0.32,,,,,,
Sardinella,longiceps,22.25,67.25,1206:227:1,0.28,,,,,,
Sardinella,longiceps,23.25,68.25,1206:238:1,0.25,,,,,,
Sardinella,longiceps,7.75,77.75,1007:477:4,0.57,,,,,,
