Mapping parameters for Nemipterus theodorei (Theodore's threadfin bream)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 71 |  81,
Bounding Box (NSWE): ,-13,-36,145,158

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,19,64,198,410
Temperature (°C),1,20.15,23.27,26.42,30.62
Salinity (psu),1,34.32,34.82,35.82,36.32
Primary Production,1,81,166,766,1246
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,12,203,311
 

Map data (HSPEC) for predicted occurrences (n = 216): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Nemipterus,theodorei,-14.75,145.75,3114:245:4,0.90,,,,,,
Nemipterus,theodorei,-15.25,145.75,3114:455:2,0.92,,,,,,
Nemipterus,theodorei,-15.75,145.75,3114:455:4,0.92,,,,,,
Nemipterus,theodorei,-15.75,149.25,3114:459:3,0.87,,,,,,
Nemipterus,theodorei,-15.75,149.75,3114:459:4,0.87,,,,,,
Nemipterus,theodorei,-16.25,145.25,3114:465:1,0.95,,,,,,
Nemipterus,theodorei,-16.25,145.75,3114:465:2,0.95,,,,,,
Nemipterus,theodorei,-16.75,145.75,3114:465:4,0.95,,,,,,
Nemipterus,theodorei,-16.25,146.25,3114:466:1,0.96,,,,,,
Nemipterus,theodorei,-16.75,146.25,3114:466:3,0.96,,,,,,
Nemipterus,theodorei,-16.75,146.75,3114:466:4,0.96,,,,,,
Nemipterus,theodorei,-16.25,147.75,3114:467:2,0.95,,,,,,
Nemipterus,theodorei,-16.75,147.75,3114:467:4,0.95,,,,,,
Nemipterus,theodorei,-16.25,148.25,3114:468:1,0.94,,,,,,
Nemipterus,theodorei,-16.25,149.75,3114:469:2,0.94,,,,,,
Nemipterus,theodorei,-16.75,149.25,3114:469:3,0.94,,,,,,
Nemipterus,theodorei,-16.75,149.75,3114:469:4,0.94,,,,,,
Nemipterus,theodorei,-17.25,145.75,3114:475:2,0.98,,,,,,
Nemipterus,theodorei,-17.25,146.25,3114:476:1,1.00,,,,,,
Nemipterus,theodorei,-17.25,146.75,3114:476:2,1.00,,,,,,
Nemipterus,theodorei,-17.75,146.25,3114:476:3,0.80,,,,,,
Nemipterus,theodorei,-17.75,146.75,3114:476:4,1.00,,,,,,
Nemipterus,theodorei,-17.75,147.25,3114:477:3,1.00,,,,,,
Nemipterus,theodorei,-17.25,148.25,3114:478:1,1.00,,,,,,
Nemipterus,theodorei,-17.25,148.75,3114:478:2,1.00,,,,,,
Nemipterus,theodorei,-17.75,148.25,3114:478:3,1.00,,,,,,
Nemipterus,theodorei,-17.75,148.75,3114:478:4,1.00,,,,,,
Nemipterus,theodorei,-17.25,149.75,3114:479:2,1.00,,,,,,
Nemipterus,theodorei,-17.75,149.75,3114:479:4,0.83,,,,,,
Nemipterus,theodorei,-18.25,146.25,3114:486:1,1.00,,,,,,
Nemipterus,theodorei,-18.25,146.75,3114:486:2,1.00,,,,,,
Nemipterus,theodorei,-18.75,146.25,3114:486:3,1.00,,,,,,
Nemipterus,theodorei,-18.75,146.75,3114:486:4,1.00,,,,,,
Nemipterus,theodorei,-18.25,147.25,3114:487:1,1.00,,,,,,
Nemipterus,theodorei,-18.25,147.75,3114:487:2,1.00,,,,,,
Nemipterus,theodorei,-18.75,147.25,3114:487:3,0.98,,,,,,
Nemipterus,theodorei,-18.75,147.75,3114:487:4,1.00,,,,,,
Nemipterus,theodorei,-18.75,148.25,3114:488:3,1.00,,,,,,
Nemipterus,theodorei,-18.75,148.75,3114:488:4,1.00,,,,,,
Nemipterus,theodorei,-18.25,149.75,3114:489:2,1.00,,,,,,
Nemipterus,theodorei,-18.75,149.25,3114:489:3,0.93,,,,,,
Nemipterus,theodorei,-19.25,146.75,3114:496:2,1.00,,,,,,
Nemipterus,theodorei,-19.25,147.25,3114:497:1,1.00,,,,,,
Nemipterus,theodorei,-19.25,147.75,3114:497:2,1.00,,,,,,
Nemipterus,theodorei,-19.75,147.75,3114:497:4,1.00,,,,,,
Nemipterus,theodorei,-19.25,148.75,3114:498:2,1.00,,,,,,
Nemipterus,theodorei,-19.75,148.25,3114:498:3,0.91,,,,,,
Nemipterus,theodorei,-19.25,149.25,3114:499:1,1.00,,,,,,
Nemipterus,theodorei,-19.25,149.75,3114:499:2,1.00,,,,,,
Nemipterus,theodorei,-19.75,149.25,3114:499:3,1.00,,,,,,
Nemipterus,theodorei,-19.75,149.75,3114:499:4,1.00,,,,,,
Nemipterus,theodorei,-16.25,150.25,3115:360:1,0.94,,,,,,
Nemipterus,theodorei,-16.75,150.25,3115:360:3,0.94,,,,,,
Nemipterus,theodorei,-16.75,150.75,3115:360:4,0.94,,,,,,
Nemipterus,theodorei,-17.25,150.25,3115:370:1,1.00,,,,,,
Nemipterus,theodorei,-17.25,150.75,3115:370:2,1.00,,,,,,
Nemipterus,theodorei,-17.75,150.25,3115:370:3,1.00,,,,,,
Nemipterus,theodorei,-17.75,150.75,3115:370:4,1.00,,,,,,
Nemipterus,theodorei,-17.25,151.25,3115:371:1,0.99,,,,,,
Nemipterus,theodorei,-17.25,151.75,3115:371:2,0.99,,,,,,
Nemipterus,theodorei,-17.75,151.25,3115:371:3,0.99,,,,,,
Nemipterus,theodorei,-17.75,151.75,3115:371:4,0.99,,,,,,
Nemipterus,theodorei,-17.25,152.25,3115:372:1,0.98,,,,,,
Nemipterus,theodorei,-18.75,152.25,3115:382:3,1.00,,,,,,
Nemipterus,theodorei,-19.25,150.25,3115:390:1,1.00,,,,,,
Nemipterus,theodorei,-19.75,150.25,3115:390:3,1.00,,,,,,
Nemipterus,theodorei,-19.75,150.75,3115:390:4,1.00,,,,,,
Nemipterus,theodorei,-19.25,151.25,3115:391:1,1.00,,,,,,
Nemipterus,theodorei,-19.75,151.75,3115:391:4,1.00,,,,,,
Nemipterus,theodorei,-19.25,152.25,3115:392:1,1.00,,,,,,
Nemipterus,theodorei,-17.25,155.75,3115:475:2,0.95,,,,,,
Nemipterus,theodorei,-20.75,148.75,3214:208:4,1.00,,,,,,
Nemipterus,theodorei,-20.75,149.75,3214:209:4,0.80,,,,,,
Nemipterus,theodorei,-21.25,149.25,3214:219:1,1.00,,,,,,
Nemipterus,theodorei,-21.75,149.75,3214:219:4,0.80,,,,,,
Nemipterus,theodorei,-22.25,149.75,3214:229:2,1.00,,,,,,
Nemipterus,theodorei,-20.25,150.75,3215:100:2,1.00,,,,,,
Nemipterus,theodorei,-20.25,151.25,3215:101:1,1.00,,,,,,
Nemipterus,theodorei,-20.25,151.75,3215:101:2,1.00,,,,,,
Nemipterus,theodorei,-20.75,151.25,3215:101:3,1.00,,,,,,
Nemipterus,theodorei,-20.75,151.75,3215:101:4,1.00,,,,,,
Nemipterus,theodorei,-20.75,152.25,3215:102:3,1.00,,,,,,
Nemipterus,theodorei,-20.75,152.75,3215:102:4,1.00,,,,,,
Nemipterus,theodorei,-20.75,154.25,3215:104:3,1.00,,,,,,
Nemipterus,theodorei,-21.25,150.25,3215:110:1,0.98,,,,,,
Nemipterus,theodorei,-21.25,150.75,3215:110:2,0.91,,,,,,
Nemipterus,theodorei,-21.75,150.25,3215:110:3,0.96,,,,,,
Nemipterus,theodorei,-21.75,150.75,3215:110:4,1.00,,,,,,
Nemipterus,theodorei,-21.75,151.25,3215:111:3,0.83,,,,,,
Nemipterus,theodorei,-21.25,152.75,3215:112:2,1.00,,,,,,
Nemipterus,theodorei,-21.75,152.75,3215:112:4,1.00,,,,,,
Nemipterus,theodorei,-21.25,153.25,3215:113:1,1.00,,,,,,
Nemipterus,theodorei,-21.75,153.25,3215:113:3,1.00,,,,,,
Nemipterus,theodorei,-21.75,153.75,3215:113:4,1.00,,,,,,
Nemipterus,theodorei,-22.75,150.75,3215:120:4,1.00,,,,,,
Nemipterus,theodorei,-22.25,151.25,3215:121:1,0.95,,,,,,
Nemipterus,theodorei,-22.25,151.75,3215:121:2,1.00,,,,,,
Nemipterus,theodorei,-22.75,151.75,3215:121:4,0.94,,,,,,
Nemipterus,theodorei,-22.25,152.25,3215:122:1,1.00,,,,,,
Nemipterus,theodorei,-22.25,152.75,3215:122:2,1.00,,,,,,
Nemipterus,theodorei,-22.75,152.25,3215:122:3,1.00,,,,,,
Nemipterus,theodorei,-22.75,152.75,3215:122:4,1.00,,,,,,
Nemipterus,theodorei,-22.25,153.25,3215:123:1,1.00,,,,,,
Nemipterus,theodorei,-22.25,153.75,3215:123:2,1.00,,,,,,
Nemipterus,theodorei,-22.75,153.25,3215:123:3,1.00,,,,,,
Nemipterus,theodorei,-22.75,153.75,3215:123:4,0.80,,,,,,
Nemipterus,theodorei,-23.25,150.75,3215:130:2,0.87,,,,,,
Nemipterus,theodorei,-23.75,151.75,3215:131:4,0.80,,,,,,
Nemipterus,theodorei,-23.25,152.25,3215:132:1,1.00,,,,,,
Nemipterus,theodorei,-23.25,152.75,3215:132:2,0.92,,,,,,
Nemipterus,theodorei,-23.75,152.25,3215:132:3,1.00,,,,,,
Nemipterus,theodorei,-23.75,152.75,3215:132:4,1.00,,,,,,
Nemipterus,theodorei,-24.25,151.75,3215:141:2,1.00,,,,,,
Nemipterus,theodorei,-24.25,152.75,3215:142:2,1.00,,,,,,
Nemipterus,theodorei,-24.75,152.25,3215:142:3,1.00,,,,,,
Nemipterus,theodorei,-24.75,152.75,3215:142:4,0.89,,,,,,
Nemipterus,theodorei,-24.25,153.25,3215:143:1,1.00,,,,,,
Nemipterus,theodorei,-24.75,153.25,3215:143:3,1.00,,,,,,
Nemipterus,theodorei,-24.75,153.75,3215:143:4,1.00,,,,,,
Nemipterus,theodorei,-21.25,155.75,3215:215:2,1.00,,,,,,
Nemipterus,theodorei,-22.25,155.25,3215:225:1,1.00,,,,,,
Nemipterus,theodorei,-22.25,155.75,3215:225:2,1.00,,,,,,
Nemipterus,theodorei,-23.25,155.25,3215:235:1,1.00,,,,,,
Nemipterus,theodorei,-23.25,155.75,3215:235:2,1.00,,,,,,
Nemipterus,theodorei,-25.25,152.75,3215:352:2,1.00,,,,,,
Nemipterus,theodorei,-25.25,153.25,3215:353:1,1.00,,,,,,
Nemipterus,theodorei,-25.25,153.75,3215:353:2,1.00,,,,,,
Nemipterus,theodorei,-25.75,153.25,3215:353:3,1.00,,,,,,
Nemipterus,theodorei,-25.75,153.75,3215:353:4,1.00,,,,,,
Nemipterus,theodorei,-26.25,153.25,3215:363:1,1.00,,,,,,
Nemipterus,theodorei,-26.25,153.75,3215:363:2,1.00,,,,,,
Nemipterus,theodorei,-26.75,153.25,3215:363:3,1.00,,,,,,
Nemipterus,theodorei,-26.75,153.75,3215:363:4,1.00,,,,,,
Nemipterus,theodorei,-27.25,153.25,3215:373:1,1.00,,,,,,
Nemipterus,theodorei,-27.25,153.75,3215:373:2,1.00,,,,,,
Nemipterus,theodorei,-27.75,153.75,3215:373:4,1.00,,,,,,
Nemipterus,theodorei,-28.25,153.75,3215:383:2,1.00,,,,,,
