Mapping parameters for Epinephelus fuscoguttatus (Brown-marbled grouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,28.5,-27,33,-171

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,7,31,60
Temperature (°C),1,24.69,25.11,29.08,33.28
Salinity (psu),1,27.5,32.45,36.24,38.9
Primary Production,1,69,250,1223,1446
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,15,166,1065
 

Map data (HSPEC) for predicted occurrences (n = 3970): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Epinephelus,fuscoguttatus,11.75,53.75,1105:113:4,0.10,0.10344827586207,1,1,1,1,1
Epinephelus,fuscoguttatus,12.25,51.25,1105:121:1,0.09,0.10344827586207,1,1,0.85650224215247,1,1
Epinephelus,fuscoguttatus,12.25,54.75,1105:124:2,0.17,0.17241379310345,1,1,1,1,1
Epinephelus,fuscoguttatus,16.75,53.25,1105:363:3,0.14,1,1,1,0.14349775784753,1,1
Epinephelus,fuscoguttatus,16.75,54.75,1105:364:4,0.07,1,1,1,0.071748878923767,1,1
Epinephelus,fuscoguttatus,18.75,70.25,1107:380:3,0.03,0.03448275862069,1,1,1,1,1
Epinephelus,fuscoguttatus,12.25,80.75,1108:120:2,0.03,0.03448275862069,1,1,1,1,1
Epinephelus,fuscoguttatus,16.25,82.25,1108:362:1,0.10,1,1,0.51313131313131,0.19730941704036,1,1
Epinephelus,fuscoguttatus,17.25,82.75,1108:372:2,0.18,1,1,0.51313131313131,0.34529147982063,1,1
Epinephelus,fuscoguttatus,19.75,85.75,1108:495:4,0.05,1,1,0.24040404040404,0.19730941704036,1,1
Epinephelus,fuscoguttatus,14.25,94.75,1109:144:2,0.17,0.27586206896552,1,0.61414141414141,1,1,1
Epinephelus,fuscoguttatus,12.25,99.75,1109:229:2,0.14,1,1,0.54747474747475,0.26457399103139,1,1
Epinephelus,fuscoguttatus,13.25,98.25,1109:238:1,0.11,1,1,0.67474747474747,0.17040358744395,1,1
Epinephelus,fuscoguttatus,13.25,99.75,1109:239:2,0.15,1,1,0.15151515151515,1,1,1
Epinephelus,fuscoguttatus,14.25,96.75,1109:246:2,0.09,0.20689655172414,1,0.43838383838384,1,1,1
Epinephelus,fuscoguttatus,14.75,97.25,1109:247:3,0.10,1,1,0.38787878787879,0.25560538116592,1,1
Epinephelus,fuscoguttatus,15.25,94.25,1109:354:1,0.13,1,1,0.45858585858586,0.2780269058296,1,1
Epinephelus,fuscoguttatus,17.25,94.75,1109:374:2,0.12,1,1,0.62828282828283,0.19282511210762,1,1
Epinephelus,fuscoguttatus,19.25,93.25,1109:393:1,0.08,1,1,0.43030303030303,0.18834080717489,1,1
Epinephelus,fuscoguttatus,15.75,96.25,1109:456:3,0.01,1,1,0.21212121212121,0.035874439461883,1,1
Epinephelus,fuscoguttatus,15.25,97.75,1109:457:2,0.10,1,1,0.38787878787879,0.24663677130045,1,1
Epinephelus,fuscoguttatus,15.75,97.75,1109:457:4,0.06,1,1,0.21212121212121,0.26008968609865,1,1
Epinephelus,fuscoguttatus,16.25,95.25,1109:465:1,0.01,0.16666666666667,1,0.26464646464646,0.32286995515695,1,1
Epinephelus,fuscoguttatus,17.25,97.25,1109:477:1,0.07,1,1,0.21212121212121,0.31390134529148,1,1
Epinephelus,fuscoguttatus,10.25,101.25,1110:101:1,0.06,0.068965517241379,0.99285714285714,0.84848484848485,1,1,1
Epinephelus,fuscoguttatus,10.25,101.75,1110:101:2,0.06,0.068965517241379,0.99285714285714,0.84848484848485,1,1,1
Epinephelus,fuscoguttatus,10.75,101.75,1110:101:4,0.15,0.17241379310345,0.99285714285714,0.84848484848485,1,1,1
Epinephelus,fuscoguttatus,13.75,100.25,1110:130:3,0.15,1,1,0.15151515151515,1,1,1
Epinephelus,fuscoguttatus,13.75,100.75,1110:130:4,0.15,1,1,0.15151515151515,1,1,1
Epinephelus,fuscoguttatus,18.25,105.75,1110:485:2,0.17,0.16666666666667,1,1,1,1,1
Epinephelus,fuscoguttatus,10.75,119.75,1111:209:4,0.18,1,1,1,0.18232044198895,1,1
Epinephelus,fuscoguttatus,10.75,120.25,1112:100:3,0.14,1,1,1,0.13812154696133,1,1
Epinephelus,fuscoguttatus,12.75,121.25,1112:121:3,0.17,0.16666666666667,1,1,1,1,1
Epinephelus,fuscoguttatus,20.25,37.75,1203:207:2,0.09,1,1,0.090225563909775,1,1,1
Epinephelus,fuscoguttatus,20.25,39.25,1203:209:1,0.09,1,1,0.090225563909775,1,1,1
Epinephelus,fuscoguttatus,20.75,39.25,1203:209:3,0.09,1,1,0.090225563909775,1,1,1
Epinephelus,fuscoguttatus,20.75,39.75,1203:209:4,0.09,1,1,0.090225563909775,0.96412556053812,1,1
Epinephelus,fuscoguttatus,25.75,34.25,1203:354:3,0.01,1,1,0.0075187969924797,1,1,1
Epinephelus,fuscoguttatus,25.75,34.75,1203:354:4,0.01,1,1,0.0075187969924797,1,1,1
Epinephelus,fuscoguttatus,26.25,34.25,1203:364:1,0.01,1,1,0.0075187969924797,1,1,1
Epinephelus,fuscoguttatus,26.75,34.25,1203:364:3,0.01,1,1,0.0075187969924797,1,1,1
Epinephelus,fuscoguttatus,27.25,34.25,1203:374:1,0.02,1,0.19047619047619,0.10150375939849,1,1,1
Epinephelus,fuscoguttatus,27.75,34.25,1203:374:3,0.02,1,0.19047619047619,0.10150375939849,1,1,1
Epinephelus,fuscoguttatus,27.75,34.75,1203:374:4,0.02,1,0.19047619047619,0.10150375939849,1,1,1
Epinephelus,fuscoguttatus,28.25,34.25,1203:384:1,0.01,1,0.14285714285714,0.10150375939849,1,1,1
Epinephelus,fuscoguttatus,28.25,34.75,1203:384:2,0.01,1,0.14285714285714,0.10150375939849,1,1,1
Epinephelus,fuscoguttatus,27.75,35.25,1203:475:3,0.09,1,0.92857142857143,0.10150375939849,1,1,1
Epinephelus,fuscoguttatus,27.75,35.75,1203:475:4,0.09,1,0.92857142857143,0.10150375939849,1,1,1
Epinephelus,fuscoguttatus,28.25,35.25,1203:485:1,0.03,1,0.30952380952381,0.10150375939849,1,1,1
Epinephelus,fuscoguttatus,23.75,57.25,1205:237:3,0.08,1,1,0.84586466165414,0.098654708520179,1,1
Epinephelus,fuscoguttatus,23.75,58.75,1205:238:4,0.01,1,1,0.84586466165414,0.0089686098654709,1,1
Epinephelus,fuscoguttatus,25.75,55.75,1205:455:4,0.07,1,1,0.45112781954887,0.15695067264574,1,1
Epinephelus,fuscoguttatus,25.25,56.75,1205:456:2,0.03,0.03448275862069,1,0.75187969924812,1,1,1
Epinephelus,fuscoguttatus,25.75,57.25,1205:457:3,0.16,1,1,0.75187969924812,0.20627802690583,1,1
Epinephelus,fuscoguttatus,25.75,57.75,1205:457:4,0.02,1,1,0.75187969924812,0.031390134529148,1,1
Epinephelus,fuscoguttatus,25.75,58.25,1205:458:3,0.05,1,1,0.84586466165414,0.053811659192825,1,1
Epinephelus,fuscoguttatus,25.25,59.75,1205:459:2,0.04,1,1,0.85338345864662,0.044843049327354,1,1
Epinephelus,fuscoguttatus,26.25,56.75,1205:466:2,0.15,1,1,0.75187969924812,0.19730941704036,1,1
Epinephelus,fuscoguttatus,21.25,86.75,1208:216:2,0.14,1,1,0.13737373737374,1,1,1
Epinephelus,fuscoguttatus,20.25,90.75,1209:100:2,0.02,0.068965517241379,1,0.28686868686869,1,1,1
Epinephelus,fuscoguttatus,20.25,92.25,1209:102:1,0.07,1,1,0.46262626262626,0.152466367713,1,1
Epinephelus,fuscoguttatus,20.25,106.75,1210:206:2,0.04,1,1,0.92727272727273,0.040358744394619,1,1
Epinephelus,fuscoguttatus,21.25,107.25,1210:217:1,0.15,0.16666666666667,1,0.92727272727273,1,1,1
Epinephelus,fuscoguttatus,22.25,113.25,1211:123:1,0.01,1,0.047619047619047,1,0.15695067264574,1,1
Epinephelus,fuscoguttatus,22.75,113.75,1211:123:4,0.02,1,0.047619047619047,1,0.48878923766816,1,1
Epinephelus,fuscoguttatus,22.25,114.25,1211:124:1,0.02,1,0.071428571428566,1,0.27354260089686,1,1
Epinephelus,fuscoguttatus,22.25,114.75,1211:124:2,0.01,1,0.071428571428566,1,0.13452914798206,1,1
Epinephelus,fuscoguttatus,22.75,114.25,1211:124:3,0.07,1,0.071428571428566,1,1,1,1
Epinephelus,fuscoguttatus,22.75,114.75,1211:124:4,0.07,1,0.071428571428566,1,1,1,1
