Mapping parameters for Nemipterus nemurus (Redspine threadfin bream)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  71,
Bounding Box (NSWE): ,22,-9,96,131

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,26,98,200
Temperature (°C),1,25.75,26.25,29.07,33.27
Salinity (psu),1,29.26,31.55,34.11,36.62
Primary Production,1,172,376,1166,2059
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,14,17,167,303.5
 

Map data (HSPEC) for predicted occurrences (n = 1541): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Nemipterus,nemurus,0.25,103.25,1010:103:1,0.14,,,,,,
Nemipterus,nemurus,0.75,103.75,1010:103:4,0.17,,,,,,
Nemipterus,nemurus,1.75,101.75,1010:111:4,0.10,,,,,,
Nemipterus,nemurus,1.75,102.25,1010:112:3,0.10,,,,,,
Nemipterus,nemurus,1.75,103.25,1010:113:3,0.08,,,,,,
Nemipterus,nemurus,0.75,108.75,1010:208:4,0.19,,,,,,
Nemipterus,nemurus,5.75,102.25,1010:352:3,0.14,,,,,,
Nemipterus,nemurus,8.75,104.75,1010:384:4,0.13,,,,,,
Nemipterus,nemurus,7.25,109.75,1010:479:2,0.10,,,,,,
Nemipterus,nemurus,9.75,106.75,1010:496:4,0.01,,,,,,
Nemipterus,nemurus,1.75,110.75,1011:110:4,0.19,,,,,,
Nemipterus,nemurus,2.25,111.25,1011:121:1,0.08,,,,,,
Nemipterus,nemurus,2.75,111.75,1011:121:4,0.04,,,,,,
Nemipterus,nemurus,2.75,112.25,1011:122:3,0.01,,,,,,
Nemipterus,nemurus,3.75,117.75,1011:237:4,0.08,,,,,,
Nemipterus,nemurus,7.75,113.25,1011:373:3,0.18,,,,,,
Nemipterus,nemurus,5.75,117.75,1011:457:4,0.12,,,,,,
Nemipterus,nemurus,6.25,119.25,1011:469:1,0.11,,,,,,
Nemipterus,nemurus,9.25,117.25,1011:497:1,0.01,,,,,,
Nemipterus,nemurus,2.25,125.75,1012:225:2,0.18,,,,,,
Nemipterus,nemurus,3.25,125.25,1012:235:1,0.08,,,,,,
Nemipterus,nemurus,7.25,126.75,1012:476:2,0.03,,,,,,
Nemipterus,nemurus,8.25,126.75,1012:486:2,0.02,,,,,,
Nemipterus,nemurus,13.25,101.25,1110:131:1,0.03,,,,,,
Nemipterus,nemurus,10.75,107.25,1110:207:3,0.19,,,,,,
Nemipterus,nemurus,11.25,115.25,1111:215:1,0.03,,,,,,
Nemipterus,nemurus,11.75,119.75,1111:219:4,0.14,,,,,,
Nemipterus,nemurus,16.75,119.75,1111:469:4,0.11,,,,,,
Nemipterus,nemurus,13.75,124.75,1112:134:4,0.04,,,,,,
Nemipterus,nemurus,14.25,122.25,1112:142:1,0.17,,,,,,
Nemipterus,nemurus,14.25,123.75,1112:143:2,0.01,,,,,,
Nemipterus,nemurus,10.75,125.75,1112:205:4,0.04,,,,,,
Nemipterus,nemurus,10.25,126.25,1112:206:1,0.13,,,,,,
Nemipterus,nemurus,10.75,126.25,1112:206:3,0.05,,,,,,
Nemipterus,nemurus,11.25,125.75,1112:215:2,0.10,,,,,,
Nemipterus,nemurus,11.75,125.75,1112:215:4,0.09,,,,,,
Nemipterus,nemurus,12.25,125.75,1112:225:2,0.10,,,,,,
Nemipterus,nemurus,19.75,122.25,1112:392:3,0.17,,,,,,
Nemipterus,nemurus,20.25,112.25,1211:102:1,0.02,,,,,,
Nemipterus,nemurus,20.25,112.75,1211:102:2,0.02,,,,,,
Nemipterus,nemurus,20.75,112.25,1211:102:3,0.02,,,,,,
Nemipterus,nemurus,20.75,112.75,1211:102:4,0.02,,,,,,
Nemipterus,nemurus,20.25,113.25,1211:103:1,0.10,,,,,,
Nemipterus,nemurus,20.25,113.75,1211:103:2,0.10,,,,,,
Nemipterus,nemurus,20.75,113.25,1211:103:3,0.10,,,,,,
Nemipterus,nemurus,20.75,113.75,1211:103:4,0.10,,,,,,
Nemipterus,nemurus,20.25,122.25,1212:102:1,0.16,,,,,,
Nemipterus,nemurus,-0.25,103.75,3010:103:2,0.07,,,,,,
Nemipterus,nemurus,-5.25,105.25,3010:455:1,0.14,,,,,,
Nemipterus,nemurus,-3.75,110.75,3011:130:4,0.18,,,,,,
Nemipterus,nemurus,-3.75,112.25,3011:132:3,0.15,,,,,,
Nemipterus,nemurus,-3.25,113.25,3011:133:1,0.04,,,,,,
Nemipterus,nemurus,-3.25,114.25,3011:134:1,0.08,,,,,,
Nemipterus,nemurus,-4.25,113.25,3011:143:1,0.19,,,,,,
Nemipterus,nemurus,-4.75,114.75,3011:144:4,0.10,,,,,,
Nemipterus,nemurus,-0.25,117.75,3011:207:2,0.13,,,,,,
Nemipterus,nemurus,-2.25,118.75,3011:228:2,0.11,,,,,,
Nemipterus,nemurus,-3.25,118.25,3011:238:1,0.19,,,,,,
Nemipterus,nemurus,0.25,103.75,1010:103:2,0.23,,,,,,
Nemipterus,nemurus,0.75,103.25,1010:103:3,0.32,,,,,,
Nemipterus,nemurus,1.25,102.75,1010:112:2,0.33,,,,,,
Nemipterus,nemurus,2.25,100.25,1010:120:1,0.23,,,,,,
Nemipterus,nemurus,2.25,102.25,1010:122:1,0.32,,,,,,
Nemipterus,nemurus,1.75,108.75,1010:218:4,0.26,,,,,,
Nemipterus,nemurus,9.75,106.25,1010:496:3,0.34,,,,,,
Nemipterus,nemurus,2.75,111.25,1011:121:3,0.31,,,,,,
Nemipterus,nemurus,4.75,113.75,1011:143:4,0.33,,,,,,
Nemipterus,nemurus,5.75,110.75,1011:350:4,0.33,,,,,,
Nemipterus,nemurus,6.25,110.25,1011:360:1,0.27,,,,,,
Nemipterus,nemurus,4.25,125.25,1012:245:1,0.25,,,,,,
Nemipterus,nemurus,7.75,124.25,1012:374:3,0.33,,,,,,
Nemipterus,nemurus,9.25,120.25,1012:390:1,0.23,,,,,,
Nemipterus,nemurus,8.75,125.25,1012:485:3,0.35,,,,,,
Nemipterus,nemurus,12.25,99.75,1109:229:2,0.31,,,,,,
Nemipterus,nemurus,12.75,100.25,1110:120:3,0.26,,,,,,
Nemipterus,nemurus,12.75,101.25,1110:121:3,0.23,,,,,,
Nemipterus,nemurus,19.75,107.25,1110:497:3,0.33,,,,,,
Nemipterus,nemurus,19.75,107.75,1110:497:4,0.34,,,,,,
Nemipterus,nemurus,19.75,108.25,1110:498:3,0.31,,,,,,
Nemipterus,nemurus,19.75,109.25,1110:499:3,0.38,,,,,,
